レースコード,レース日,レース場,レース回,締切時刻,取得日時,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202602110601,2026-02-11,06,01R,,backfill-from-bc-oriten,3,一周,まわり足,直線,牟田 奨太,37.91,5.48,8.12,武田 正紀,37.38,5.08,8.21,占部 一真,38.18,5.48,7.96,横田 海人,37.61,5.58,8.14,松下 哲也,38.2,5.59,8.12,真田 聖也,38.13,5.84,8.05
202602110602,2026-02-11,06,02R,,backfill-from-bc-oriten,3,一周,まわり足,直線,土屋 太朗,36.82,5.31,7.99,三浦 裕貴,37.06,5.15,7.96,松尾 祭,37.95,5.27,8.02,水谷 理人,36.89,5.03,7.95,久田 武,37.49,5.36,7.97,浜先 真範,37.22,5.12,7.94
202602110603,2026-02-11,06,03R,,backfill-from-bc-oriten,3,一周,まわり足,直線,伊藤 紘章,36.97,5.49,8.0,高橋 直哉,37.23,5.43,7.84,佐藤 大佑,37.43,5.27,7.82,相馬 翔,37.82,5.36,7.96,浅見 昌克,37.12,5.44,7.77,白神 優,37.26,5.36,7.89
202602110604,2026-02-11,06,04R,,backfill-from-bc-oriten,3,一周,まわり足,直線,新田 泰章,37.37,5.35,7.98,坂井 滉哉,37.89,5.55,8.1,澤 大介,37.6,5.38,8.0,石原 光,37.9,5.55,7.95,鹿島 敏弘,37.78,5.41,8.13,豊田 祥生,37.59,5.31,7.96
202602110605,2026-02-11,06,05R,,backfill-from-bc-oriten,3,一周,まわり足,直線,中渡 修作,37.23,5.28,8.09,和田 操拓,37.95,5.23,7.95,丸岡 正典,36.99,5.17,7.96,後藤 隼之,37.54,5.41,7.96,藤原 啓史朗,37.43,5.21,7.94,横田 海人,37.54,5.62,7.95
202602110606,2026-02-11,06,06R,,backfill-from-bc-oriten,3,一周,まわり足,直線,佐竹 太一,37.06,5.26,7.95,西川 真人,37.93,5.32,8.02,桐本 康臣,37.48,5.26,7.94,加藤 高史,36.91,5.32,7.96,真田 聖也,38.33,5.65,8.0,毒島 誠,36.96,5.11,7.92
202602110607,2026-02-11,06,07R,,backfill-from-bc-oriten,3,一周,まわり足,直線,寺本 昇平,36.57,5.14,7.94,藤森 陸斗,37.33,5.14,8.01,白神 優,37.5,5.28,8.07,早川 颯太,37.75,5.57,7.88,武田 正紀,38.04,5.49,8.16,野末 智一,37.49,5.19,8.09
202602110608,2026-02-11,06,08R,,backfill-from-bc-oriten,3,一周,まわり足,直線,水谷 理人,36.45,5.33,7.95,安田 政彦,38.12,5.47,8.14,竹本 太樹,37.42,5.24,8.03,中岡 正彦,37.88,5.54,7.91,坂井 滉哉,38.37,5.61,7.91,占部 一真,38.61,5.52,7.9
202602110609,2026-02-11,06,09R,,backfill-from-bc-oriten,3,一周,まわり足,直線,藤原 啓史朗,37.21,5.33,8.18,澤 大介,37.79,5.36,7.98,浅井 翼,37.52,5.41,8.09,山ノ内 雅人,37.56,5.45,7.95,牟田 奨太,38.46,5.44,8.08,三浦 裕貴,37.17,5.38,7.99
202602110610,2026-02-11,06,10R,,backfill-from-bc-oriten,3,一周,まわり足,直線,加藤 高史,36.88,5.21,7.86,浅見 昌克,36.96,5.28,7.82,新田 泰章,37.37,5.36,7.93,秋末 秦悟,37.6,5.36,7.87,松尾 祭,37.87,5.28,8.06,後藤 隼之,37.7,5.37,7.91
