タイトル,日次,レース日,レース場,レース回,レース名,距離(m),電話投票締切予定,1枠_艇番,1枠_登録番号,1枠_選手名,1枠_年齢,1枠_支部,1枠_体重,1枠_級別,1枠_全国勝率,1枠_全国2連対率,1枠_当地勝率,1枠_当地2連対率,1枠_モーター番号,1枠_モーター2連対率,1枠_ボート番号,1枠_ボート2連対率,1枠_今節成績_1-1,1枠_今節成績_1-2,1枠_今節成績_2-1,1枠_今節成績_2-2,1枠_今節成績_3-1,1枠_今節成績_3-2,1枠_今節成績_4-1,1枠_今節成績_4-2,1枠_今節成績_5-1,1枠_今節成績_5-2,1枠_今節成績_6-1,1枠_今節成績_6-2,1枠_早見,2枠_艇番,2枠_登録番号,2枠_選手名,2枠_年齢,2枠_支部,2枠_体重,2枠_級別,2枠_全国勝率,2枠_全国2連対率,2枠_当地勝率,2枠_当地2連対率,2枠_モーター番号,2枠_モーター2連対率,2枠_ボート番号,2枠_ボート2連対率,2枠_今節成績_1-1,2枠_今節成績_1-2,2枠_今節成績_2-1,2枠_今節成績_2-2,2枠_今節成績_3-1,2枠_今節成績_3-2,2枠_今節成績_4-1,2枠_今節成績_4-2,2枠_今節成績_5-1,2枠_今節成績_5-2,2枠_今節成績_6-1,2枠_今節成績_6-2,2枠_早見,3枠_艇番,3枠_登録番号,3枠_選手名,3枠_年齢,3枠_支部,3枠_体重,3枠_級別,3枠_全国勝率,3枠_全国2連対率,3枠_当地勝率,3枠_当地2連対率,3枠_モーター番号,3枠_モーター2連対率,3枠_ボート番号,3枠_ボート2連対率,3枠_今節成績_1-1,3枠_今節成績_1-2,3枠_今節成績_2-1,3枠_今節成績_2-2,3枠_今節成績_3-1,3枠_今節成績_3-2,3枠_今節成績_4-1,3枠_今節成績_4-2,3枠_今節成績_5-1,3枠_今節成績_5-2,3枠_今節成績_6-1,3枠_今節成績_6-2,3枠_早見,4枠_艇番,4枠_登録番号,4枠_選手名,4枠_年齢,4枠_支部,4枠_体重,4枠_級別,4枠_全国勝率,4枠_全国2連対率,4枠_当地勝率,4枠_当地2連対率,4枠_モーター番号,4枠_モーター2連対率,4枠_ボート番号,4枠_ボート2連対率,4枠_今節成績_1-1,4枠_今節成績_1-2,4枠_今節成績_2-1,4枠_今節成績_2-2,4枠_今節成績_3-1,4枠_今節成績_3-2,4枠_今節成績_4-1,4枠_今節成績_4-2,4枠_今節成績_5-1,4枠_今節成績_5-2,4枠_今節成績_6-1,4枠_今節成績_6-2,4枠_早見,5枠_艇番,5枠_登録番号,5枠_選手名,5枠_年齢,5枠_支部,5枠_体重,5枠_級別,5枠_全国勝率,5枠_全国2連対率,5枠_当地勝率,5枠_当地2連対率,5枠_モーター番号,5枠_モーター2連対率,5枠_ボート番号,5枠_ボート2連対率,5枠_今節成績_1-1,5枠_今節成績_1-2,5枠_今節成績_2-1,5枠_今節成績_2-2,5枠_今節成績_3-1,5枠_今節成績_3-2,5枠_今節成績_4-1,5枠_今節成績_4-2,5枠_今節成績_5-1,5枠_今節成績_5-2,5枠_今節成績_6-1,5枠_今節成績_6-2,5枠_早見,6枠_艇番,6枠_登録番号,6枠_選手名,6枠_年齢,6枠_支部,6枠_体重,6枠_級別,6枠_全国勝率,6枠_全国2連対率,6枠_当地勝率,6枠_当地2連対率,6枠_モーター番号,6枠_モーター2連対率,6枠_ボート番号,6枠_ボート2連対率,6枠_今節成績_1-1,6枠_今節成績_1-2,6枠_今節成績_2-1,6枠_今節成績_2-2,6枠_今節成績_3-1,6枠_今節成績_3-2,6枠_今節成績_4-1,6枠_今節成績_4-2,6枠_今節成績_5-1,6枠_今節成績_5-2,6枠_今節成績_6-1,6枠_今節成績_6-2,6枠_早見
スポーツ報知杯,第5日,2025-12-09,ボートレース福岡,1R,準優勝戦,1800,15:55,1,4095,福来 剛,44,東京,53.0,A1,6.72,51.02,,,36,27,34.07,123,,,,,,,,,,,,,,2,4259,真庭明志,41,長崎,54.0,B1,5.56,37.04,,,49,44,48.32,411,,,,,,,,,,,,,,3,4458,抹香雄三,39,広島,54.0,B1,4.86,35.56,,,58,40,36.24,3,,,,,,,,,,,,,,4,3957,大谷直弘,48,愛知,54.0,B1,4.57,20.83,,,54,42,23.53,1,,,,,,,,,,,,,,5,4873,蒲原健太,32,佐賀,52.0,A2,5.66,35.63,,,70,34,38.10,2433432,,,,,,,,,,,,,,6,4775,千葉真弥,32,静岡,47.0,B1,6.11,48.39,,,39,29,29.94,1225444,,,,,,,,,,,,,
スポーツ報知杯,第5日,2025-12-09,ボートレース福岡,2R,準優勝戦,1800,16:30,1,4199,北川潤二,43,愛知,58.0,A1,6.09,40.74,,,25,36,34.57,11121,,,,,,,,,,,,,,2,5191,飛田江己,24,埼玉,51.0,A1,6.58,44.76,,,47,34,34.64,33112,,,,,,,,,,,,,,3,5210,藤井公人,27,福岡,56.0,B1,3.88,18.37,,,50,43,36.60,2,,,,,,,,,,,,,,4,4736,高倉和士,34,福岡,54.0,A2,7.34,60.34,,,28,27,31.14,2512634,,,,,,,,,,,,,,5,4969,町田洸希,34,長崎,54.0,B1,5.18,32.0,,,29,37,27.66,35221,,,,,,,,,,,,,,6,4437,中田元泰,39,香川,55.0,A1,6.37,51.72,,,74,40,27.20,626,,,,,,,,,,,,,
１Ｒ  サンライズＶ          Ｈ１８００ｍ  電話投票締切予定０８：５１,第1日,2025-12-09,ボートレース芦屋,2R,サンライズＷ,1800,09:17,1,4471,新田泰章,38,広島,53.0,A1,6.93,53.6,,,40,24,32.17,12,,,,,,,,,,,,,,2,3964,宮地博士,46,長崎,54.0,B1,4.37,20.55,,,14,29,30.77,10,,,,,,,,,,,,,,3,5344,谷口 丞,22,滋賀,54.0,B1,3.03,7.58,,,47,25,38.61,6,,,,,,,,,,,,,,4,4156,浜野孝志,44,三重,57.0,A2,5.66,37.3,,,16,29,44.51,9,,,,,,,,,,,,,,5,4489,岩川仁士,39,大阪,55.0,B1,4.88,30.14,,,2,31,34.03,11,,,,,,,,,,,,,,6,3892,草場康幸,49,佐賀,55.0,B1,5.33,31.4,,,22,37,34.06,8,,,,,,,,,,,,,
１Ｒ  サンライズＶ          Ｈ１８００ｍ  電話投票締切予定０８：５１,第1日,2025-12-09,ボートレース芦屋,2R,ドリームレー,1800,14:29,1,4908,上田龍星,30,大阪,53.0,A1,7.47,62.39,,,21,35,30.43,3,,,,,,,,,,,,,,2,4471,新田泰章,38,広島,53.0,A1,6.93,53.6,,,40,24,32.17,2,,,,,,,,,,,,,,3,4677,片橋幸貴,37,滋賀,54.0,A1,5.6,33.85,,,53,23,38.00,4,,,,,,,,,,,,,,4,5015,高橋竜矢,27,広島,53.0,A1,6.54,46.67,,,41,27,38.41,6,,,,,,,,,,,,,,5,5087,佐藤 航,26,埼玉,53.0,A1,6.2,44.66,,,30,29,35.67,5,,,,,,,,,,,,,,6,5136,濱野斗馬,25,香川,55.0,A1,5.91,37.8,,,1,37,35.06,8,,,,,,,,,,,,,
若松夜王Ｓ３戦ソフトバンクホークス杯福岡県内選手権,第5日,2025-12-09,ボートレース若松,1R,一般戦,1800,15:21,1,5258,仲本 舜,20,福岡,55.0,B1,4.68,26.76,,,58,,30,23,,,,,,,,,,,,,,2,4368,山口隆史,40,福岡,54.0,B1,3.89,17.07,,,21,12,54,47,,,,,,,,,,,,,,3,3444,香月大介,56,福岡,54.0,B1,2.84,10.53,,,16,12,58,33,,,,,,,,,,,,,,4,3752,宇土泰就,54,福岡,56.0,B1,4.12,20.73,,,43,,24,29,,,,,,,,,,,,,,5,3804,中渡修作,51,福岡,54.0,B1,3.94,19.05,,,61,,75,29,,,,,,,,,,,,,,6,5392,安武一也,25,福岡,52.0,B2,1.32,1.75,,,31,,11,37,,,,,,,,,,,,,
若松夜王Ｓ３戦ソフトバンクホークス杯福岡県内選手権,第5日,2025-12-09,ボートレース若松,2R,一般戦,1800,15:45,1,4355,小川広大,41,福岡,60.0,B1,3.4,12.86,,,15,,18,34,,,,,,,,,,,,,,2,4204,柴田大輔,43,福岡,51.0,B2,4.96,28.4,,,13,,52,38,,,,,,,,,,,,,,3,4693,松下誉士,41,福岡,54.0,B1,4.49,22.22,,,6,44,57,31,,,,,,,,,,,,,,4,5071,野見山拓,31,福岡,52.0,B1,5.03,28.75,,,39,25,41,30,,,,,,,,,,,,,,5,5022,伊藤尚汰,30,福岡,49.0,B1,4.18,21.62,,,46,,74,33,,,,,,,,,,,,,,6,5351,齊藤 廉,21,福岡,54.0,B1,3.63,12.5,,,24,,42,39,,,,,,,,,,,,,
若松夜王Ｓ３戦ソフトバンクホークス杯福岡県内選手権,第5日,2025-12-09,ボートレース若松,3R,一般戦,1800,16:12,1,5207,高山敬悟,28,福岡,54.0,B2,4.56,24.05,,,2,50,15,42,,,,,,,,,,,,,,2,4451,松崎祐太,38,福岡,52.0,A1,6.31,45.3,,,38,33,22,22,,,,,,,,,,,,,,3,4122,安東幸治,44,福岡,56.0,A2,6.02,41.51,,,41,25,32,30,,,,,,,,,,,,,,4,4148,枝尾 賢,43,福岡,52.0,B2,5.31,33.73,,,8,37,59,25,,,,,,,,,,,,,,5,3986,沖島広和,47,福岡,56.0,B1,5.11,27.85,,,29,,70,35,,,,,,,,,,,,,,6,5041,荒牧凪沙,27,福岡,51.0,B1,5.24,33.7,,,28,,48,38,,,,,,,,,,,,,
若松夜王Ｓ３戦ソフトバンクホークス杯福岡県内選手権,第5日,2025-12-09,ボートレース若松,4R,一般戦,1800,16:37,1,4336,松田竜馬,41,福岡,56.0,A2,5.2,31.3,,,22,50,45,42,,,,,,,,,,,,,,2,5303,土井歩夢,22,福岡,52.0,B1,5.52,33.66,,,51,,51,27,,,,,,,,,,,,,,3,4899,占部一真,33,福岡,53.0,B1,4.41,22.67,,,62,,34,32,,,,,,,,,,,,,,4,5104,山田 丈,27,福岡,51.0,A2,6.3,48.89,,,35,25,17,31,,,,,,,,,,,,,,5,5398,鐘ヶ江真,23,福岡,53.0,B2,2.55,2.74,,,33,25,19,16,,,,,,,,,,,,,,6,4544,松田大志,38,福岡,53.0,A1,7.91,69.63,,,3,28,72,21,,,,,,,,,,,,,
若松夜王Ｓ３戦ソフトバンクホークス杯福岡県内選手権,第5日,2025-12-09,ボートレース若松,5R,進入固定戦隊 進入固定 Ｈ１８０,ｍ電,17:01,1,4136,江夏 満,45,福岡,53.0,A1,7.01,54.31,,,45,,61,26,,,,,,,,,,,,,,2,4151,下河誉史,43,福岡,56.0,A2,5.27,34.58,,,36,12,29,35,,,,,,,,,,,,,,3,5223,森清友翔,24,福岡,52.0,B1,4.32,22.11,,,54,28,66,39,,,,,,,,,,,,,,4,4424,松尾昂明,40,福岡,51.0,A2,5.86,38.14,,,19,,62,34,,,,,,,,,,,,,,5,5105,富田恕生,27,福岡,53.0,B1,4.88,27.94,,,14,,53,45,,,,,,,,,,,,,,6,5244,黒田 剛,25,福岡,52.0,B1,3.53,6.58,,,42,25,69,34,,,,,,,,,,,,,
若松夜王Ｓ３戦ソフトバンクホークス杯福岡県内選手権,第5日,2025-12-09,ボートレース若松,6R,一般戦,1800,17:30,1,3853,岩崎正哉,53,福岡,57.0,A2,5.05,29.36,,,50,12,14,39,,,,,,,,,,,,,,2,3804,中渡修作,51,福岡,54.0,B1,3.94,19.05,,,61,,23,22,,,,,,,,,,,,,,3,4406,幸野史明,40,福岡,50.0,B1,4.21,25.0,,,11,12,28,23,,,,,,,,,,,,,,4,5029,中 亮太,28,福岡,53.0,A2,5.66,38.46,,,44,,63,30,,,,,,,,,,,,,,5,3434,松尾宣邦,56,福岡,55.0,B1,5.2,32.39,,,9,25,20,30,,,,,,,,,,,,,,6,4236,松村 敏,42,福岡,55.0,A1,7.69,63.06,,,52,,21,27,,,,,,,,,,,,,
