タイトル,日次,レース日,レース場,レース回,レース名,距離(m),電話投票締切予定,1枠_艇番,1枠_登録番号,1枠_選手名,1枠_年齢,1枠_支部,1枠_体重,1枠_級別,1枠_全国勝率,1枠_全国2連対率,1枠_当地勝率,1枠_当地2連対率,1枠_モーター番号,1枠_モーター2連対率,1枠_ボート番号,1枠_ボート2連対率,1枠_今節成績_1-1,1枠_今節成績_1-2,1枠_今節成績_2-1,1枠_今節成績_2-2,1枠_今節成績_3-1,1枠_今節成績_3-2,1枠_今節成績_4-1,1枠_今節成績_4-2,1枠_今節成績_5-1,1枠_今節成績_5-2,1枠_今節成績_6-1,1枠_今節成績_6-2,1枠_早見,2枠_艇番,2枠_登録番号,2枠_選手名,2枠_年齢,2枠_支部,2枠_体重,2枠_級別,2枠_全国勝率,2枠_全国2連対率,2枠_当地勝率,2枠_当地2連対率,2枠_モーター番号,2枠_モーター2連対率,2枠_ボート番号,2枠_ボート2連対率,2枠_今節成績_1-1,2枠_今節成績_1-2,2枠_今節成績_2-1,2枠_今節成績_2-2,2枠_今節成績_3-1,2枠_今節成績_3-2,2枠_今節成績_4-1,2枠_今節成績_4-2,2枠_今節成績_5-1,2枠_今節成績_5-2,2枠_今節成績_6-1,2枠_今節成績_6-2,2枠_早見,3枠_艇番,3枠_登録番号,3枠_選手名,3枠_年齢,3枠_支部,3枠_体重,3枠_級別,3枠_全国勝率,3枠_全国2連対率,3枠_当地勝率,3枠_当地2連対率,3枠_モーター番号,3枠_モーター2連対率,3枠_ボート番号,3枠_ボート2連対率,3枠_今節成績_1-1,3枠_今節成績_1-2,3枠_今節成績_2-1,3枠_今節成績_2-2,3枠_今節成績_3-1,3枠_今節成績_3-2,3枠_今節成績_4-1,3枠_今節成績_4-2,3枠_今節成績_5-1,3枠_今節成績_5-2,3枠_今節成績_6-1,3枠_今節成績_6-2,3枠_早見,4枠_艇番,4枠_登録番号,4枠_選手名,4枠_年齢,4枠_支部,4枠_体重,4枠_級別,4枠_全国勝率,4枠_全国2連対率,4枠_当地勝率,4枠_当地2連対率,4枠_モーター番号,4枠_モーター2連対率,4枠_ボート番号,4枠_ボート2連対率,4枠_今節成績_1-1,4枠_今節成績_1-2,4枠_今節成績_2-1,4枠_今節成績_2-2,4枠_今節成績_3-1,4枠_今節成績_3-2,4枠_今節成績_4-1,4枠_今節成績_4-2,4枠_今節成績_5-1,4枠_今節成績_5-2,4枠_今節成績_6-1,4枠_今節成績_6-2,4枠_早見,5枠_艇番,5枠_登録番号,5枠_選手名,5枠_年齢,5枠_支部,5枠_体重,5枠_級別,5枠_全国勝率,5枠_全国2連対率,5枠_当地勝率,5枠_当地2連対率,5枠_モーター番号,5枠_モーター2連対率,5枠_ボート番号,5枠_ボート2連対率,5枠_今節成績_1-1,5枠_今節成績_1-2,5枠_今節成績_2-1,5枠_今節成績_2-2,5枠_今節成績_3-1,5枠_今節成績_3-2,5枠_今節成績_4-1,5枠_今節成績_4-2,5枠_今節成績_5-1,5枠_今節成績_5-2,5枠_今節成績_6-1,5枠_今節成績_6-2,5枠_早見,6枠_艇番,6枠_登録番号,6枠_選手名,6枠_年齢,6枠_支部,6枠_体重,6枠_級別,6枠_全国勝率,6枠_全国2連対率,6枠_当地勝率,6枠_当地2連対率,6枠_モーター番号,6枠_モーター2連対率,6枠_ボート番号,6枠_ボート2連対率,6枠_今節成績_1-1,6枠_今節成績_1-2,6枠_今節成績_2-1,6枠_今節成績_2-2,6枠_今節成績_3-1,6枠_今節成績_3-2,6枠_今節成績_4-1,6枠_今節成績_4-2,6枠_今節成績_5-1,6枠_今節成績_5-2,6枠_今節成績_6-1,6枠_今節成績_6-2,6枠_早見
スポーツ報知杯,第4日,2025-12-08,ボートレース福岡,1R,カタメン１予,1800,11:03,1,5191,飛田江己,,,44.76,,,47.0,,,33112,11,,,,,,,,,,,,,,,,2,3787,天野 誠,,,16.25,,5.0,20.0,,,6,155,5,,,,,,,,,,,,,,,3,4259,真庭明志,,,37.04,,46.67,49.0,,,411,13,8,,,,,,,,,,,,,,,4,5389,恵良琴美,,,3.41,,,57.0,,,665,65,,,,,,,,,,,,,,,,5,3928,林 恵祐,,,17.72,,22.81,71.0,,,5,536,6,,,,,,,,,,,,,,,6,5200,筒井美琴,,,4.88,,,38.0,,,6,446,7,,,,,,,,,,,,,,
スポーツ報知杯,第4日,2025-12-08,ボートレース福岡,2R,予選,1800,11:33,1,5287,滝沢織寧,,,9.33,,,40.0,,,3,3236,9,,,,,,,,,,,,,,,2,5190,大月遊雅,,,23.68,,,48.0,,,6,266,10,,,,,,,,,,,,,,,3,4911,片岡大地,,,18.18,,23.08,11.0,,,1,532,6,,,,,,,,,,,,,,,4,4189,川上 剛,,,41.67,,40.91,63.0,,,241,22,12,,,,,,,,,,,,,,,5,4437,中田元泰,,,51.72,,30.0,74.0,,,626,12,8,,,,,,,,,,,,,,,6,5397,寺田夢生,,,,,,32.0,,,6,665,7,,,,,,,,,,,,,,
スポーツ報知杯,第4日,2025-12-08,ボートレース福岡,3R,カタメン３予,1800,12:03,1,4031,飯島 誠,,,30.23,,,56.0,,,5,554,7,,,,,,,,,,,,,,,2,4162,竹本太樹,,,15.09,,,69.0,,,5,666,9,,,,,,,,,,,,,,,3,4134,杉山貴博,,,43.33,,40.0,21.0,,,561,35,10,,,,,,,,,,,,,,,4,5232,樅山拓馬,,,28.79,,11.11,26.0,,,416,52,,,,,,,,,,,,,,,,5,5338,香月大輝,,,6.25,,2.04,27.0,,,444,6,8,,,,,,,,,,,,,,,6,5210,藤井公人,,,18.37,,20.51,50.0,,,2,1212,11,,,,,,,,,,,,,,
スポーツ報知杯,第4日,2025-12-08,ボートレース福岡,4R,予選,1800,12:33,1,5037,田頭虎親,,,28.17,,36.84,42.0,,,231,25,10,,,,,,,,,,,,,,,2,4432,黄金井力,,,23.58,,52.63,41.0,,,3,4432,12,,,,,,,,,,,,,,,3,3957,大谷直弘,,,20.83,,20.69,54.0,,,1,4523,8,,,,,,,,,,,,,,,4,4531,武富智亮,,,45.45,,50.0,64.0,,,421,56,11,,,,,,,,,,,,,,,5,4458,抹香雄三,,,35.56,,44.44,58.0,,,3,2431,9,,,,,,,,,,,,,,,6,3313,本吉正樹,,,21.67,,25.0,37.0,,,132,56,,,,,,,,,,,,,,,
スポーツ報知杯,第4日,2025-12-08,ボートレース福岡,6R,予選,1800,13:27,1,3928,林 恵祐,,,17.72,,22.81,71.0,,,5,536,1,,,,,,,,,,,,,,,2,4488,小山 勉,,,41.67,,66.67,13.0,,,63331,12,,,,,,,,,,,,,,,,3,4199,北川潤二,,,40.74,,50.0,25.0,,,11121,10,,,,,,,,,,,,,,,,4,5151,山下奈緒,,,8.11,,10.53,45.0,,,344,45,,,,,,,,,,,,,,,,5,4911,片岡大地,,,18.18,,23.08,11.0,,,1,532,2,,,,,,,,,,,,,,,6,4388,是澤孝宏,,,38.78,,46.15,23.0,,,2,3541,11,,,,,,,,,,,,,,
スポーツ報知杯,第4日,2025-12-08,ボートレース福岡,0R,予選特賞,1800,15:22,1,4134,杉山貴博,,,43.33,,40.0,21.0,,,561,35,3,,,,,,,,,,,,,,,2,4254,川島圭司,,,41.28,,52.38,18.0,,,236,24,5,,,,,,,,,,,,,,,3,5037,田頭虎親,,,28.17,,36.84,42.0,,,231,25,4,,,,,,,,,,,,,,,4,5190,大月遊雅,,,23.68,,,48.0,,,6,266,2,,,,,,,,,,,,,,,5,4199,北川潤二,,,40.74,,50.0,25.0,,,11121,6,,,,,,,,,,,,,,,,6,4574,東 潤樹,,,22.45,,20.41,61.0,,,243,45,,,,,,,,,,,,,,,
スポーツ報知杯,第4日,2025-12-08,ボートレース福岡,2R,福岡選抜,1800,16:30,1,4266,長田頼宗,,,45.19,,50.0,30.0,,,11433,7,,,,,,,,,,,,,,,,2,4189,川上 剛,,,41.67,,40.91,63.0,,,241,22,2,,,,,,,,,,,,,,,3,5044,渡邉 健,,,38.32,,35.0,51.0,,,4,5234,8,,,,,,,,,,,,,,,4,4488,小山 勉,,,41.67,,66.67,13.0,,,63331,6,,,,,,,,,,,,,,,,5,4969,町田洸希,,,32.0,,26.67,29.0,,,35221,5,,,,,,,,,,,,,,,,6,4432,黄金井力,,,23.58,,52.63,41.0,,,3,4432,4,,,,,,,,,,,,,,
８  若松夜王Ｓ３戦ソフト,第4日,2025-12-08,ボートレース若松,1R,予選,1800,15:20,1,4899,占部一真,,,22.67,,18.6,62.0,,,32.73,6,555,6,,,,,,,,,,,,,,2,5351,齊藤 廉,,,12.5,,4.76,24.0,,,39.29,5,355,5,,,,,,,,,,,,,,3,4204,柴田大輔,,,28.4,,27.87,13.0,,,38.46,6,222,10,,,,,,,,,,,,,,4,5223,森清友翔,,,22.11,,2.0,54.0,,,39.66,4,351,9,,,,,,,,,,,,,,5,5392,安武一也,,,1.75,,,31.0,,,37.61,6,S65,8,,,,,,,,,,,,,,6,5303,土井歩夢,,,33.66,,18.39,51.0,,,27.35,4,1324,12,,,,,,,,,,,,,
８  若松夜王Ｓ３戦ソフト,第4日,2025-12-08,ボートレース若松,2R,予選,1800,15:50,1,4693,松下誉士,,,22.22,,20.0,6.0,,,31.93,665,65,,,,,,,,,,,,,,,2,3804,中渡修作,,,19.05,,17.86,61.0,,,29.57,1,154,8,,,,,,,,,,,,,,3,4463,三苫晃幸,,,29.89,,48.39,30.0,,,39.29,534,35,9,,,,,,,,,,,,,,4,4402,乙藤智史,,,40.79,,43.84,27.0,,,33.94,52543,10,,,,,,,,,,,,,,,5,4355,小川広大,,,12.86,,19.3,15.0,,,34.58,6,456,6,,,,,,,,,,,,,,6,3986,沖島広和,,,27.85,,38.61,29.0,,,35.78,1,3346,11,,,,,,,,,,,,,
８  若松夜王Ｓ３戦ソフト,第4日,2025-12-08,ボートレース若松,3R,予選,1800,16:18,1,5071,野見山拓,,,28.75,,10.0,39.0,,,30.30,321,46,11,,,,,,,,,,,,,,2,5207,高山敬悟,,,24.05,,26.83,2.0,,,42.48,3,642,9,,,,,,,,,,,,,,3,4451,松崎祐太,,,45.3,,45.0,38.0,,,22.22,235,41,10,,,,,,,,,,,,,,4,4023,柴田友和,,,21.88,,36.36,53.0,,,43.36,1,6554,,,,,,,,,,,,,,,5,3853,岩崎正哉,,,29.36,,37.21,50.0,,,39.25,43422,7,,,,,,,,,,,,,,,6,5105,富田恕生,,,27.94,,34.48,14.0,,,45.54,4,4313,12,,,,,,,,,,,,,
