記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-06,A1,G2_G3_一般,1,44.3933,12.6786,2827
2026-09-06,A1,G2_G3_一般,2,33.5677,15.9167,2119
2026-09-06,A1,G2_G3_一般,3,32.067,17.332,1969
2026-09-06,A1,G2_G3_一般,4,30.7139,16.1808,1975
2026-09-06,A1,G2_G3_一般,5,27.388,17.0387,1853
2026-09-06,A1,G2_G3_一般,6,21.4545,16.8147,1485
2026-09-06,A1,SG_G1,1,84.2276,27.2002,246
2026-09-06,A1,SG_G1,2,50.9623,36.1586,239
2026-09-06,A1,SG_G1,3,49.3878,34.4525,245
2026-09-06,A1,SG_G1,4,45.6198,31.3575,242
2026-09-06,A1,SG_G1,5,42.3482,30.2646,247
2026-09-06,A1,SG_G1,6,29.8805,27.4476,251
2026-09-06,A2,G2_G3_一般,1,61.7586,20.6454,2428
2026-09-06,A2,G2_G3_一般,2,44.973,24.015,2223
2026-09-06,A2,G2_G3_一般,3,44.2588,24.335,2280
2026-09-06,A2,G2_G3_一般,4,39.6198,24.0823,2078
2026-09-06,A2,G2_G3_一般,5,34.2994,22.6615,2084
2026-09-06,A2,G2_G3_一般,6,26.6416,21.6787,1858
2026-09-06,A2,SG_G1,1,99.1071,29.4913,28
2026-09-06,A2,SG_G1,2,53.5714,53.5,35
2026-09-06,A2,SG_G1,3,50.0,51.2348,30
2026-09-06,A2,SG_G1,4,43.1034,54.4948,29
2026-09-06,A2,SG_G1,5,48.2759,40.4346,29
2026-09-06,A2,SG_G1,6,41.4062,31.6286,32
2026-09-06,B1,全,1,69.1409,33.3989,3748
2026-09-06,B1,全,2,47.1832,32.6154,4608
2026-09-06,B1,全,3,44.7627,32.8448,4636
2026-09-06,B1,全,4,40.1815,32.4775,4739
2026-09-06,B1,全,5,35.5119,30.2135,4737
2026-09-06,B1,全,6,25.3492,25.9971,4124
2026-09-06,B2,全,1,81.6176,44.8598,238
2026-09-06,B2,全,2,47.2315,43.5752,298
2026-09-06,B2,全,3,44.8699,41.8682,346
2026-09-06,B2,全,4,32.9307,36.9728,476
2026-09-06,B2,全,5,29.5769,36.5354,579
2026-09-06,B2,全,6,13.2808,26.7239,1777
2026-09-06,A1,G2_G3_一般,0,32.9604,17.38,12228
2026-09-06,A1,SG_G1,0,50.3401,35.4527,1470
2026-09-06,A2,G2_G3_一般,0,42.7878,25.4076,12951
2026-09-06,A2,SG_G1,0,55.3279,48.7791,183
2026-09-06,B1,全,0,43.1431,33.8322,26592
2026-09-06,B2,全,0,28.3858,38.9492,3714
