記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-03,A1,G2_G3_一般,1,44.3302,12.57,2792
2026-09-03,A1,G2_G3_一般,2,33.4261,16.1705,2084
2026-09-03,A1,G2_G3_一般,3,32.0866,17.2989,1941
2026-09-03,A1,G2_G3_一般,4,30.5225,16.4539,1952
2026-09-03,A1,G2_G3_一般,5,27.3243,17.02,1835
2026-09-03,A1,G2_G3_一般,6,21.6425,16.6126,1449
2026-09-03,A1,SG_G1,1,85.5556,25.1132,234
2026-09-03,A1,SG_G1,2,50.3965,36.4181,227
2026-09-03,A1,SG_G1,3,48.0342,34.7455,234
2026-09-03,A1,SG_G1,4,46.3158,32.0434,228
2026-09-03,A1,SG_G1,5,42.3333,30.5705,240
2026-09-03,A1,SG_G1,6,30.1695,27.4011,236
2026-09-03,A2,G2_G3_一般,1,61.6847,20.689,2401
2026-09-03,A2,G2_G3_一般,2,45.0068,23.9957,2209
2026-09-03,A2,G2_G3_一般,3,44.2434,24.7394,2260
2026-09-03,A2,G2_G3_一般,4,39.5978,23.992,2051
2026-09-03,A2,G2_G3_一般,5,34.5499,22.2737,2066
2026-09-03,A2,G2_G3_一般,6,26.503,21.7303,1823
2026-09-03,A2,SG_G1,1,99.1071,29.4913,28
2026-09-03,A2,SG_G1,2,53.5714,53.5,35
2026-09-03,A2,SG_G1,3,50.0,51.2348,30
2026-09-03,A2,SG_G1,4,43.1034,54.4948,29
2026-09-03,A2,SG_G1,5,48.2759,40.4346,29
2026-09-03,A2,SG_G1,6,41.4062,31.6286,32
2026-09-03,B1,全,1,69.2716,33.2911,3693
2026-09-03,B1,全,2,47.2563,32.5103,4534
2026-09-03,B1,全,3,44.8476,32.9352,4559
2026-09-03,B1,全,4,40.3032,32.347,4683
2026-09-03,B1,全,5,35.6811,30.1664,4654
2026-09-03,B1,全,6,25.0666,26.0257,4054
2026-09-03,B2,全,1,80.5085,45.2904,236
2026-09-03,B2,全,2,46.4047,44.5813,299
2026-09-03,B2,全,3,45.0,42.2895,345
2026-09-03,B2,全,4,32.8616,37.2824,477
2026-09-03,B2,全,5,29.6502,36.5818,586
2026-09-03,B2,全,6,13.518,26.6704,1805
2026-09-03,A1,G2_G3_一般,0,32.9204,17.3905,12053
2026-09-03,A1,SG_G1,0,50.4217,35.6022,1399
2026-09-03,A2,G2_G3_一般,0,42.8123,25.4036,12810
2026-09-03,A2,SG_G1,0,55.3279,48.7791,183
2026-09-03,B1,全,0,43.2043,33.8217,26177
2026-09-03,B2,全,0,28.2417,38.8926,3748
