記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-25,A1,G2_G3_一般,1,44.4352,13.0739,2638
2026-09-25,A1,G2_G3_一般,2,33.5509,16.0191,1946
2026-09-25,A1,G2_G3_一般,3,32.26,17.765,1792
2026-09-25,A1,G2_G3_一般,4,31.0561,16.2315,1818
2026-09-25,A1,G2_G3_一般,5,27.4727,16.9413,1741
2026-09-25,A1,G2_G3_一般,6,21.363,15.9068,1372
2026-09-25,A1,SG_G1,1,84.5374,27.9967,454
2026-09-25,A1,SG_G1,2,51.7833,34.5396,443
2026-09-25,A1,SG_G1,3,51.9457,32.876,442
2026-09-25,A1,SG_G1,4,44.745,31.848,451
2026-09-25,A1,SG_G1,5,40.8482,30.7088,448
2026-09-25,A1,SG_G1,6,29.5344,27.6581,451
2026-09-25,A2,G2_G3_一般,1,61.6808,20.7805,2362
2026-09-25,A2,G2_G3_一般,2,45.3208,24.3085,2151
2026-09-25,A2,G2_G3_一般,3,44.0454,23.9038,2205
2026-09-25,A2,G2_G3_一般,4,39.8816,23.6219,2070
2026-09-25,A2,G2_G3_一般,5,34.6933,22.8623,2038
2026-09-25,A2,G2_G3_一般,6,26.7172,21.3495,1814
2026-09-25,A2,SG_G1,1,100.0,29.361,29
2026-09-25,A2,SG_G1,2,56.0811,53.3998,37
2026-09-25,A2,SG_G1,3,50.0,50.0,34
2026-09-25,A2,SG_G1,4,42.1875,52.8254,32
2026-09-25,A2,SG_G1,5,48.3871,39.1108,31
2026-09-25,A2,SG_G1,6,40.0,30.5894,35
2026-09-25,B1,全,1,68.545,34.108,3574
2026-09-25,B1,全,2,47.288,32.5171,4410
2026-09-25,B1,全,3,45.1363,33.3261,4439
2026-09-25,B1,全,4,39.9325,32.6777,4443
2026-09-25,B1,全,5,35.3914,30.6007,4509
2026-09-25,B1,全,6,25.5477,26.5886,3944
2026-09-25,B2,全,1,78.5865,45.9637,237
2026-09-25,B2,全,2,48.254,43.5631,315
2026-09-25,B2,全,3,48.6919,40.685,344
2026-09-25,B2,全,4,33.6777,38.2279,484
2026-09-25,B2,全,5,29.5743,36.7762,552
2026-09-25,B2,全,6,13.6709,26.573,1644
2026-09-25,A1,G2_G3_一般,0,33.0698,17.427,11307
2026-09-25,A1,SG_G1,0,50.6062,35.3988,2689
2026-09-25,A2,G2_G3_一般,0,42.8813,25.2798,12640
2026-09-25,A2,SG_G1,0,55.1768,48.1511,198
2026-09-25,B1,全,0,43.1154,34.1011,25319
2026-09-25,B2,全,0,29.5512,39.2589,3576
