記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-04,A1,G2_G3_一般,1,44.3045,12.8106,2811
2026-09-04,A1,G2_G3_一般,2,33.5064,15.9351,2099
2026-09-04,A1,G2_G3_一般,3,32.1857,17.2937,1949
2026-09-04,A1,G2_G3_一般,4,30.536,16.4535,1959
2026-09-04,A1,G2_G3_一般,5,27.3873,17.0045,1841
2026-09-04,A1,G2_G3_一般,6,21.5836,16.5718,1465
2026-09-04,A1,SG_G1,1,85.4054,25.1763,222
2026-09-04,A1,SG_G1,2,50.2326,36.5926,215
2026-09-04,A1,SG_G1,3,48.3258,34.7636,221
2026-09-04,A1,SG_G1,4,46.1187,31.8244,219
2026-09-04,A1,SG_G1,5,42.1429,30.397,224
2026-09-04,A1,SG_G1,6,30.1322,27.6141,227
2026-09-04,A2,G2_G3_一般,1,61.6791,20.6955,2409
2026-09-04,A2,G2_G3_一般,2,44.9252,23.9949,2206
2026-09-04,A2,G2_G3_一般,3,44.264,24.5207,2269
2026-09-04,A2,G2_G3_一般,4,39.4716,24.0704,2063
2026-09-04,A2,G2_G3_一般,5,34.3647,22.6685,2070
2026-09-04,A2,G2_G3_一般,6,26.6121,21.7799,1833
2026-09-04,A2,SG_G1,1,99.1071,29.4913,28
2026-09-04,A2,SG_G1,2,53.5714,53.5,35
2026-09-04,A2,SG_G1,3,50.0,51.2348,30
2026-09-04,A2,SG_G1,4,43.1034,54.4948,29
2026-09-04,A2,SG_G1,5,48.2759,40.4346,29
2026-09-04,A2,SG_G1,6,41.4062,31.6286,32
2026-09-04,B1,全,1,69.3915,33.2693,3714
2026-09-04,B1,全,2,47.18,32.6231,4571
2026-09-04,B1,全,3,44.902,32.9272,4594
2026-09-04,B1,全,4,40.1532,32.3987,4700
2026-09-04,B1,全,5,35.5958,30.0494,4691
2026-09-04,B1,全,6,25.1779,26.0474,4075
2026-09-04,B2,全,1,81.4894,44.9931,235
2026-09-04,B2,全,2,46.4646,44.572,297
2026-09-04,B2,全,3,45.6745,42.2687,341
2026-09-04,B2,全,4,32.8975,37.1813,478
2026-09-04,B2,全,5,29.5222,36.4957,586
2026-09-04,B2,全,6,13.4038,26.5715,1798
2026-09-04,A1,G2_G3_一般,0,32.9479,17.3843,12124
2026-09-04,A1,SG_G1,0,50.3163,35.6001,1328
2026-09-04,A2,G2_G3_一般,0,42.7603,25.4432,12850
2026-09-04,A2,SG_G1,0,55.3279,48.7791,183
2026-09-04,B1,全,0,43.1945,33.8363,26345
2026-09-04,B2,全,0,28.2865,38.9333,3735
