記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-21,A1,G2_G3_一般,1,44.5509,12.6689,2672
2026-09-21,A1,G2_G3_一般,2,33.5435,16.3807,1967
2026-09-21,A1,G2_G3_一般,3,32.1819,17.7132,1847
2026-09-21,A1,G2_G3_一般,4,31.0416,16.1364,1853
2026-09-21,A1,G2_G3_一般,5,27.2958,17.2213,1775
2026-09-21,A1,G2_G3_一般,6,21.2734,16.2234,1390
2026-09-21,A1,SG_G1,1,85.4893,25.9509,419
2026-09-21,A1,SG_G1,2,51.9221,34.6404,411
2026-09-21,A1,SG_G1,3,52.0388,32.9271,412
2026-09-21,A1,SG_G1,4,44.4976,31.8318,418
2026-09-21,A1,SG_G1,5,40.4317,30.7041,417
2026-09-21,A1,SG_G1,6,29.4511,27.8152,419
2026-09-21,A2,G2_G3_一般,1,61.637,20.7126,2361
2026-09-21,A2,G2_G3_一般,2,45.2756,24.3494,2123
2026-09-21,A2,G2_G3_一般,3,44.0454,23.9877,2158
2026-09-21,A2,G2_G3_一般,4,39.5985,23.956,2030
2026-09-21,A2,G2_G3_一般,5,34.7417,22.6791,2013
2026-09-21,A2,G2_G3_一般,6,26.6695,21.3974,1791
2026-09-21,A2,SG_G1,1,99.1071,29.4913,28
2026-09-21,A2,SG_G1,2,53.5714,53.5,35
2026-09-21,A2,SG_G1,3,50.0,51.2348,30
2026-09-21,A2,SG_G1,4,43.1034,54.4948,29
2026-09-21,A2,SG_G1,5,48.2759,40.4346,29
2026-09-21,A2,SG_G1,6,41.4062,31.6286,32
2026-09-21,B1,全,1,68.2837,34.1166,3624
2026-09-21,B1,全,2,47.4052,32.3356,4459
2026-09-21,B1,全,3,45.1632,33.3611,4505
2026-09-21,B1,全,4,39.774,32.7399,4514
2026-09-21,B1,全,5,35.3917,30.5405,4544
2026-09-21,B1,全,6,25.5895,26.4285,4029
2026-09-21,B2,全,1,79.5259,45.6749,232
2026-09-21,B2,全,2,49.0291,43.9166,309
2026-09-21,B2,全,3,47.9351,41.6671,339
2026-09-21,B2,全,4,33.4034,37.8697,476
2026-09-21,B2,全,5,29.3478,36.8498,552
2026-09-21,B2,全,6,13.6502,26.8494,1641
2026-09-21,A1,G2_G3_一般,0,33.032,17.5053,11504
2026-09-21,A1,SG_G1,0,50.641,35.3586,2496
2026-09-21,A2,G2_G3_一般,0,42.8647,25.331,12476
2026-09-21,A2,SG_G1,0,55.3279,48.7791,183
2026-09-21,B1,全,0,43.0676,34.0346,25675
2026-09-21,B2,全,0,29.4026,39.4268,3549
