記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-24,A1,G2_G3_一般,1,44.4207,13.0991,2615
2026-09-24,A1,G2_G3_一般,2,33.5166,16.3303,1928
2026-09-24,A1,G2_G3_一般,3,32.2085,17.804,1784
2026-09-24,A1,G2_G3_一般,4,31.086,16.2288,1814
2026-09-24,A1,G2_G3_一般,5,27.4018,16.9653,1732
2026-09-24,A1,G2_G3_一般,6,21.4054,15.9103,1359
2026-09-24,A1,SG_G1,1,85.1016,26.3708,443
2026-09-24,A1,SG_G1,2,51.8981,34.6157,432
2026-09-24,A1,SG_G1,3,51.9355,32.9842,434
2026-09-24,A1,SG_G1,4,44.7273,31.9007,440
2026-09-24,A1,SG_G1,5,40.6849,30.6473,438
2026-09-24,A1,SG_G1,6,29.3665,27.5395,442
2026-09-24,A2,G2_G3_一般,1,61.6624,20.7535,2343
2026-09-24,A2,G2_G3_一般,2,45.3734,24.3138,2129
2026-09-24,A2,G2_G3_一般,3,44.0545,23.7462,2184
2026-09-24,A2,G2_G3_一般,4,39.9586,23.6577,2051
2026-09-24,A2,G2_G3_一般,5,34.737,22.6634,2015
2026-09-24,A2,G2_G3_一般,6,26.7561,21.2926,1808
2026-09-24,A2,SG_G1,1,99.1071,29.4913,28
2026-09-24,A2,SG_G1,2,55.5556,54.0419,36
2026-09-24,A2,SG_G1,3,50.0,50.0,32
2026-09-24,A2,SG_G1,4,41.129,53.3357,31
2026-09-24,A2,SG_G1,5,48.3333,39.7562,30
2026-09-24,A2,SG_G1,6,40.9091,31.2724,33
2026-09-24,B1,全,1,68.4544,34.0994,3539
2026-09-24,B1,全,2,47.308,32.3892,4376
2026-09-24,B1,全,3,45.1419,33.3284,4403
2026-09-24,B1,全,4,39.9047,32.6963,4408
2026-09-24,B1,全,5,35.3389,30.6453,4471
2026-09-24,B1,全,6,25.5749,26.5912,3914
2026-09-24,B2,全,1,78.9195,45.7748,236
2026-09-24,B2,全,2,48.328,43.6126,314
2026-09-24,B2,全,3,48.8166,40.9133,338
2026-09-24,B2,全,4,33.5774,38.3657,478
2026-09-24,B2,全,5,29.5164,36.8885,548
2026-09-24,B2,全,6,13.7899,26.7268,1628
2026-09-24,A1,G2_G3_一般,0,33.0467,17.4876,11232
2026-09-24,A1,SG_G1,0,50.6428,35.3142,2629
2026-09-24,A2,G2_G3_一般,0,42.9062,25.2138,12530
2026-09-24,A2,SG_G1,0,55.0,48.4768,190
2026-09-24,B1,全,0,43.0903,34.0785,25111
2026-09-24,B2,全,0,29.6372,39.3812,3542
