記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-15,A1,G2_G3_一般,1,44.45,12.666,2782
2026-09-15,A1,G2_G3_一般,2,33.6403,16.16,2074
2026-09-15,A1,G2_G3_一般,3,32.2159,17.5813,1927
2026-09-15,A1,G2_G3_一般,4,31.0047,16.134,1931
2026-09-15,A1,G2_G3_一般,5,27.403,17.4003,1829
2026-09-15,A1,G2_G3_一般,6,21.3447,16.2091,1413
2026-09-15,A1,SG_G1,1,85.9587,25.6343,339
2026-09-15,A1,SG_G1,2,52.568,35.3026,331
2026-09-15,A1,SG_G1,3,51.2913,32.7675,333
2026-09-15,A1,SG_G1,4,43.3828,31.8259,337
2026-09-15,A1,SG_G1,5,40.5952,30.9705,336
2026-09-15,A1,SG_G1,6,29.0323,28.5413,341
2026-09-15,A2,G2_G3_一般,1,61.6186,20.9652,2391
2026-09-15,A2,G2_G3_一般,2,45.2674,24.1645,2188
2026-09-15,A2,G2_G3_一般,3,44.1501,23.991,2212
2026-09-15,A2,G2_G3_一般,4,39.4852,24.1806,2059
2026-09-15,A2,G2_G3_一般,5,34.59,22.5877,2073
2026-09-15,A2,G2_G3_一般,6,26.7551,21.4091,1846
2026-09-15,A2,SG_G1,1,99.1071,29.4913,28
2026-09-15,A2,SG_G1,2,53.5714,53.5,35
2026-09-15,A2,SG_G1,3,50.0,51.2348,30
2026-09-15,A2,SG_G1,4,43.1034,54.4948,29
2026-09-15,A2,SG_G1,5,48.2759,40.4346,29
2026-09-15,A2,SG_G1,6,41.4062,31.6286,32
2026-09-15,B1,全,1,68.705,33.7212,3722
2026-09-15,B1,全,2,47.373,32.5226,4568
2026-09-15,B1,全,3,44.8298,33.2697,4613
2026-09-15,B1,全,4,39.9572,32.4106,4670
2026-09-15,B1,全,5,35.8,30.1425,4681
2026-09-15,B1,全,6,25.495,26.0925,4131
2026-09-15,B2,全,1,80.9829,45.9526,234
2026-09-15,B2,全,2,47.7425,45.0418,299
2026-09-15,B2,全,3,46.0983,41.5464,346
2026-09-15,B2,全,4,33.8203,37.1737,462
2026-09-15,B2,全,5,29.9107,37.0869,560
2026-09-15,B2,全,6,13.0229,26.0557,1745
2026-09-15,A1,G2_G3_一般,0,33.093,17.4361,11956
2026-09-15,A1,SG_G1,0,50.4611,35.6905,2017
2026-09-15,A2,G2_G3_一般,0,42.7935,25.3584,12769
2026-09-15,A2,SG_G1,0,55.3279,48.7791,183
2026-09-15,B1,全,0,43.1465,33.8622,26385
2026-09-15,B2,全,0,28.5998,39.1415,3646
