記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-02,A1,G2_G3_一般,1,44.3192,12.5999,2776
2026-09-02,A1,G2_G3_一般,2,33.3414,16.1983,2068
2026-09-02,A1,G2_G3_一般,3,32.1362,17.2841,1938
2026-09-02,A1,G2_G3_一般,4,30.3911,16.48,1943
2026-09-02,A1,G2_G3_一般,5,27.2344,17.0389,1826
2026-09-02,A1,G2_G3_一般,6,21.6425,16.3149,1449
2026-09-02,A1,SG_G1,1,85.5556,25.1132,234
2026-09-02,A1,SG_G1,2,50.3965,36.4181,227
2026-09-02,A1,SG_G1,3,48.0342,34.7455,234
2026-09-02,A1,SG_G1,4,46.3158,32.0434,228
2026-09-02,A1,SG_G1,5,42.3333,30.5705,240
2026-09-02,A1,SG_G1,6,30.1695,27.4011,236
2026-09-02,A2,G2_G3_一般,1,61.666,20.7523,2392
2026-09-02,A2,G2_G3_一般,2,44.9252,24.0404,2207
2026-09-02,A2,G2_G3_一般,3,44.1811,24.7496,2253
2026-09-02,A2,G2_G3_一般,4,39.7575,23.6062,2041
2026-09-02,A2,G2_G3_一般,5,34.436,22.332,2048
2026-09-02,A2,G2_G3_一般,6,26.5404,21.7172,1821
2026-09-02,A2,SG_G1,1,99.1071,29.4913,28
2026-09-02,A2,SG_G1,2,53.5714,53.5,35
2026-09-02,A2,SG_G1,3,50.0,51.2348,30
2026-09-02,A2,SG_G1,4,43.1034,54.4948,29
2026-09-02,A2,SG_G1,5,48.2759,40.4346,29
2026-09-02,A2,SG_G1,6,41.4062,31.6286,32
2026-09-02,B1,全,1,69.3682,33.2717,3672
2026-09-02,B1,全,2,47.2864,32.558,4507
2026-09-02,B1,全,3,44.7285,32.9878,4530
2026-09-02,B1,全,4,40.2061,32.373,4657
2026-09-02,B1,全,5,35.6087,30.1305,4641
2026-09-02,B1,全,6,25.0549,25.9682,4008
2026-09-02,B2,全,1,80.1502,45.3915,233
2026-09-02,B2,全,2,46.1794,44.5299,301
2026-09-02,B2,全,3,44.5087,42.1021,346
2026-09-02,B2,全,4,33.1933,37.3926,476
2026-09-02,B2,全,5,29.7377,36.5724,591
2026-09-02,B2,全,6,13.5938,26.7145,1817
2026-09-02,A1,G2_G3_一般,0,32.8667,17.3776,12000
2026-09-02,A1,SG_G1,0,50.4217,35.6022,1399
2026-09-02,A2,G2_G3_一般,0,42.7985,25.3676,12762
2026-09-02,A2,SG_G1,0,55.3279,48.7791,183
2026-09-02,B1,全,0,43.182,33.8439,26015
2026-09-02,B2,全,0,28.1748,38.7849,3764
