記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-23,A1,G2_G3_一般,1,44.4639,12.8103,2630
2026-09-23,A1,G2_G3_一般,2,33.5527,16.3344,1945
2026-09-23,A1,G2_G3_一般,3,32.0452,18.2943,1814
2026-09-23,A1,G2_G3_一般,4,31.0923,16.1914,1831
2026-09-23,A1,G2_G3_一般,5,27.3413,16.9339,1749
2026-09-23,A1,G2_G3_一般,6,21.4545,15.92,1375
2026-09-23,A1,SG_G1,1,85.2436,26.2307,431
2026-09-23,A1,SG_G1,2,51.7815,34.5436,421
2026-09-23,A1,SG_G1,3,51.7453,33.1203,424
2026-09-23,A1,SG_G1,4,45.0698,31.8918,430
2026-09-23,A1,SG_G1,5,40.4215,30.7717,427
2026-09-23,A1,SG_G1,6,29.42,27.5763,431
2026-09-23,A2,G2_G3_一般,1,61.7384,20.7175,2370
2026-09-23,A2,G2_G3_一般,2,45.364,24.3057,2143
2026-09-23,A2,G2_G3_一般,3,44.1438,23.7778,2184
2026-09-23,A2,G2_G3_一般,4,39.8178,23.8833,2058
2026-09-23,A2,G2_G3_一般,5,34.7241,22.6789,2030
2026-09-23,A2,G2_G3_一般,6,26.6758,21.5047,1817
2026-09-23,A2,SG_G1,1,99.1071,29.4913,28
2026-09-23,A2,SG_G1,2,53.5714,53.5,35
2026-09-23,A2,SG_G1,3,50.0,51.2348,30
2026-09-23,A2,SG_G1,4,43.1034,54.4948,29
2026-09-23,A2,SG_G1,5,48.2759,40.4346,29
2026-09-23,A2,SG_G1,6,41.4062,31.6286,32
2026-09-23,B1,全,1,68.3403,34.1324,3597
2026-09-23,B1,全,2,47.3281,32.4172,4435
2026-09-23,B1,全,3,45.0928,33.3199,4473
2026-09-23,B1,全,4,39.8525,32.6545,4474
2026-09-23,B1,全,5,35.471,30.6672,4522
2026-09-23,B1,全,6,25.6297,26.5383,3986
2026-09-23,B2,全,1,78.4043,45.885,235
2026-09-23,B2,全,2,48.6246,43.7443,309
2026-09-23,B2,全,3,47.9351,41.6229,339
2026-09-23,B2,全,4,33.2636,38.3665,478
2026-09-23,B2,全,5,29.6989,36.9275,548
2026-09-23,B2,全,6,13.9294,26.8876,1644
2026-09-23,A1,G2_G3_一般,0,33.0201,17.5187,11344
2026-09-23,A1,SG_G1,0,50.624,35.3421,2564
2026-09-23,A2,G2_G3_一般,0,42.9178,25.3014,12602
2026-09-23,A2,SG_G1,0,55.3279,48.7791,183
2026-09-23,B1,全,0,43.0918,34.058,25487
2026-09-23,B2,全,0,29.4892,39.3745,3553
