記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-16,A1,G2_G3_一般,1,44.4317,12.7022,2798
2026-09-16,A1,G2_G3_一般,2,33.646,16.1428,2079
2026-09-16,A1,G2_G3_一般,3,32.2514,17.5592,1941
2026-09-16,A1,G2_G3_一般,4,30.9851,16.1049,1949
2026-09-16,A1,G2_G3_一般,5,27.4104,17.3791,1842
2026-09-16,A1,G2_G3_一般,6,21.4916,16.1818,1428
2026-09-16,A1,SG_G1,1,85.4701,26.1432,351
2026-09-16,A1,SG_G1,2,52.1283,35.223,343
2026-09-16,A1,SG_G1,3,51.3043,32.78,345
2026-09-16,A1,SG_G1,4,44.0688,32.02,349
2026-09-16,A1,SG_G1,5,40.6897,30.991,348
2026-09-16,A1,SG_G1,6,29.0652,28.3938,353
2026-09-16,A2,G2_G3_一般,1,61.6708,20.9548,2424
2026-09-16,A2,G2_G3_一般,2,45.1966,24.1885,2213
2026-09-16,A2,G2_G3_一般,3,44.1466,23.9728,2238
2026-09-16,A2,G2_G3_一般,4,39.4593,24.1575,2090
2026-09-16,A2,G2_G3_一般,5,34.7193,22.6049,2102
2026-09-16,A2,G2_G3_一般,6,26.7015,21.3934,1866
2026-09-16,A2,SG_G1,1,99.1071,29.4913,28
2026-09-16,A2,SG_G1,2,53.5714,53.5,35
2026-09-16,A2,SG_G1,3,50.0,51.2348,30
2026-09-16,A2,SG_G1,4,43.1034,54.4948,29
2026-09-16,A2,SG_G1,5,48.2759,40.4346,29
2026-09-16,A2,SG_G1,6,41.4062,31.6286,32
2026-09-16,B1,全,1,68.5965,33.8838,3762
2026-09-16,B1,全,2,47.3875,32.4905,4624
2026-09-16,B1,全,3,44.9036,33.3334,4670
2026-09-16,B1,全,4,39.8389,32.4355,4719
2026-09-16,B1,全,5,35.7732,30.1072,4727
2026-09-16,B1,全,6,25.5222,26.0841,4165
2026-09-16,B2,全,1,80.7773,45.9005,238
2026-09-16,B2,全,2,47.541,44.6996,305
2026-09-16,B2,全,3,46.2644,41.3978,348
2026-09-16,B2,全,4,34.1398,37.2049,465
2026-09-16,B2,全,5,30.3004,37.0714,566
2026-09-16,B2,全,6,12.9467,25.9818,1763
2026-09-16,A1,G2_G3_一般,0,33.1013,17.4124,12037
2026-09-16,A1,SG_G1,0,50.4452,35.6388,2089
2026-09-16,A2,G2_G3_一般,0,42.8041,25.3595,12933
2026-09-16,A2,SG_G1,0,55.3279,48.7791,183
2026-09-16,B1,全,0,43.135,33.8796,26667
2026-09-16,B2,全,0,28.6771,39.0966,3685
