記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-26,A1,G2_G3_一般,1,44.4436,13.0779,2624
2026-09-26,A1,G2_G3_一般,2,33.5185,16.0236,1944
2026-09-26,A1,G2_G3_一般,3,32.2415,17.5547,1789
2026-09-26,A1,G2_G3_一般,4,31.0072,16.2569,1807
2026-09-26,A1,G2_G3_一般,5,27.4123,16.9625,1739
2026-09-26,A1,G2_G3_一般,6,21.3537,15.889,1374
2026-09-26,A1,SG_G1,1,84.4156,27.9685,462
2026-09-26,A1,SG_G1,2,51.674,34.5177,454
2026-09-26,A1,SG_G1,3,52.0088,32.8846,453
2026-09-26,A1,SG_G1,4,45.087,31.8316,460
2026-09-26,A1,SG_G1,5,40.8772,30.7668,456
2026-09-26,A1,SG_G1,6,29.5032,27.627,463
2026-09-26,A2,G2_G3_一般,1,61.6574,20.8021,2341
2026-09-26,A2,G2_G3_一般,2,45.265,24.322,2151
2026-09-26,A2,G2_G3_一般,3,44.026,23.9353,2192
2026-09-26,A2,G2_G3_一般,4,39.7966,23.6102,2065
2026-09-26,A2,G2_G3_一般,5,34.6911,22.9243,2023
2026-09-26,A2,G2_G3_一般,6,26.6528,21.3413,1806
2026-09-26,A2,SG_G1,1,102.2727,28.4469,33
2026-09-26,A2,SG_G1,2,54.6053,53.4517,38
2026-09-26,A2,SG_G1,3,49.2857,49.4562,35
2026-09-26,A2,SG_G1,4,41.4286,51.3889,35
2026-09-26,A2,SG_G1,5,47.8571,37.4983,35
2026-09-26,A2,SG_G1,6,40.0,30.5894,35
2026-09-26,B1,全,1,68.4548,34.1171,3553
2026-09-26,B1,全,2,47.3733,32.4916,4359
2026-09-26,B1,全,3,45.0443,33.3043,4405
2026-09-26,B1,全,4,39.9864,32.6066,4412
2026-09-26,B1,全,5,35.2904,30.5941,4476
2026-09-26,B1,全,6,25.6181,26.6862,3923
2026-09-26,B2,全,1,78.6017,45.9453,236
2026-09-26,B2,全,2,48.1511,43.5396,311
2026-09-26,B2,全,3,48.6311,40.9268,347
2026-09-26,B2,全,4,34.2516,37.8428,481
2026-09-26,B2,全,5,29.3658,36.8574,544
2026-09-26,B2,全,6,13.4699,26.2071,1611
2026-09-26,A1,G2_G3_一般,0,33.0318,17.4072,11277
2026-09-26,A1,SG_G1,0,50.6041,35.3615,2748
2026-09-26,A2,G2_G3_一般,0,42.8291,25.2974,12578
2026-09-26,A2,SG_G1,0,55.4502,48.0044,211
2026-09-26,B1,全,0,43.1001,34.0845,25128
2026-09-26,B2,全,0,29.6176,39.2285,3530
