レースコード,レース日,レース場,レース回,締切時刻,取得日時,ボーダー順位,1着点,2着点,3着点,4着点,5着点,6着点,艇1_級別,艇1_登録番号,艇1_選手名,艇1_得点率,艇1_順位,艇1_ボーダー状態,艇1_早見,艇1_1着時得点率,艇1_1着時状態,艇1_2着時得点率,艇1_2着時状態,艇1_3着時得点率,艇1_3着時状態,艇1_4着時得点率,艇1_4着時状態,艇1_5着時得点率,艇1_5着時状態,艇1_6着時得点率,艇1_6着時状態,艇2_級別,艇2_登録番号,艇2_選手名,艇2_得点率,艇2_順位,艇2_ボーダー状態,艇2_早見,艇2_1着時得点率,艇2_1着時状態,艇2_2着時得点率,艇2_2着時状態,艇2_3着時得点率,艇2_3着時状態,艇2_4着時得点率,艇2_4着時状態,艇2_5着時得点率,艇2_5着時状態,艇2_6着時得点率,艇2_6着時状態,艇3_級別,艇3_登録番号,艇3_選手名,艇3_得点率,艇3_順位,艇3_ボーダー状態,艇3_早見,艇3_1着時得点率,艇3_1着時状態,艇3_2着時得点率,艇3_2着時状態,艇3_3着時得点率,艇3_3着時状態,艇3_4着時得点率,艇3_4着時状態,艇3_5着時得点率,艇3_5着時状態,艇3_6着時得点率,艇3_6着時状態,艇4_級別,艇4_登録番号,艇4_選手名,艇4_得点率,艇4_順位,艇4_ボーダー状態,艇4_早見,艇4_1着時得点率,艇4_1着時状態,艇4_2着時得点率,艇4_2着時状態,艇4_3着時得点率,艇4_3着時状態,艇4_4着時得点率,艇4_4着時状態,艇4_5着時得点率,艇4_5着時状態,艇4_6着時得点率,艇4_6着時状態,艇5_級別,艇5_登録番号,艇5_選手名,艇5_得点率,艇5_順位,艇5_ボーダー状態,艇5_早見,艇5_1着時得点率,艇5_1着時状態,艇5_2着時得点率,艇5_2着時状態,艇5_3着時得点率,艇5_3着時状態,艇5_4着時得点率,艇5_4着時状態,艇5_5着時得点率,艇5_5着時状態,艇5_6着時得点率,艇5_6着時状態,艇6_級別,艇6_登録番号,艇6_選手名,艇6_得点率,艇6_順位,艇6_ボーダー状態,艇6_早見,艇6_1着時得点率,艇6_1着時状態,艇6_2着時得点率,艇6_2着時状態,艇6_3着時得点率,艇6_3着時状態,艇6_4着時得点率,艇6_4着時状態,艇6_5着時得点率,艇6_5着時状態,艇6_6着時得点率,艇6_6着時状態
202609262101,2026-09-26,21,01R,08:44,2026-09-26T08:34:25.552221+09:00,18,10,08,06,04,02,01,A2,3611,岩崎 芳美,4.67,23,00,12,6.00,3,5.50,3,5.00,2,4.50,2,4.00,2,3.75,0,B2,5164,森田 梨湖,1.33,42,00,8,3.50,0,3.00,0,2.50,0,2.00,0,1.50,0,1.25,0,B2,4998,中村 かなえ,2.00,41,00,9,4.00,0,3.50,0,3.00,0,2.50,0,2.00,0,1.75,0,B1,5182,宮崎 安奈,2.67,39,00,6,4.50,2,4.00,0,3.50,0,3.00,0,2.50,0,2.25,0,B1,4897,深見 亜由美,2.67,39,00,5,4.50,2,4.00,0,3.50,0,3.00,0,2.50,0,2.25,0,B1,3579,中里 優子,3.00,38,00,7,4.75,2,4.25,2,3.75,0,3.25,0,2.75,0,2.50,0
202609262102,2026-09-26,21,02R,09:10,2026-09-26T09:00:57.726755+09:00,18,10,08,06,04,02,01,A2,5129,山口 真喜子,5.00,20,00,,6.00,5,5.60,5,5.20,0,4.80,0,4.40,0,4.20,0,B1,4525,真子 奈津実,5.33,18,01,8,6.50,5,6.00,3,5.50,3,5.00,2,4.50,2,4.25,2,B1,3604,武藤 綾子,8.00,6,01,11,8.50,5,8.00,5,7.50,5,7.00,5,6.50,5,6.25,5,A1,4050,田口 節子,6.75,13,01,9,7.40,5,7.00,5,6.60,5,6.20,5,5.80,3,5.60,3,B2,4510,坂本 奈央,1.00,43,00,7,4.00,2,3.33,0,2.67,0,2.00,0,1.33,0,1.00,0,B1,3470,新田 芳美,4.67,23,00,6,6.00,3,5.50,3,5.00,2,4.50,2,4.00,0,3.75,0
202609262103,2026-09-26,21,03R,09:36,2026-09-26T09:26:21.538477+09:00,18,10,08,06,04,02,01,A2,4240,今井 裕梨,3.75,30,00,,5.00,0,4.60,0,4.20,0,3.80,0,3.40,0,3.20,0,B2,5227,川原 愛未,3.33,36,00,,5.00,0,4.50,0,4.00,0,3.50,0,3.00,0,2.75,0,A2,4885,大山 千広,9.00,3,01,11,9.25,5,8.75,5,8.25,5,7.75,5,7.25,5,7.00,5,B1,4484,稲生 夏季,4.50,24,00,8,5.60,2,5.20,2,4.80,0,4.40,0,4.00,0,3.80,0,A2,3232,山川 美由紀,7.75,6,01,10,8.20,5,7.80,5,7.40,5,7.00,5,6.60,3,6.40,3,B1,4965,福岡 泉水,6.67,15,01,7,7.50,5,7.00,3,6.50,3,6.00,3,5.50,2,5.25,2
202609262104,2026-09-26,21,04R,10:02,2026-09-26T09:52:21.085991+09:00,18,10,08,06,04,02,01,A2,3435,寺田 千恵,7.00,11,01,,7.60,5,7.20,5,6.80,5,6.40,5,6.00,5,5.80,0,B1,5365,石村 日奈那,3.67,32,00,10,5.25,2,4.75,0,4.25,0,3.75,0,3.25,0,3.00,0,A2,5155,内山 七海,6.67,15,01,11,7.50,5,7.00,5,6.50,3,6.00,3,5.50,2,5.25,2,B2,5342,原村 百那,4.33,25,00,12,5.75,2,5.25,2,4.75,2,4.25,0,3.75,0,3.50,0,B1,4243,西村 歩,8.75,4,01,,9.00,5,8.60,5,8.20,5,7.80,5,7.40,5,7.20,5,A2,4964,土屋 南,9.67,2,01,8,9.75,5,9.25,5,8.75,5,8.25,5,7.75,5,7.50,5
202609262105,2026-09-26,21,05R,10:32,2026-09-26T10:22:21.662954+09:00,18,10,08,06,04,02,01,A1,4433,川野 芽唯,9.75,1,01,,9.80,5,9.40,5,9.00,5,8.60,5,8.20,5,8.00,5,A2,4974,安井 瑞紀,7.00,12,01,10,7.75,5,7.25,5,6.75,3,6.25,3,5.75,3,5.50,2,B1,4317,木村 紗友希,5.33,20,00,11,6.50,3,6.00,3,5.50,2,5.00,2,4.50,2,4.25,0,B1,4897,深見 亜由美,3.50,33,00,1,4.80,0,4.40,0,4.00,0,3.60,0,3.20,0,3.00,0,B1,3474,松瀬 弘美,4.33,26,00,9,5.75,3,5.25,2,4.75,2,4.25,0,3.75,0,3.50,0,A2,5188,武井 莉里佳,7.75,5,01,12,8.20,5,7.80,5,7.40,5,7.00,5,6.60,5,6.40,3
202609260901,2026-09-26,09,01R,10:33,2026-09-26T10:24:23.622370+09:00,18,10,08,06,04,02,01,A2,4261,岡 祐臣,7.20,11,01,11,7.67,5,7.33,5,7.00,5,6.67,5,6.33,5,6.17,3,B1,3843,上之 晃弘,4.00,32,00,7,5.00,0,4.67,0,4.33,0,4.00,0,3.67,0,3.50,0,B1,5223,森清 友翔,4.20,29,00,9,5.17,2,4.83,0,4.50,0,4.17,0,3.83,0,3.67,0,B1,3812,山崎 聖司,5.40,21,00,5,6.17,3,5.83,3,5.50,2,5.17,2,4.83,0,4.67,0,B2,5470,坂口 諒宗,1.50,39,00,8,3.20,0,2.80,0,2.40,0,2.00,0,1.60,0,1.40,0,B1,3981,今坂 晃広,5.80,17,01,6,6.50,3,6.17,3,5.83,3,5.50,2,5.17,2,5.00,0
202609261301,2026-09-26,13,01R,10:35,2026-09-26T10:26:21.698914+09:00,18,10,08,06,04,02,01,B1,4465,大西 賢,2.67,40,00,6,4.50,0,4.00,0,3.50,0,3.00,0,2.50,0,2.25,0,B1,4589,塩崎 桐加,4.00,30,00,9,5.50,2,5.00,2,4.50,0,4.00,0,3.50,0,3.25,0,A1,4852,川原 祐明,4.33,28,00,7,5.75,2,5.25,2,4.75,0,4.25,0,3.75,0,3.50,0,B1,4404,岸蔭 亮,6.00,16,01,,7.00,5,6.50,5,6.00,5,5.50,0,5.00,0,4.75,0,B1,5353,草川 壮良,1.33,44,00,,3.50,0,3.00,0,2.50,0,2.00,0,1.50,0,1.25,0,B1,4879,山崎 鉄平,4.33,28,00,,5.75,0,5.25,0,4.75,0,4.25,0,3.75,0,3.50,0
202609260201,2026-09-26,02,01R,10:47,2026-09-26T10:38:21.456805+09:00,12,10,08,06,04,02,01,B1,3277,齋藤 勇,0.00,1,01,5,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,3463,乙津 康志,0.00,1,01,7,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,5003,来田 衣織,0.00,1,01,8,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4982,中村 将隆,0.00,1,01,6,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,3873,別府 昌樹,0.00,1,01,9,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B2,5445,一ノ木 匠,0.00,1,01,,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5
202609261302,2026-09-26,13,02R,11:00,2026-09-26T10:50:22.743745+09:00,18,10,08,06,04,02,01,B1,3578,塩田 雄一,3.33,33,00,,5.00,0,4.50,0,4.00,0,3.50,0,3.00,0,2.75,0,A1,3612,馬袋 義則,8.33,5,01,12,8.75,5,8.25,5,7.75,5,7.25,5,6.75,5,6.50,3,A2,3717,立間 充宏,3.67,32,00,8,5.25,2,4.75,0,4.25,0,3.75,0,3.25,0,3.00,0,A1,4505,島田 賢人,7.00,11,01,10,7.75,5,7.25,5,6.75,3,6.25,3,5.75,2,5.50,2,B1,4941,孫崎 百世,3.00,36,00,9,4.75,0,4.25,0,3.75,0,3.25,0,2.75,0,2.50,0,A2,5104,山田 丈,6.67,12,01,7,7.50,5,7.00,3,6.50,3,6.00,3,5.50,2,5.25,2
202609260902,2026-09-26,09,02R,11:02,2026-09-26T10:52:24.556272+09:00,18,10,08,06,04,02,01,B1,4853,前原 哉,2.75,37,00,9,4.20,0,3.80,0,3.40,0,3.00,0,2.60,0,2.40,0,B1,5186,遠藤 圭吾,3.75,33,00,7,5.00,2,4.60,0,4.20,0,3.80,0,3.40,0,3.20,0,B1,4382,高山 智至,5.00,23,00,10,5.83,3,5.50,2,5.17,2,4.83,0,4.50,0,4.33,0,B1,5247,大森 翼,4.20,30,00,6,5.17,2,4.83,0,4.50,0,4.17,0,3.83,0,3.67,0,B2,5454,谷島 咲希,1.20,41,00,,2.67,0,2.33,0,2.00,0,1.67,0,1.33,0,1.17,0,B1,5343,小林 礼央,4.40,28,00,8,5.33,2,5.00,2,4.67,0,4.33,0,4.00,0,3.83,0
