レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202606021001,2026-06-02,10,01R,08:32,2026-06-02T08:41:12.289834+09:00,1,120,1,100,2,120,,,1-2,310,2,1=2,230,1,1=2,150,2,1=4,120,1,2=4,280,5,1-2-4,620,1,1=2=4,290,1
202606022301,2026-06-02,23,01R,08:39,2026-06-02T08:46:22.418789+09:00,1,100,1,100,2,260,,,1-2,400,2,1=2,790,4,1=2,440,7,1=4,160,2,2=4,650,9,1-2-4,2010,10,1=2=4,970,6
202606021401,2026-06-02,14,01R,08:46,2026-06-02T08:56:22.417218+09:00,1,100,1,100,2,260,,,1-2,260,1,1=2,270,1,1=2,210,3,1=6,280,6,2=6,980,11,1-2-6,4590,14,1=2=6,1950,9
202606021002,2026-06-02,10,02R,08:58,2026-06-02T09:07:38.594993+09:00,1,130,1,100,2,310,,,1-2,520,3,1=2,480,2,1=2,170,3,1=5,130,1,2=5,480,9,1-2-5,2230,9,1=2=5,1150,4
202606022302,2026-06-02,23,02R,09:05,2026-06-02T09:12:21.936935+09:00,2,810,2,280,1,120,,,2-1,1090,4,1=2,530,2,1=2,250,3,2=5,1440,14,1=5,820,8,2-1-5,13510,43,1=2=5,3130,9
202606021402,2026-06-02,14,02R,09:12,2026-06-02T09:20:24.913016+09:00,1,100,1,100,6,550,,,1-6,1730,6,1=6,1380,4,1=6,560,7,1=2,160,1,2=6,790,9,1-6-2,3660,10,1=2=6,880,4
202606021003,2026-06-02,10,03R,09:24,2026-06-02T09:34:24.874331+09:00,1,120,1,100,5,110,,,1-5,260,1,1=5,200,1,1=5,150,1,1=4,240,4,4=5,390,7,1-5-4,1170,5,1=4=5,420,3
202606022303,2026-06-02,23,03R,09:31,2026-06-02T09:38:19.789812+09:00,1,160,1,120,3,390,,,1-3,370,2,1=3,320,2,1=3,190,2,1=5,280,5,3=5,420,8,1-3-5,1440,4,1=3=5,580,3
202606021403,2026-06-02,14,03R,09:38,2026-06-02T09:46:23.291931+09:00,3,1100,3,270,2,290,,,3-2,6060,18,2=3,3700,7,2=3,780,11,3=5,460,8,2=5,460,8,3-2-5,28530,60,2=3=5,3890,12
202606021004,2026-06-02,10,04R,09:50,2026-06-02T09:58:23.377409+09:00,1,150,1,100,2,100,,,1-2,180,1,1=2,140,1,1=2,100,1,1=3,160,3,2=3,140,2,1-2-3,400,1,1=2=3,200,1
202606022304,2026-06-02,23,04R,09:57,2026-06-02T10:06:21.619502+09:00,1,120,1,100,5,260,,,1-5,400,1,1=5,410,2,1=5,160,2,1=3,130,1,3=5,250,5,1-5-3,1140,2,1=3=5,330,1
202606021404,2026-06-02,14,04R,10:04,2026-06-02T10:12:23.159230+09:00,1,120,1,120,2,360,,,1-2,490,2,1=2,420,2,1=2,140,2,1=4,110,1,2=4,200,3,1-2-4,730,2,1=2=4,210,1
202606021005,2026-06-02,10,05R,10:16,2026-06-02T10:24:24.080520+09:00,1,110,1,130,2,230,,,1-2,450,2,1=2,470,2,1=2,250,2,1=6,270,4,2=6,380,7,1-2-6,1860,5,1=2=6,890,4
202606022305,2026-06-02,23,05R,10:23,2026-06-02T10:32:22.565011+09:00,2,1230,2,290,1,100,,,2-1,2030,7,1=2,460,3,1=2,130,1,2=4,300,6,1=4,140,2,2-1-4,5080,14,1=2=4,480,2
202606021405,2026-06-02,14,05R,10:30,2026-06-02T10:38:19.803798+09:00,1,230,1,110,3,130,,,1-3,740,3,1=3,530,2,1=3,150,1,1=4,360,6,3=4,820,10,1-3-4,4250,18,1=3=4,1260,6
202606020901,2026-06-02,09,01R,10:31,2026-06-02T10:40:30.313540+09:00,2,1300,2,200,1,100,,,2-1,1780,5,1=2,160,1,1=2,130,1,2=4,270,5,1=4,190,3,2-1-4,9490,23,1=2=4,410,2
202606021101,2026-06-02,11,01R,10:34,2026-06-02T10:42:19.989578+09:00,3,800,3,290,4,150,,,3-4,3590,10,3=4,1810,7,3=4,300,9,1=3,160,2,1=4,140,1,3-4-1,6240,26,1=3=4,430,1
202606021301,2026-06-02,13,01R,10:41,2026-06-02T10:50:27.235778+09:00,1,270,1,110,3,140,,,1-3,370,1,1=3,230,1,1=3,160,1,1=6,330,6,3=6,180,3,1-3-6,820,1,1=3=6,350,1
202606021006,2026-06-02,10,06R,10:44,2026-06-02T10:54:19.895767+09:00,1,150,1,130,6,200,,,1-6,1180,5,1=6,1060,5,1=6,200,4,1=5,170,2,5=6,260,5,1-6-5,2710,9,1=5=6,520,4
202606022306,2026-06-02,23,06R,10:52,2026-06-02T11:01:27.586624+09:00,2,180,2,100,1,180,,,2-1,590,2,1=2,350,2,1=2,160,1,2=3,170,2,1=3,190,4,2-1-3,1500,3,1=2=3,440,3
202606020902,2026-06-02,09,02R,11:00,2026-06-02T11:08:23.448903+09:00,1,150,1,110,3,160,,,1-3,450,1,1=3,380,2,1=3,200,2,1=4,150,1,3=4,440,9,1-3-4,1170,2,1=3=4,570,2
202606021406,2026-06-02,14,06R,11:03,2026-06-02T11:12:22.923824+09:00,1,130,1,100,2,140,,,1-2,370,1,1=2,160,1,1=2,400,7,1=4,330,4,2=4,390,6,1-2-4,1950,8,1=2=4,1050,5
