レースコード,レース日,レース場,レース回,締切時刻,取得日時,艇1_コース,艇1_スタート展示,艇2_コース,艇2_スタート展示,艇3_コース,艇3_スタート展示,艇4_コース,艇4_スタート展示,艇5_コース,艇5_スタート展示,艇6_コース,艇6_スタート展示
202512190201,2025-12-19,02,01R,,backfill-from-daily,1,0.05,2,0.06,3,0.02,4,-0.01,5,0.03,6,-0.14
202512190202,2025-12-19,02,02R,,backfill-from-daily,1,-0.06,2,0.04,3,0.07,4,0.06,5,0.13,6,0.08
202512190203,2025-12-19,02,03R,,backfill-from-daily,1,0.21,2,0.19,3,0.15,4,0.09,5,0.23,6,0.27
202512190204,2025-12-19,02,04R,,backfill-from-daily,1,0.12,2,0.16,3,0.15,4,-0.06,5,-0.06,6,0.29
202512190205,2025-12-19,02,05R,,backfill-from-daily,1,0.01,2,-0.03,3,0.04,4,0.06,5,0.02,6,-0.12
202512190206,2025-12-19,02,06R,,backfill-from-daily,1,-0.04,2,0.16,3,0.06,4,0.03,5,0.06,6,0.05
202512190207,2025-12-19,02,07R,,backfill-from-daily,1,-0.08,2,0.09,3,0.05,4,0.07,5,-0.07,6,-0.05
202512190208,2025-12-19,02,08R,,backfill-from-daily,1,0.08,2,0.02,3,-0.02,4,0.13,5,0.51,6,0.21
202512190209,2025-12-19,02,09R,,backfill-from-daily,1,0.03,2,0.02,3,0.17,4,0.11,5,-0.09,6,-0.08
202512190210,2025-12-19,02,10R,,backfill-from-daily,1,0.09,2,0.12,3,0.11,4,-0.03,5,-0.05,6,0.04
202512190211,2025-12-19,02,11R,,backfill-from-daily,1,0.21,2,0.09,3,0.09,4,0.15,5,0.31,6,0.11
202512190212,2025-12-19,02,12R,,backfill-from-daily,1,0.03,2,0.08,3,0.08,4,-0.11,5,-0.07,6,-0.12
202512190301,2025-12-19,03,01R,,backfill-from-daily,1,-0.07,2,0.04,3,0.43,4,0.18,5,0.09,6,-0.2
202512190302,2025-12-19,03,02R,,backfill-from-daily,1,0.05,2,0.03,3,0.01,4,0.01,5,0.21,6,-0.01
202512190303,2025-12-19,03,03R,,backfill-from-daily,1,0.13,2,0.11,3,0.04,4,0.11,5,0.14,6,0.16
202512190304,2025-12-19,03,04R,,backfill-from-daily,1,0.09,2,-0.11,3,-0.04,4,0.06,5,0.09,6,0.15
202512190305,2025-12-19,03,05R,,backfill-from-daily,1,0.08,2,0.14,3,0.07,4,0.13,5,0.34,6,0.16
202512190306,2025-12-19,03,06R,,backfill-from-daily,1,0.41,2,0.18,3,0.13,4,0.18,5,0.17,6,0.16
202512190307,2025-12-19,03,07R,,backfill-from-daily,1,0.32,2,0.12,3,0.16,4,0.27,5,0.38,6,0.15
202512190308,2025-12-19,03,08R,,backfill-from-daily,1,0.15,2,0.23,3,0.2,4,0.25,5,0.27,6,0.3
202512190309,2025-12-19,03,09R,,backfill-from-daily,1,-0.17,2,-0.07,3,0.16,4,-0.17,5,-0.18,6,0.04
202512190310,2025-12-19,03,10R,,backfill-from-daily,1,0.22,2,0.1,3,0.13,4,0.01,5,0.03,6,0.13
202512190311,2025-12-19,03,11R,,backfill-from-daily,1,0.13,2,0.24,3,0.2,4,0.01,5,0.19,6,0.04
202512190312,2025-12-19,03,12R,,backfill-from-daily,1,0.03,2,0.02,3,0.09,4,0.17,5,0.03,6,-0.01
202512190501,2025-12-19,05,01R,,backfill-from-daily,1,0.04,2,0.09,3,0.02,4,0.08,6,0.08,5,0.1
202512190502,2025-12-19,05,02R,,backfill-from-daily,1,0.05,2,0.05,3,-0.09,4,0.02,5,-0.06,6,0.03
202512190503,2025-12-19,05,03R,,backfill-from-daily,1,0.05,2,0.21,3,0.15,4,0.17,5,0.12,6,0.08
202512190504,2025-12-19,05,04R,,backfill-from-daily,1,-0.04,3,-0.01,2,-0.1,4,0.1,5,-0.03,6,0.03
