stadium,n_samples,mu_waku,sigma_waku,mu_racer,sigma_racer,mu_motor2rate,sigma_motor2rate,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,w_waku,w_racer,w_motor2rate,w_exhibit,w_weather,mu_y,sigma_y,mse,r2,fallback
桐生,5884,5.058413,1.40113,53.744865,5.099473,33.274113,12.266403,49.998129,6.178043,0.000425,0.116418,0.358577,0.227887,0.094273,0.205993,0.113269,3.5345,1.695557,0.775274,0.224726,0
戸田,6237,5.046428,1.267711,53.725382,4.795081,33.309897,8.217004,49.995183,6.085381,-0.000139,0.095837,0.345529,0.225528,0.091364,0.224218,0.113362,3.537117,1.694697,0.831622,0.168378,0
江戸川,5583,5.103149,1.377031,53.023516,4.036253,34.233958,6.605633,49.986262,10.012483,-0.000768,0.162215,0.445531,0.264964,0.082043,0.10481,0.102653,3.557048,1.688514,0.760883,0.239117,0
平和島,4819,5.063117,1.296096,53.088073,4.161615,35.549492,6.193237,49.992503,6.376223,0.000812,0.287502,0.303896,0.290762,0.133037,0.216499,0.055806,3.537871,1.695779,0.762473,0.237527,0
多摩川,5544,5.042936,1.45309,53.44132,4.28828,34.530952,8.971436,50.011962,5.619518,0.00033,0.191921,0.334578,0.232488,0.122545,0.225548,0.084841,3.543651,1.69337,0.743069,0.256931,0
浜名湖,6052,5.048789,1.565805,53.586794,4.655038,33.192014,10.403545,49.992078,6.129967,-0.00092,0.212487,0.41053,0.198245,0.093606,0.219442,0.078177,3.533047,1.696405,0.728134,0.271866,0
蒲郡,7301,5.051348,1.644606,53.461452,4.973204,33.70169,8.256922,50.006342,6.191985,-0.000232,0.120853,0.403049,0.253973,0.061879,0.203332,0.077767,3.538419,1.694455,0.703992,0.296008,0
常滑,5813,5.046624,1.596817,54.237375,5.236994,32.615273,12.309667,49.989772,6.442516,0.000188,0.177991,0.393619,0.195293,0.060135,0.252228,0.098724,3.526578,1.698865,0.731782,0.268218,0
津,4733,5.043613,1.678151,53.935253,5.473845,32.807033,12.795738,50.000357,5.507614,1e-05,0.126634,0.447629,0.201044,0.059298,0.19221,0.099818,3.53539,1.695205,0.739027,0.260973,0
三国,5131,5.041332,1.531076,52.730455,3.544755,32.823174,10.791926,49.992329,7.080272,-0.000255,0.112307,0.391486,0.284383,0.072329,0.167364,0.084439,3.533229,1.695436,0.709405,0.290595,0
びわこ,4473,5.050004,1.435845,53.179782,3.942383,33.536942,9.523068,50.003407,6.005436,2.9e-05,0.124397,0.366141,0.25243,0.074243,0.206319,0.100867,3.536106,1.695091,0.762266,0.237734,0
住之江,5689,5.046388,1.694535,55.586656,6.706432,32.497863,10.498957,49.99415,8.005648,-0.00025,0.240866,0.429584,0.151111,0.087796,0.25028,0.081229,3.539638,1.695242,0.753719,0.246281,0
尼崎,5166,5.051024,1.651066,54.230237,5.624275,32.809338,9.17591,50.000099,7.724651,0.00014,0.198322,0.397277,0.205796,0.088285,0.244243,0.064399,3.536585,1.695944,0.724288,0.275712,0
鳴門,5059,5.065834,1.343857,53.670485,4.164764,33.269386,9.176736,50.004157,5.978496,0.000447,0.166472,0.325328,0.249032,0.093813,0.223623,0.108203,3.547737,1.690129,0.794961,0.205039,0
丸亀,6657,5.057514,1.55819,53.935165,4.868853,32.784217,8.808078,49.995238,6.107971,0.00045,0.162938,0.400835,0.186919,0.079929,0.222742,0.109575,3.536728,1.696043,0.738218,0.261782,0
児島,5536,5.043424,1.563553,53.438612,4.536863,32.60418,11.946882,49.996391,5.476078,-0.000212,0.157326,0.443488,0.213952,0.050202,0.180751,0.111606,3.532695,1.696971,0.74125,0.25875,0
宮島,6926,5.060179,1.602794,53.393091,4.481944,33.17397,10.583938,49.988715,6.109688,-0.000159,0.126095,0.458727,0.21103,0.068795,0.16609,0.095358,3.548657,1.6911,0.721599,0.278401,0
徳山,6763,5.041932,1.758604,53.818838,4.888053,33.358219,9.131643,50.005701,8.078311,-5.2e-05,0.146864,0.464598,0.173844,0.053562,0.205812,0.102184,3.527872,1.697146,0.690381,0.309619,0
下関,5741,5.0408,1.73861,54.084247,5.241112,34.072671,5.60346,49.995573,6.326687,0.000124,0.133079,0.464557,0.174323,0.066567,0.200385,0.094168,3.524125,1.700021,0.696841,0.303159,0
若松,5487,5.054881,1.651343,53.853204,5.008543,32.244263,12.22946,49.985226,7.064702,-0.000146,0.16048,0.414435,0.220833,0.046086,0.221308,0.097339,3.535083,1.695146,0.70082,0.29918,0
芦屋,3935,5.057845,1.663169,53.936441,4.895497,33.511885,9.594744,49.993734,7.254741,-0.000894,0.207572,0.443908,0.182199,0.075693,0.208186,0.090014,3.552224,1.691974,0.708781,0.291219,0
福岡,4574,5.057251,1.739496,54.355645,5.868995,32.22446,12.245624,49.988818,6.675023,0.000251,0.113277,0.449267,0.159073,0.061066,0.246333,0.084262,3.53979,1.693002,0.690899,0.309101,0
唐津,4786,5.046277,1.660423,54.0121,5.143446,32.820995,9.06599,49.993672,5.992413,-0.000114,0.151481,0.449293,0.221767,0.051712,0.196633,0.080595,3.530297,1.697083,0.68363,0.31637,0
大村,6080,5.047345,1.784544,53.629392,4.841849,34.050863,6.652064,50.00372,6.654662,2.5e-05,0.13854,0.494876,0.183637,0.050708,0.182094,0.088685,3.535526,1.695404,0.66809,0.33191,0
