レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),天候,風向,風速(m),波の高さ(cm),決まり手,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気,1着_着順,1着_艇番,1着_登録番号,1着_選手名,1着_モーター番号,1着_ボート番号,1着_展示タイム,1着_進入コース,1着_スタートタイミング,1着_レースタイム,2着_着順,2着_艇番,2着_登録番号,2着_選手名,2着_モーター番号,2着_ボート番号,2着_展示タイム,2着_進入コース,2着_スタートタイミング,2着_レースタイム,3着_着順,3着_艇番,3着_登録番号,3着_選手名,3着_モーター番号,3着_ボート番号,3着_展示タイム,3着_進入コース,3着_スタートタイミング,3着_レースタイム,4着_着順,4着_艇番,4着_登録番号,4着_選手名,4着_モーター番号,4着_ボート番号,4着_展示タイム,4着_進入コース,4着_スタートタイミング,4着_レースタイム,5着_着順,5着_艇番,5着_登録番号,5着_選手名,5着_モーター番号,5着_ボート番号,5着_展示タイム,5着_進入コース,5着_スタートタイミング,5着_レースタイム,6着_着順,6着_艇番,6着_登録番号,6着_選手名,6着_モーター番号,6着_ボート番号,6着_展示タイム,6着_進入コース,6着_スタートタイミング,6着_レースタイム
202507252301,マスターズリーグ第４戦,第1日,2025/07/25,唐津,01R,朝１戦,1800,晴,北,1,1,まくり,3,760,3,170,1,110,3-1,1070,4,1-3,200,1,1-3,110,1,3-5,250,4,1-5,150,3,3-1-5,2550,8,1-3-5,280,2,1,3,3888,山 本 英 志,46,59,6.71,3,0.1,110.0,2,1,3737,上 平 真 二,21,27,6.73,1,0.26,110.4,3,5,3535,渡 修 平,41,17,6.76,5,0.15,113.4,4,6,3699,富 永 正 人,17,60,6.86,6,0.16,114.2,5,4,3855,大 熊 辰 弥,32,9,6.85,4,0.25,115.4,6,2,3998,冨 成 謙 児,58,1,6.8,2,0.21,118.5
202507252302,マスターズリーグ第４戦,第1日,2025/07/25,唐津,02R,３ライズ戦,1800,晴,北,3,3,まくり,3,350,3,120,1,110,3-1,560,3,1-3,150,1,1-3,120,1,3-4,180,4,1-4,140,2,3-1-4,910,3,1-3-4,150,1,1,3,3412,鈴 木 博,47,38,6.72,3,0.09,109.9,2,1,4002,古 結 宏,62,29,6.81,1,0.15,112.5,3,4,3713,伊 藤 誠 二,70,44,6.79,4,0.12,113.6,4,5,3775,泉 啓 文,24,52,6.83,5,0.15,115.1,5,6,3863,海老澤 泰 行,52,24,6.84,6,0.21,116.3,6,2,3820,樫 葉 次 郎,23,2,6.86,2,0.12,116.6
202507252304,マスターズリーグ第４戦,第1日,2025/07/25,唐津,04R,おは４戦,1800,晴,北,2,2,逃げ,1,200,1,120,4,150,1-4,770,2,1-4,500,2,1-4,190,2,1-3,230,5,3-4,230,6,1-4-3,2460,8,1-3-4,460,2,1,1,3710,吉 永 泰 弘,43,46,6.81,1,0.09,111.0,2,4,3422,服 部 幸 男,29,19,6.83,4,0.17,112.5,3,3,4015,前 野 竜 一,16,35,6.85,3,0.14,113.3,4,5,3439,大 平 誉史明,56,13,6.84,5,0.14,114.7,5,6,3832,下 田 哲 也,40,26,6.77,6,0.1,116.2,6,2,3874,山 本 寛 久,31,16,6.83,2,0.13,118.1
202507252305,マスターズリーグ第４戦,第1日,2025/07/25,唐津,05R,レッツ５戦,1800,晴,北,3,3,差し,3,430,3,180,1,120,3-1,910,3,1-3,170,1,1-3,140,2,2-3,230,4,1-2,100,1,3-1-2,2380,8,1-2-3,190,1,1,3,3251,平 石 和 男,55,12,6.8,3,0.24,109.8,2,1,4042,丸 岡 正 典,25,28,6.83,1,0.17,111.6,3,2,3333,丸 尾 義 孝,18,55,6.86,2,0.18,111.9,4,5,3455,谷 本 幸 司,57,8,6.89,5,0.25,115.1,5,4,3730,塩 崎 優 司,12,56,6.9,4,0.24,116.0,6,6,3853,岩 崎 正 哉,64,39,6.82,6,0.28,117.8
202507252306,マスターズリーグ第４戦,第1日,2025/07/25,唐津,06R,予選,1800,晴,北,3,3,,2,360,2,180,6,980,2-6,8260,24,2-6,7550,14,2-6,1400,12,2-4,200,2,4-6,1570,13,2-6-4,34010,77,2-4-6,3360,15,1,2,3541,三 嶌 誠 司,27,57,6.85,2,0.12,110.1,2,6,3717,立 間 充 宏,50,11,6.85,6,0.18,111.8,3,4,4079,出 畑 孝 典,19,45,6.86,4,0.19,113.5,4,3,3535,渡 修 平,41,17,6.86,3,0.17,115.1,5,5,3256,三 角 哲 男,22,49,6.87,5,0.13,115.8,6,1,3788,一 宮 稔 弘,65,40,6.88,1,0.19,117.7
202507252307,マスターズリーグ第４戦,第1日,2025/07/25,唐津,07R,予選,1800,晴,北,2,2,差し,5,330,5,110,1,100,5-1,1130,4,1-5,400,2,1-5,120,1,2-5,210,3,1-2,210,4,5-1-2,5480,21,1-2-5,470,3,1,5,3978,齊 藤 仁,11,5,6.8,5,0.14,109.9,2,1,3554,仲 口 博 崇,20,41,6.81,1,0.12,111.3,3,2,3699,富 永 正 人,17,60,6.86,2,0.11,112.8,4,3,3863,海老澤 泰 行,52,24,6.88,3,0.15,113.6,5,6,3562,山 下 和 彦,51,4,6.8,6,0.14,114.7,6,4,4076,杉 田 篤 光,60,34,6.88,4,0.18,115.8
202507252308,マスターズリーグ第４戦,第1日,2025/07/25,唐津,08R,予選,1800,晴,北,4,4,差し,3,1020,3,200,1,190,3-1,470,3,1-3,190,1,1-3,130,1,3-5,350,7,1-5,320,6,3-1-5,2210,9,1-3-5,530,3,1,3,3737,上 平 真 二,21,27,6.88,3,0.27,110.2,2,1,3713,伊 藤 誠 二,70,44,6.82,1,0.21,112.1,3,5,3284,渡 邊 伸太郎,28,21,6.92,5,0.34,113.4,4,4,3703,鳥 飼 眞,39,58,6.81,4,0.21,114.1,5,2,3471,赤 峰 和 也,14,33,6.86,2,0.31,115.7,6,6,3855,大 熊 辰 弥,32,9,6.91,6,0.41,118.9
202507252309,マスターズリーグ第４戦,第1日,2025/07/25,唐津,09R,予選,1800,晴,北,4,4,,1,200,1,130,5,100,1-5,460,1,1-5,300,1,1-5,120,1,1-6,210,4,5-6,130,2,1-5-6,1110,1,1-5-6,350,1,1,1,3439,大 平 誉史明,56,13,6.85,1,0.17,110.6,2,5,3473,石 川 真 二,42,14,6.99,2,0.09,111.8,3,6,3412,鈴 木 博,47,38,6.86,6,0.08,113.7,4,3,3710,吉 永 泰 弘,43,46,6.91,4,0.11,115.5,5,2,3459,中 野 和 裕,49,6,6.9,3,0.12,116.4,6,4,3820,樫 葉 次 郎,23,2,6.95,5,0.08,118.7
202507252310,マスターズリーグ第４戦,第1日,2025/07/25,唐津,10R,予選特賞,1800,晴,北,4,4,逃げ,1,230,1,100,2,120,1-2,500,1,1-2,360,2,1-2,250,3,1-5,210,2,2-5,520,10,1-2-5,2530,9,1-2-5,720,4,1,1,3772,一 柳 和 孝,26,10,6.84,1,0.12,110.8,2,2,3800,牧 宏 次,13,7,6.88,2,0.13,112.1,3,5,4002,古 結 宏,62,29,6.94,6,0.13,113.6,4,6,3874,山 本 寛 久,31,16,6.87,5,0.16,113.8,5,4,3251,平 石 和 男,55,12,6.87,4,0.13,114.4,6,3,3853,岩 崎 正 哉,64,39,6.86,3,0.15,118.7
202507252311,マスターズリーグ第４戦,第1日,2025/07/25,唐津,11R,宝当特選,1800,晴,北,4,4,差し,2,160,2,110,1,110,2-1,510,3,1-2,300,2,1-2,190,1,2-5,900,13,1-5,620,10,2-1-5,6640,25,1-2-5,2060,8,1,2,4079,出 畑 孝 典,19,45,6.86,2,0.16,111.4,2,1,4076,杉 田 篤 光,60,34,6.92,1,0.13,112.4,3,5,3081,岡 本 慎 治,66,31,6.93,5,0.08,114.3,4,6,3333,丸 尾 義 孝,18,55,6.86,6,0.09,114.9,5,4,3717,立 間 充 宏,50,11,6.89,4,0.07,116.0,6,3,3562,山 下 和 彦,51,4,6.88,3,0.11,116.1
202507252312,マスターズリーグ第４戦,第1日,2025/07/25,唐津,12R,ドリーム,1800,晴,北,3,3,逃げ,1,100,1,100,6,540,1-6,4880,13,1-6,1840,7,1-6,130,1,1-4,210,3,4-6,1020,13,1-6-4,22320,57,1-4-6,3000,11,1,1,3422,服 部 幸 男,29,19,6.91,1,0.13,111.0,2,6,3541,三 嶌 誠 司,27,57,6.98,6,0.09,112.3,3,4,3554,仲 口 博 崇,20,41,6.85,4,0.16,113.7,4,3,3946,赤 岩 善 生,61,22,6.86,3,0.19,114.2,5,5,4042,丸 岡 正 典,25,28,6.86,5,0.15,115.0,6,2,3256,三 角 哲 男,22,49,6.93,2,0.12,117.1
202507252201,にっぽん未来プロジェクト競走ｉｎ福岡,第3日,2025/07/25,福岡,01R,カタメン１予,1800,晴,東,4,4,差し,2,1210,2,120,1,100,2-1,1930,5,1-2,220,2,1-2,120,2,2-3,120,3,1-3,100,1,2-1-3,5500,13,1-2-3,230,1,1,2,4007,榮 田 将 彦,55,134,6.89,2,0.16,112.0,2,1,4074,柳 沢 一,69,135,6.89,1,0.16,112.8,3,3,3882,新 田 智 彰,48,131,6.88,3,0.28,115.0,4,5,3701,大 西 隆 洋,28,156,6.94,5,0.31,116.7,5,4,5263,花 田 凱 成,24,157,6.91,4,0.32,,6,6,5369,岡 崎 凪 汰,34,152,6.9,6,0.37,
202507252202,にっぽん未来プロジェクト競走ｉｎ福岡,第3日,2025/07/25,福岡,02R,予選,1800,晴,東,4,4,逃げ,1,140,1,100,4,150,1-4,420,2,1-4,520,2,1-4,330,6,1-3,280,4,3-4,840,9,1-4-3,1840,7,1-3-4,910,4,1,1,5298,水 谷 理 人,16,155,6.93,1,0.18,111.5,2,4,5063,大 塚 雅 治,74,170,6.88,4,0.18,113.9,3,3,3567,吉 岡 誠,73,121,6.93,3,0.13,115.5,4,2,5033,藤 原 孝 斗,62,166,6.85,2,0.15,116.0,5,5,4944,田 代 達 也,51,142,6.88,5,0.2,,6,6,3587,武 田 信 一,50,112,6.92,6,0.18,
202507252203,にっぽん未来プロジェクト競走ｉｎ福岡,第3日,2025/07/25,福岡,03R,カタメン３予,1800,晴,東,4,4,逃げ,1,270,1,100,3,350,1-3,260,1,1-3,300,1,1-3,110,1,1-4,170,3,3-4,250,4,1-3-4,720,1,1-3-4,320,1,1,1,5120,山 本 稔太朗,33,159,6.93,1,0.12,113.1,2,3,4134,杉 山 貴 博,75,113,6.95,3,0.18,114.4,3,4,4060,島 田 一 生,30,127,6.89,4,0.17,116.1,4,5,3989,熊 本 英 一,32,106,6.94,5,0.26,116.4,5,2,4498,宮 本 夏 樹,66,137,6.97,2,0.17,,6,6,4950,高 岡 竜 也,25,169,6.91,6,0.28,
202507252204,にっぽん未来プロジェクト競走ｉｎ福岡,第3日,2025/07/25,福岡,04R,予選,1800,晴,東,4,4,まくり,2,100,2,140,5,140,2-5,430,1,2-5,380,2,2-5,150,1,1-2,190,3,1-5,270,6,2-5-1,1570,4,1-2-5,240,1,1,2,4409,坂 元 浩 仁,56,150,6.85,2,0.11,111.1,2,5,4155,長 野 壮志郎,11,144,6.83,5,0.26,113.6,3,1,3578,塩 田 雄 一,19,140,6.93,1,0.15,115.8,4,4,5262,鈴 木 章 司,67,110,6.9,4,0.32,116.8,5,6,5065,伊久間 陽 優,59,118,6.86,6,0.36,,6,3,4789,古 賀 智 之,42,160,6.87,3,0.14,
202507252205,にっぽん未来プロジェクト競走ｉｎ福岡,第3日,2025/07/25,福岡,05R,予選,1800,晴,東,3,3,まくり,4,260,4,350,6,480,4-6,940,5,4-6,540,3,4-6,280,5,1-4,160,2,1-6,430,6,4-6-1,2570,12,1-4-6,500,3,1,4,3582,吉 川 昭 男,54,115,6.89,3,0.19,112.9,2,6,4736,高 倉 和 士,52,116,6.93,6,0.21,113.7,3,1,3293,宮 内 由紀英,40,109,6.92,1,0.29,115.1,4,2,4319,三 宅 潤,53,161,6.93,2,0.28,116.5,5,5,5369,岡 崎 凪 汰,34,152,6.91,5,0.26,,6,3,4010,越 智 照 浩,37,147,6.93,4,0.22,
202507252206,にっぽん未来プロジェクト競走ｉｎ福岡,第3日,2025/07/25,福岡,06R,予選,1800,晴,東,4,4,まくり,6,250,6,150,2,190,6-2,580,2,2-6,380,1,2-6,160,1,4-6,180,2,2-4,360,8,6-2-4,1330,1,2-4-6,390,1,1,6,3532,柴 田 光,58,119,6.87,2,0.2,112.0,2,2,4603,谷 川 将 太,47,151,6.87,3,0.17,113.5,3,4,5298,水 谷 理 人,16,155,6.83,5,0.14,114.6,4,5,4529,嶋 義 信,12,133,6.92,6,0.15,115.8,5,3,5178,成 貞 琳 平,57,122,6.89,4,0.15,,6,1,5263,花 田 凱 成,24,157,6.88,1,0.24,
202507252207,にっぽん未来プロジェクト競走ｉｎ福岡,第3日,2025/07/25,福岡,07R,予選,1800,晴,東,4,4,逃げ,1,180,1,110,2,100,1-2,260,1,1-2,210,1,1-2,130,2,1-5,110,1,2-5,300,5,1-2-5,780,1,1-2-5,340,1,1,1,5063,大 塚 雅 治,74,170,6.85,1,0.02,111.0,2,2,4969,町 田 洸 希,14,148,6.88,2,0.08,113.6,3,5,4704,河 野 大,15,145,6.91,5,0.13,114.6,4,3,3701,大 西 隆 洋,28,156,6.91,3,0.11,116.6,5,6,4887,富 澤 祐 作,20,143,6.89,6,0.17,,6,4,4498,宮 本 夏 樹,66,137,6.92,4,0.21,
202507252208,にっぽん未来プロジェクト競走ｉｎ福岡,第3日,2025/07/25,福岡,08R,予選,1800,晴,東,4,4,逃げ,1,110,1,120,4,510,1-4,850,4,1-4,1000,4,1-4,580,8,1-5,150,1,4-5,1020,11,1-4-5,6490,23,1-4-5,2700,9,1,1,4027,松 江 秀 徳,70,103,6.87,1,0.17,112.1,2,4,3578,塩 田 雄 一,19,140,6.96,4,0.19,113.7,3,5,3822,平 尾 崇 典,31,128,6.91,5,0.16,115.5,4,2,4060,島 田 一 生,30,127,6.87,2,0.26,116.1,5,3,5033,藤 原 孝 斗,62,166,6.92,3,0.19,,6,6,4241,大 串 重 幸,21,126,6.96,6,0.16,
202507252209,にっぽん未来プロジェクト競走ｉｎ福岡,第3日,2025/07/25,福岡,09R,予選特賞,1800,晴,東,4,4,逃げ,1,100,1,100,3,230,1-3,340,2,1-3,510,2,1-3,120,2,1-6,100,1,3-6,570,9,1-3-6,2070,8,1-3-6,870,4,1,1,4051,清 水 敦 揮,23,146,6.97,1,0.06,111.8,2,3,4007,榮 田 将 彦,55,134,6.91,3,0.1,113.3,3,6,4409,坂 元 浩 仁,56,150,6.87,6,0.28,115.0,4,2,3582,吉 川 昭 男,54,115,6.89,2,0.14,115.0,5,4,3587,武 田 信 一,50,112,6.9,4,0.16,,6,5,5120,山 本 稔太朗,33,159,6.96,5,0.31,
202507252210,にっぽん未来プロジェクト競走ｉｎ福岡,第3日,2025/07/25,福岡,10R,予選特賞,1800,晴,東,3,3,まくり,2,260,2,130,5,1460,2-5,2840,7,2-5,2100,5,2-5,850,7,2-4,500,4,4-5,1110,9,2-5-4,11960,27,2-4-5,2410,7,1,2,4237,大 峯 豊,41,174,6.93,2,0.07,112.4,2,5,4319,三 宅 潤,53,161,6.9,5,0.19,114.3,3,4,3882,新 田 智 彰,48,131,6.93,4,0.14,115.0,4,1,4529,嶋 義 信,12,133,6.93,1,0.13,116.4,5,3,4944,田 代 達 也,51,142,6.92,3,0.11,,6,6,4134,杉 山 貴 博,75,113,6.95,6,0.19,
