レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202608310401,2026-08-31,04,平和島,1R,オラレ刈羽開設１０周年記念第６４回東中スポーツ杯,最終日,IP,S,一般,11:48,
202608310402,2026-08-31,04,平和島,2R,オラレ刈羽開設１０周年記念第６４回東中スポーツ杯,最終日,IP,S,一般,12:17,
202608310403,2026-08-31,04,平和島,3R,オラレ刈羽開設１０周年記念第６４回東中スポーツ杯,最終日,IP,S,一般,12:46,
202608310404,2026-08-31,04,平和島,4R,オラレ刈羽開設１０周年記念第６４回東中スポーツ杯,最終日,IP,S,一般,13:16,
202608310405,2026-08-31,04,平和島,5R,オラレ刈羽開設１０周年記念第６４回東中スポーツ杯,最終日,IP,S,一般,13:47,
202608310406,2026-08-31,04,平和島,6R,オラレ刈羽開設１０周年記念第６４回東中スポーツ杯,最終日,IP,S,一般,14:18,
202608310407,2026-08-31,04,平和島,7R,オラレ刈羽開設１０周年記念第６４回東中スポーツ杯,最終日,IP,S,一般,14:50,
202608310408,2026-08-31,04,平和島,8R,オラレ刈羽開設１０周年記念第６４回東中スポーツ杯,最終日,IP,S,一般,15:22,
202608310409,2026-08-31,04,平和島,9R,オラレ刈羽開設１０周年記念第６４回東中スポーツ杯,最終日,IP,S,一般特選,15:52,
202608310410,2026-08-31,04,平和島,10R,オラレ刈羽開設１０周年記念第６４回東中スポーツ杯,最終日,IP,S,選抜,16:27,
202608310411,2026-08-31,04,平和島,11R,オラレ刈羽開設１０周年記念第６４回東中スポーツ杯,最終日,IP,S,選抜,17:00,
202608310412,2026-08-31,04,平和島,12R,オラレ刈羽開設１０周年記念第６４回東中スポーツ杯,最終日,IP,S,優勝戦,17:35,
202608310501,2026-08-31,05,多摩川,1R,第１２回ホットマンカップ,４日目,G3,S,予選,11:29,
202608310502,2026-08-31,05,多摩川,2R,第１２回ホットマンカップ,４日目,G3,S,予選,12:00,
202608310503,2026-08-31,05,多摩川,3R,第１２回ホットマンカップ,４日目,G3,S,予選,12:27,
202608310504,2026-08-31,05,多摩川,4R,第１２回ホットマンカップ,４日目,G3,S,予選,13:00,
202608310505,2026-08-31,05,多摩川,5R,第１２回ホットマンカップ,４日目,G3,S,予選,13:28,
202608310506,2026-08-31,05,多摩川,6R,第１２回ホットマンカップ,４日目,G3,S,予選,14:02,
202608310507,2026-08-31,05,多摩川,7R,第１２回ホットマンカップ,４日目,G3,S,予選,14:32,
202608310508,2026-08-31,05,多摩川,8R,第１２回ホットマンカップ,４日目,G3,S,予選,15:05,
202608310509,2026-08-31,05,多摩川,9R,第１２回ホットマンカップ,４日目,G3,S,予選,15:37,
202608310510,2026-08-31,05,多摩川,10R,第１２回ホットマンカップ,４日目,G3,S,予選特賞,16:08,
202608310511,2026-08-31,05,多摩川,11R,第１２回ホットマンカップ,４日目,G3,S,予選特選,16:41,
202608310512,2026-08-31,05,多摩川,12R,第１２回ホットマンカップ,４日目,G3,S,記者選抜戦,17:15,
202608310601,2026-08-31,06,浜名湖,1R,オールレディース静岡クラウンメロン杯,２日目,G3,S,予選,11:24,
202608310602,2026-08-31,06,浜名湖,2R,オールレディース静岡クラウンメロン杯,２日目,G3,S,予選,11:55,
202608310603,2026-08-31,06,浜名湖,3R,オールレディース静岡クラウンメロン杯,２日目,G3,S,予選,12:23,
202608310604,2026-08-31,06,浜名湖,4R,オールレディース静岡クラウンメロン杯,２日目,G3,S,ランチタイム戦,12:52,
202608310605,2026-08-31,06,浜名湖,5R,オールレディース静岡クラウンメロン杯,２日目,G3,S,予選,13:22,
202608310606,2026-08-31,06,浜名湖,6R,オールレディース静岡クラウンメロン杯,２日目,G3,S,予選,13:54,
202608310607,2026-08-31,06,浜名湖,7R,オールレディース静岡クラウンメロン杯,２日目,G3,S,予選,14:28,
202608310608,2026-08-31,06,浜名湖,8R,オールレディース静岡クラウンメロン杯,２日目,G3,S,ブレイクタイム,15:03,
202608310609,2026-08-31,06,浜名湖,9R,オールレディース静岡クラウンメロン杯,２日目,G3,S,予選,15:34,
202608310610,2026-08-31,06,浜名湖,10R,オールレディース静岡クラウンメロン杯,２日目,G3,S,予選特賞,16:06,
202608310611,2026-08-31,06,浜名湖,11R,オールレディース静岡クラウンメロン杯,２日目,G3,S,予選特選,16:35,
202608310612,2026-08-31,06,浜名湖,12R,オールレディース静岡クラウンメロン杯,２日目,G3,S,予選特選,17:07,
202608310701,2026-08-31,07,蒲郡,1R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,５日目,IP,N,一般戦,15:17,
202608310702,2026-08-31,07,蒲郡,2R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,５日目,IP,N,一般戦,15:40,
202608310703,2026-08-31,07,蒲郡,3R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,５日目,IP,N,一般戦,16:04,
202608310704,2026-08-31,07,蒲郡,4R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,５日目,IP,N,一般戦,16:31,
202608310705,2026-08-31,07,蒲郡,5R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,５日目,IP,N,一般戦,17:01,
202608310706,2026-08-31,07,蒲郡,6R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,５日目,IP,N,一般戦,17:28,
202608310707,2026-08-31,07,蒲郡,7R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,５日目,IP,N,一般戦,17:55,
202608310708,2026-08-31,07,蒲郡,8R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,５日目,IP,N,一般戦,18:23,
202608310709,2026-08-31,07,蒲郡,9R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,５日目,IP,N,準優勝戦,18:54,
202608310710,2026-08-31,07,蒲郡,10R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,５日目,IP,N,準優勝戦,19:25,
202608310711,2026-08-31,07,蒲郡,11R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,５日目,IP,N,準優勝戦,19:58,
202608310712,2026-08-31,07,蒲郡,12R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,５日目,IP,N,一般戦,20:30,
202608310801,2026-08-31,08,常滑,1R,誠進社杯,２日目,IP,D,朝トコ小判Ｒ,10:31,
202608310802,2026-08-31,08,常滑,2R,誠進社杯,２日目,IP,D,予選,11:01,
202608310803,2026-08-31,08,常滑,3R,誠進社杯,２日目,IP,D,予選,11:27,
202608310804,2026-08-31,08,常滑,4R,誠進社杯,２日目,IP,D,予選,11:58,
202608310805,2026-08-31,08,常滑,5R,誠進社杯,２日目,IP,D,三Ａ傑戦,12:32,
202608310806,2026-08-31,08,常滑,6R,誠進社杯,２日目,IP,D,昼トコ小判Ｒ,13:05,
202608310807,2026-08-31,08,常滑,7R,誠進社杯,２日目,IP,D,予選,13:31,
202608310808,2026-08-31,08,常滑,8R,誠進社杯,２日目,IP,D,予選,13:59,
202608310809,2026-08-31,08,常滑,9R,誠進社杯,２日目,IP,D,予選特賞,14:30,
202608310810,2026-08-31,08,常滑,10R,誠進社杯,２日目,IP,D,予選特賞,15:00,
202608310811,2026-08-31,08,常滑,11R,誠進社杯,２日目,IP,D,予選特選,15:31,
202608310812,2026-08-31,08,常滑,12R,誠進社杯,２日目,IP,D,予選特選,16:02,
202608311101,2026-08-31,11,びわこ,1R,ボートピア京都やわた開設１９周年記念,最終日,IP,D,一般,10:40,
202608311102,2026-08-31,11,びわこ,2R,ボートピア京都やわた開設１９周年記念,最終日,IP,D,一般,11:09,
202608311103,2026-08-31,11,びわこ,3R,ボートピア京都やわた開設１９周年記念,最終日,IP,D,一般,11:42,
202608311104,2026-08-31,11,びわこ,4R,ボートピア京都やわた開設１９周年記念,最終日,IP,D,一般,12:14,
202608311105,2026-08-31,11,びわこ,5R,ボートピア京都やわた開設１９周年記念,最終日,IP,D,一般,12:44,
202608311106,2026-08-31,11,びわこ,6R,ボートピア京都やわた開設１９周年記念,最終日,IP,D,一般,13:11,
202608311107,2026-08-31,11,びわこ,7R,ボートピア京都やわた開設１９周年記念,最終日,IP,D,一般,13:40,
202608311108,2026-08-31,11,びわこ,8R,ボートピア京都やわた開設１９周年記念,最終日,IP,D,一般,14:07,
202608311109,2026-08-31,11,びわこ,9R,ボートピア京都やわた開設１９周年記念,最終日,IP,D,やわたろう特選,14:39,
202608311110,2026-08-31,11,びわこ,10R,ボートピア京都やわた開設１９周年記念,最終日,IP,D,選抜戦,15:10,
202608311111,2026-08-31,11,びわこ,11R,ボートピア京都やわた開設１９周年記念,最終日,IP,D,選抜戦,15:43,
