レースコード,レース日,レース場コード,レース回,状態,1枠_コースpt,1枠_寄与_コースpt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_コースpt,2枠_寄与_コースpt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_コースpt,3枠_寄与_コースpt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_コースpt,4枠_寄与_コースpt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_コースpt,5枠_寄与_コースpt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_コースpt,6枠_寄与_コースpt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607240101,2026-07-24,01,1R,daily,61.86,21.86,42.32,8.88,49.11,6.74,50.0,10.83,50.0,4.15,52.46,50.78,17.95,42.32,8.88,54.62,7.49,50.0,10.83,50.0,4.15,49.3,50.46,17.83,42.32,8.88,64.2,8.81,50.0,10.83,50.0,4.15,50.5,50.1,17.7,30.56,6.41,44.99,6.17,50.0,10.83,50.0,4.15,45.27,45.85,16.2,48.2,10.11,41.26,5.66,50.0,10.83,50.0,4.15,46.96,40.84,14.43,52.12,10.93,20.61,2.83,50.0,10.83,50.0,4.15,43.18
202607240101,2026-07-24,01,1R,realtime,61.86,21.86,42.32,8.88,57.9,7.94,63.06,13.66,39.45,3.28,55.62,50.78,17.95,42.32,8.88,53.4,7.33,50.71,10.99,52.27,4.34,49.47,50.46,17.83,42.32,8.88,57.89,7.94,36.55,7.92,43.54,3.62,46.18,50.1,17.7,30.56,6.41,50.0,6.86,43.93,9.52,55.94,4.64,45.14,45.85,16.2,48.2,10.11,33.84,4.64,58.44,12.66,51.77,4.3,47.92,40.84,14.43,52.12,10.93,22.1,3.03,47.29,10.25,56.99,4.73,43.38
202607240102,2026-07-24,01,2R,daily,61.24,21.64,44.28,9.29,50.81,6.97,50.0,10.83,50.0,4.15,52.89,48.94,17.3,44.28,9.29,55.39,7.6,50.0,10.83,50.0,4.15,49.17,51.68,18.26,40.36,8.46,35.88,4.92,50.0,10.83,50.0,4.15,46.63,48.26,17.06,48.2,10.11,71.11,9.76,50.0,10.83,50.0,4.15,51.91,47.69,16.85,34.48,7.23,45.18,6.2,50.0,10.83,50.0,4.15,45.27,42.06,14.87,52.12,10.93,44.81,6.15,50.0,10.83,50.0,4.15,46.93
202607240102,2026-07-24,01,2R,realtime,61.24,21.64,44.28,9.29,48.77,6.69,46.31,10.03,38.61,3.21,50.86,48.94,17.3,44.28,9.29,55.71,7.64,43.85,9.5,53.16,4.41,48.14,51.68,18.26,40.36,8.46,43.76,6.0,49.35,10.69,42.87,3.56,46.98,48.26,17.06,48.2,10.11,59.89,8.22,59.11,12.81,57.04,4.74,52.92,47.69,16.85,34.48,7.23,45.58,6.25,51.42,11.14,51.9,4.31,45.79,42.06,14.87,52.12,10.93,46.73,6.41,49.95,10.82,56.38,4.68,47.71
202607240103,2026-07-24,01,3R,daily,61.97,21.9,42.32,8.88,73.72,10.11,50.0,10.83,50.0,4.15,55.87,48.38,17.1,50.16,10.52,51.56,7.07,50.0,10.83,50.0,4.15,49.67,51.12,18.07,46.24,9.7,53.0,7.27,50.0,10.83,50.0,4.15,50.02,48.31,17.07,42.32,8.88,16.0,2.19,50.0,10.83,50.0,4.15,43.13,47.72,16.86,38.4,8.05,47.25,6.48,50.0,10.83,50.0,4.15,46.39,42.39,14.98,54.08,11.34,62.08,8.52,50.0,10.83,50.0,4.15,49.82
202607240103,2026-07-24,01,3R,realtime,61.97,21.9,42.32,8.88,77.82,10.68,53.19,11.52,38.38,3.19,56.16,42.39,14.98,50.16,10.52,68.52,9.4,55.79,12.09,65.33,5.42,52.41,51.12,18.07,46.24,9.7,50.96,6.99,36.13,7.83,33.79,2.81,45.39,48.31,17.07,42.32,8.88,32.56,4.47,42.77,9.27,63.71,5.29,44.97,47.72,16.86,38.4,8.05,43.83,6.01,54.65,11.84,53.08,4.41,47.18,48.38,17.1,54.08,11.34,64.31,8.82,57.48,12.45,45.7,3.79,53.51
202607240104,2026-07-24,01,4R,daily,63.38,22.4,48.2,10.11,29.8,4.09,50.0,10.83,50.0,4.15,51.58,49.56,17.51,56.04,11.75,60.33,8.28,50.0,10.83,50.0,4.15,52.53,47.7,16.86,42.32,8.88,51.68,7.09,50.0,10.83,50.0,4.15,47.81,51.32,18.14,48.2,10.11,39.76,5.45,50.0,10.83,50.0,4.15,48.68,44.93,15.88,34.48,7.23,56.84,7.8,50.0,10.83,50.0,4.15,45.89,42.98,15.19,58.0,12.16,64.3,8.82,50.0,10.83,50.0,4.15,51.16
202607240104,2026-07-24,01,4R,realtime,63.38,22.4,48.2,10.11,38.34,5.26,58.78,12.73,40.07,3.33,53.83,49.56,17.51,56.04,11.75,54.2,7.44,47.86,10.37,42.3,3.51,50.58,47.7,16.86,42.32,8.88,52.24,7.17,46.08,9.98,38.85,3.23,46.11,51.32,18.14,48.2,10.11,26.48,3.63,29.09,6.3,55.61,4.62,42.8,44.93,15.88,34.48,7.23,54.2,7.44,50.96,11.04,67.47,5.6,47.19,42.98,15.19,58.0,12.16,59.69,8.19,67.22,14.56,55.68,4.62,54.73
202607240105,2026-07-24,01,5R,daily,63.38,22.4,44.28,9.29,32.17,4.41,50.0,10.83,50.0,4.15,51.08,49.25,17.41,63.88,13.4,51.48,7.06,50.0,10.83,50.0,4.15,52.85,49.23,17.4,50.16,10.52,38.21,5.24,50.0,10.83,50.0,4.15,48.15,50.71,17.92,40.36,8.46,69.27,9.5,50.0,10.83,50.0,4.15,50.87,45.55,16.1,42.32,8.88,64.2,8.81,50.0,10.83,50.0,4.15,48.76,41.76,14.76,50.16,10.52,43.96,6.03,50.0,10.83,50.0,4.15,46.29
202607240105,2026-07-24,01,5R,realtime,49.25,17.41,44.28,9.29,27.93,3.83,61.59,13.34,42.3,3.51,47.38,63.38,22.4,63.88,13.4,38.99,5.35,63.98,13.86,40.07,3.33,58.33,49.23,17.4,50.16,10.52,29.77,4.08,54.09,11.72,38.85,3.23,46.95,50.71,17.92,40.36,8.46,66.55,9.13,53.07,11.5,55.61,4.62,51.63,45.55,16.1,42.32,8.88,57.89,7.94,22.04,4.77,67.47,5.6,43.29,41.76,14.76,50.16,10.52,57.81,7.93,45.22,9.8,55.68,4.62,47.63
