レースコード,レース日,レース場コード,レース回,状態,1枠_コースpt,1枠_寄与_コースpt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_コースpt,2枠_寄与_コースpt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_コースpt,3枠_寄与_コースpt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_コースpt,4枠_寄与_コースpt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_コースpt,5枠_寄与_コースpt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_コースpt,6枠_寄与_コースpt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607270605,2026-07-27,06,5R,daily,69.61,26.17,50.44,10.17,36.41,3.5,50.0,11.61,50.0,4.7,56.16,49.32,18.54,46.43,9.36,58.94,5.66,50.0,11.61,50.0,4.7,49.88,49.5,18.61,46.43,9.36,51.78,4.98,50.0,11.61,50.0,4.7,49.26,45.3,17.03,46.43,9.36,38.65,3.71,50.0,11.61,50.0,4.7,46.42,44.5,16.73,50.44,10.17,27.75,2.67,50.0,11.61,50.0,4.7,45.88,41.62,15.65,32.38,6.53,48.65,4.68,50.0,11.61,50.0,4.7,43.17
202607270605,2026-07-27,06,5R,realtime,69.61,26.17,50.44,10.17,40.02,3.85,67.89,15.77,43.36,4.08,60.03,49.32,18.54,46.43,9.36,57.67,5.54,51.98,12.07,51.39,4.83,50.35,49.5,18.61,46.43,9.36,56.75,5.45,44.18,10.26,47.86,4.5,48.19,45.3,17.03,46.43,9.36,46.24,4.44,44.69,10.38,57.13,5.37,46.59,44.5,16.73,50.44,10.17,33.22,3.19,44.36,10.3,47.88,4.5,44.9,41.62,15.65,32.38,6.53,42.81,4.11,47.04,10.93,52.49,4.93,42.15
202607270606,2026-07-27,06,6R,daily,71.04,26.71,66.49,13.41,53.18,5.11,50.0,11.61,50.0,4.7,61.54,47.33,17.79,46.43,9.36,47.06,4.52,50.0,11.61,50.0,4.7,48.0,49.5,18.61,38.4,7.75,25.45,2.45,50.0,11.61,50.0,4.7,45.11,46.72,17.56,50.44,10.17,34.6,3.33,50.0,11.61,50.0,4.7,47.38,43.64,16.41,36.39,7.34,64.15,6.17,50.0,11.61,50.0,4.7,46.23,41.62,15.65,34.39,6.94,60.87,5.85,50.0,11.61,50.0,4.7,44.75
202607270606,2026-07-27,06,6R,realtime,71.04,26.71,66.49,13.41,53.26,5.12,62.07,14.42,46.14,4.34,63.99,47.33,17.79,46.43,9.36,43.98,4.23,53.66,12.46,43.63,4.1,47.95,49.5,18.61,38.4,7.75,34.74,3.34,51.62,11.99,45.89,4.31,45.99,46.72,17.56,50.44,10.17,47.62,4.58,48.97,11.37,61.23,5.76,49.44,43.64,16.41,36.39,7.34,64.09,6.16,45.55,10.58,47.93,4.51,44.99,41.62,15.65,34.39,6.94,52.92,5.09,38.27,8.89,55.29,5.2,41.76
202607270607,2026-07-27,06,7R,daily,69.9,26.28,58.47,11.79,37.49,3.6,50.0,11.61,50.0,4.7,57.99,48.19,18.12,40.41,8.15,40.04,3.85,50.0,11.61,50.0,4.7,46.43,49.21,18.5,52.45,10.58,47.9,4.6,50.0,11.61,50.0,4.7,50.0,45.87,17.24,38.4,7.75,43.18,4.15,50.0,11.61,50.0,4.7,45.45,45.07,16.94,46.43,9.36,67.82,6.52,50.0,11.61,50.0,4.7,49.14,41.62,15.65,46.43,9.36,63.82,6.13,50.0,11.61,50.0,4.7,47.46
202607270607,2026-07-27,06,7R,realtime,69.9,26.28,58.47,11.79,35.85,3.45,49.99,11.61,43.36,4.08,57.2,48.19,18.12,40.41,8.15,40.58,3.9,46.24,10.74,51.39,4.83,45.74,49.21,18.5,52.45,10.58,51.67,4.97,44.07,10.24,47.86,4.5,48.78,45.07,16.94,38.4,7.75,45.49,4.37,43.28,10.05,47.88,4.5,43.61,41.62,15.65,46.43,9.36,65.03,6.25,55.24,12.83,52.49,4.93,49.03,45.87,17.24,46.43,9.36,64.3,6.18,61.34,14.25,57.13,5.37,52.4
202607270608,2026-07-27,06,8R,daily,70.47,26.49,60.47,12.2,52.34,5.03,50.0,11.61,50.0,4.7,60.03,45.63,17.16,48.43,9.77,49.47,4.75,50.0,11.61,50.0,4.7,47.99,48.36,18.18,46.43,9.36,46.85,4.5,50.0,11.61,50.0,4.7,48.36,49.56,18.63,46.43,9.36,37.21,3.58,50.0,11.61,50.0,4.7,47.89,44.22,16.62,38.4,7.75,47.04,4.52,50.0,11.61,50.0,4.7,45.2,41.62,15.65,40.41,8.15,49.69,4.78,50.0,11.61,50.0,4.7,44.89
202607270608,2026-07-27,06,8R,realtime,70.47,26.49,60.47,12.2,44.8,4.31,70.51,16.38,44.09,4.14,63.51,45.63,17.16,48.43,9.77,46.37,4.46,61.92,14.38,54.03,5.08,50.84,48.36,18.18,46.43,9.36,48.74,4.68,41.37,9.61,43.85,4.12,45.96,49.56,18.63,46.43,9.36,31.57,3.03,46.86,10.88,57.01,5.36,47.27,44.22,16.62,38.4,7.75,48.58,4.67,50.47,11.72,47.84,4.5,45.26,41.62,15.65,40.41,8.15,48.27,4.64,28.99,6.73,53.29,5.01,40.18
202607270609,2026-07-27,06,9R,daily,70.75,26.6,50.44,10.17,30.17,2.9,50.0,11.61,50.0,4.7,55.98,47.62,17.9,46.43,9.36,38.65,3.71,50.0,11.61,50.0,4.7,47.3,48.93,18.39,48.43,9.77,47.62,4.58,50.0,11.61,50.0,4.7,49.05,46.43,17.46,46.43,9.36,58.94,5.66,50.0,11.61,50.0,4.7,48.8,44.22,16.62,42.41,8.55,55.79,5.36,50.0,11.61,50.0,4.7,46.85,41.9,15.75,50.44,10.17,20.16,1.94,50.0,11.61,50.0,4.7,44.18
202607270609,2026-07-27,06,9R,realtime,70.75,26.6,50.44,10.17,25.55,2.46,60.62,14.08,49.39,4.64,57.95,47.62,17.9,46.43,9.36,46.24,4.44,59.09,13.72,43.19,4.06,49.5,48.93,18.39,48.43,9.77,51.28,4.93,52.39,12.17,47.11,4.43,49.69,46.43,17.46,46.43,9.36,57.67,5.54,56.98,13.24,57.23,5.38,50.98,44.22,16.62,42.41,8.55,53.13,5.11,50.45,11.72,49.35,4.64,46.64,41.9,15.75,50.44,10.17,24.2,2.33,20.62,4.79,53.82,5.06,38.1
202607270610,2026-07-27,06,10R,daily,75.19,28.27,50.44,10.17,67.14,6.45,50.0,11.61,50.0,4.7,61.21,46.23,17.38,66.49,13.41,53.18,5.11,50.0,11.61,50.0,4.7,52.21,46.97,17.66,46.43,9.36,47.06,4.52,50.0,11.61,50.0,4.7,47.86,45.32,17.04,50.44,10.17,36.41,3.5,50.0,11.61,50.0,4.7,47.02,43.66,16.41,50.44,10.17,61.33,5.89,50.0,11.61,50.0,4.7,48.79,42.48,15.97,54.45,10.98,54.7,5.26,50.0,11.61,50.0,4.7,48.52
202607270610,2026-07-27,06,10R,realtime,75.19,28.27,50.44,10.17,69.51,6.68,57.59,13.38,47.35,4.45,62.95,46.23,17.38,66.49,13.41,53.26,5.12,58.91,13.68,53.59,5.04,54.63,46.97,17.66,46.43,9.36,43.98,4.23,54.3,12.61,45.07,4.24,48.1,45.32,17.04,50.44,10.17,40.02,3.85,46.96,10.91,53.01,4.98,46.95,43.66,16.41,50.44,10.17,56.76,5.45,38.44,8.93,49.27,4.63,45.6,42.48,15.97,54.45,10.98,55.25,5.31,43.95,10.21,51.83,4.87,47.34
202607270611,2026-07-27,06,11R,daily,78.33,29.45,46.43,9.36,67.82,6.52,50.0,11.61,50.0,4.7,61.64,46.23,17.38,46.43,9.36,51.78,4.98,50.0,11.61,50.0,4.7,48.03,45.54,17.12,48.43,9.77,61.13,5.88,50.0,11.61,50.0,4.7,49.08,43.61,16.39,58.47,11.79,35.0,3.36,50.0,11.61,50.0,4.7,47.86,44.23,16.63,58.47,11.79,37.49,3.6,50.0,11.61,50.0,4.7,48.34,41.91,15.76,50.44,10.17,34.6,3.33,50.0,11.61,50.0,4.7,45.57
202607270611,2026-07-27,06,11R,realtime,78.33,29.45,46.43,9.36,65.03,6.25,64.11,14.89,44.09,4.14,64.1,46.23,17.38,46.43,9.36,56.75,5.45,39.87,9.26,54.03,5.08,46.54,45.54,17.12,48.43,9.77,68.76,6.61,47.34,11.0,43.85,4.12,48.62,43.61,16.39,58.47,11.79,46.39,4.46,49.61,11.52,57.01,5.36,49.52,44.23,16.63,58.47,11.79,35.85,3.45,47.79,11.1,47.84,4.5,47.46,41.91,15.76,50.44,10.17,47.62,4.58,51.42,11.94,53.29,5.01,47.46
202607270612,2026-07-27,06,12R,daily,76.15,28.63,72.51,14.62,53.55,5.15,50.0,11.61,50.0,4.7,64.71,45.92,17.26,62.48,12.6,59.91,5.76,50.0,11.61,50.0,4.7,51.93,47.22,17.75,48.43,9.77,59.93,5.76,50.0,11.61,50.0,4.7,49.59,44.44,16.71,52.45,10.58,47.45,4.56,50.0,11.61,50.0,4.7,48.16,44.22,16.62,40.41,8.15,62.42,6.0,50.0,11.61,50.0,4.7,47.08,41.9,15.75,46.43,9.36,62.2,5.98,50.0,11.61,50.0,4.7,47.41
