場コード,基準節終了日,モーター番号,使用開始日,使用終了日,グレード,タイトル,使用者名,着順列
02,2026-07-20,1,2026-07-07,2026-07-12,ＧⅡ,第８回全国ボートレース甲子園,河合 佑樹,５５２　５　６３５　２４
02,2026-07-20,1,2026-06-18,2026-06-23,一般,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,南 彩寧,５　２４６　３４５　落６
02,2026-07-20,1,2026-05-28,2026-05-31,一般,本命バトル祭,佐々木 完太,３１１２１２[３]
02,2026-07-20,2,2026-07-17,2026-07-20,一般,ＵＨＡ味覚糖杯,深川 麻奈美,３２１　６１１１
02,2026-07-20,2,2026-07-07,2026-07-12,ＧⅡ,第８回全国ボートレース甲子園,佐藤 翼,５　１１４　１１１　[２]
02,2026-07-20,2,2026-06-18,2026-06-23,一般,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,谷川 里江,２２５　２６４　１６２
02,2026-07-20,3,2026-07-17,2026-07-20,一般,ＵＨＡ味覚糖杯,出畑 孝典,３　２３２５１１
02,2026-07-20,3,2026-07-07,2026-07-12,ＧⅡ,第８回全国ボートレース甲子園,池永 太,５２１　１　２３４　３６
02,2026-07-20,3,2026-06-27,2026-07-01,一般,マクール杯,石川 真二,３１２２２４６３[３]
02,2026-07-20,4,2026-07-17,2026-07-20,一般,ＵＨＡ味覚糖杯,村上 彰一,３５５　３６６
02,2026-07-20,4,2026-07-07,2026-07-12,ＧⅡ,第８回全国ボートレース甲子園,井口 佳典,２　６２３　１２３　１３
02,2026-07-20,4,2026-06-18,2026-06-23,一般,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,冨名腰 桃奈,１５５　４１１　２４３３
02,2026-07-20,5,2026-07-17,2026-07-20,一般,ＵＨＡ味覚糖杯,武田 信一,５４５　６　５４
02,2026-07-20,5,2026-07-07,2026-07-12,ＧⅡ,第８回全国ボートレース甲子園,新田 雄史,４　２３５２３　１５６
02,2026-07-20,5,2026-06-27,2026-07-01,一般,マクール杯,堀井 涼平,６　６６６　６５６
02,2026-07-20,6,2026-07-17,2026-07-20,一般,ＵＨＡ味覚糖杯,板頭 里緒,６　６６６　４６
02,2026-07-20,6,2026-07-07,2026-07-12,ＧⅡ,第８回全国ボートレース甲子園,梅原 祥平,４　６　４２６　６５６
02,2026-07-20,6,2026-06-27,2026-07-01,一般,マクール杯,岩井 繁,６　４３６５５　５
