レースコード,タイトル,レース日,レース場,レース回,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃),艇1_艇番,艇1_コース,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト調整,艇1_スタート展示,艇2_艇番,艇2_コース,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト調整,艇2_スタート展示,艇3_艇番,艇3_コース,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト調整,艇3_スタート展示,艇4_艇番,艇4_コース,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト調整,艇4_スタート展示,艇5_艇番,艇5_コース,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト調整,艇5_スタート展示,艇6_艇番,艇6_コース,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト調整,艇6_スタート展示
202310310201,オールレディース・大宮アルディージャベントス杯,2023-10-31,2,01R,0.0,1,0.0,1,17.0,19.0,1,1,47.0,0.0,6.67,-0.5,0.21,2,2,44.0,3.0,6.75,-0.5,0.05,3,3,48.3,0.0,6.64,-0.5,0.03,4,4,48.9,0.0,6.73,-0.5,0.07,5,5,46.5,0.5,6.66,-0.5,0.18,6,6,47.0,0.0,6.64,-0.5,0.12
202310310202,オールレディース・大宮アルディージャベントス杯,2023-10-31,2,02R,0.0,1,0.0,1,16.0,18.0,1,1,48.7,0.0,6.76,-0.5,0.04,2,2,47.0,0.0,6.63,-0.5,0.02,3,3,48.1,0.0,6.6,-0.5,-0.02,4,4,45.5,1.5,6.63,-0.5,0.09,5,5,45.5,1.5,6.7,-0.5,0.04,6,6,44.0,3.0,6.76,-0.5,-0.01
202310310203,オールレディース・大宮アルディージャベントス杯,2023-10-31,2,03R,0.0,1,0.0,1,16.0,18.0,1,1,45.0,2.0,6.72,-0.5,0.35,2,2,47.0,0.0,6.66,-0.5,0.09,3,3,47.7,0.0,6.65,-0.5,0.06,4,4,46.0,1.0,6.72,-0.5,0.06,5,5,46.0,1.0,6.68,-0.5,-0.01,6,6,47.0,0.0,6.67,-0.5,0.13
202310310204,オールレディース・大宮アルディージャベントス杯,2023-10-31,2,04R,0.0,1,0.0,1,16.0,18.0,1,1,47.0,0.0,6.68,-0.5,0.09,2,2,45.5,1.5,6.64,-0.5,0.14,3,3,46.5,0.5,6.65,-0.5,0.07,4,4,45.5,1.5,6.63,-0.5,-0.08,5,5,46.0,1.0,6.68,-0.5,-0.03,6,6,47.6,0.0,6.63,-0.5,0.15
202310310205,オールレディース・大宮アルディージャベントス杯,2023-10-31,2,05R,2.0,1,1.0,1,16.0,18.0,1,1,47.0,0.0,6.62,-0.5,0.11,2,2,47.1,0.0,6.63,-0.5,0.19,3,3,62.6,0.0,6.72,-0.5,0.16,4,4,46.5,0.5,6.64,-0.5,0.11,5,5,47.0,0.0,6.62,-0.5,0.06,6,6,50.4,0.0,6.68,-0.5,0.03
202310310206,オールレディース・大宮アルディージャベントス杯,2023-10-31,2,06R,0.0,1,0.0,1,16.0,18.0,1,1,47.0,0.0,6.8,-0.5,-0.08,2,2,47.0,0.0,6.61,-0.5,0.0,3,3,48.2,0.0,6.68,-0.5,0.02,4,4,46.0,1.0,6.67,0.0,-0.01,5,5,46.5,0.5,6.73,-0.5,-0.04,6,6,48.9,0.0,6.68,-0.5,-0.03
202310310207,オールレディース・大宮アルディージャベントス杯,2023-10-31,2,07R,0.0,1,0.0,1,16.0,18.0,1,1,47.0,0.0,6.73,-0.5,-0.06,2,2,45.5,1.5,6.72,-0.5,-0.13,3,3,46.0,1.0,6.7,-0.5,-0.04,4,4,46.5,0.5,6.73,-0.5,-0.07,5,5,47.0,0.0,6.72,-0.5,-0.09,6,6,44.0,3.0,6.74,-0.5,-0.14
202310310208,オールレディース・大宮アルディージャベントス杯,2023-10-31,2,08R,1.0,1,1.0,1,17.0,19.0,1,1,45.5,1.5,6.64,-0.5,0.01,2,2,47.0,0.0,6.75,-0.5,-0.09,3,3,48.1,0.0,6.66,-0.5,-0.04,4,4,48.3,0.0,6.65,-0.5,0.11,5,5,47.0,0.0,6.61,-0.5,0.05,6,6,45.5,1.5,6.62,-0.5,0.05
202310310209,オールレディース・大宮アルディージャベントス杯,2023-10-31,2,09R,2.0,1,1.0,1,17.0,19.0,1,1,45.5,1.5,6.63,-0.5,0.19,2,2,44.0,3.0,6.61,-0.5,0.16,3,3,47.0,0.0,6.68,-0.5,0.11,4,4,44.0,3.0,6.73,-0.5,0.06,5,5,45.0,2.0,6.7,-0.5,-0.01,6,6,44.0,3.0,6.72,-0.5,0.02
202310310210,オールレディース・大宮アルディージャベントス杯,2023-10-31,2,10R,0.0,1,0.0,1,17.0,19.0,1,1,47.1,0.0,6.74,-0.5,0.01,2,2,49.6,0.0,6.71,-0.5,0.04,3,3,47.1,0.0,6.77,-0.5,-0.06,4,4,47.0,0.0,6.79,-0.5,0.09,5,5,48.9,0.0,6.77,-0.5,0.06,6,6,46.5,0.5,6.58,-0.5,0.08
