レースコード,予想1着,予想2着,予想3着,予想決まり手,艇1_予想コース,艇2_予想コース,艇3_予想コース,艇4_予想コース,艇5_予想コース,艇6_予想コース,艇1_予想ST,艇2_予想ST,艇3_予想ST,艇4_予想ST,艇5_予想ST,艇6_予想ST
202601312301,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.05,0.11,0.21,0.17,0.22,0.1
202601312302,1,4,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.09,0.09,0.08,0.04,-0.02,0.01
202601312303,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.02,0.08,0.21,-0.02,-0.05,0.01
202601312304,1,3,6,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.08,0.05,-0.05,0.18,0.0,0.05
202601312305,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.01,0.13,0.05,-0.08,0.05,-0.07
202601312306,1,2,4,逃げ,1.0,3.0,2.0,4.0,5.0,6.0,-0.25,0.02,0.14,0.09,0.06,0.06
202601312307,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.05,0.11,0.24,0.27,0.11,0.12
202601312308,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.08,0.06,-0.06,-0.02,-0.02,-0.06
202601312309,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.09,-0.05,0.06,0.09,0.31,0.15
202601312310,1,4,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.17,0.04,0.11,0.0,-0.05,0.02
202601312311,1,4,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.09,0.06,0.06,0.17,0.06,0.02
202601312312,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.01,0.15,0.11,0.06,0.04,0.01
202601310101,1,1,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.01,0.15,-0.07,0.11,-0.01,0.03
202601310102,1,1,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.09,0.13,0.01,0.05,0.16,0.01
202601310103,1,1,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.01,0.03,-0.09,0.0,0.02,-0.02
202601310104,1,1,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.04,-0.08,-0.04,0.11,0.24,0.11
202601310105,1,1,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.03,-0.08,-0.06,-0.07,0.15,0.04
202601310106,1,1,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.05,0.03,-0.05,0.05,0.04,0.05
202601310107,1,1,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.05,0.11,0.09,0.11,0.06,0.1
202601310108,1,1,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.17,0.14,0.15,0.17,0.09,0.18
202601310109,1,1,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.03,-0.06,-0.12,0.05,-0.06,-0.16
202601310110,1,1,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.07,-0.01,0.06,0.13,0.02,-0.08
202601310111,1,1,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.03,0.09,0.09,0.06,0.07,0.11
202601310112,1,1,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.06,0.05,0.02,0.03,-0.05,0.1
202601312201,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.06,0.0,0.01,0.06,0.04,0.11
202601312202,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.09,0.21,0.09,0.09,0.2,-0.03
202601312203,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.07,-0.07,0.11,-0.04,0.02,-0.08
202601312204,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.01,0.13,-0.01,-0.02,0.09,0.07
202601312205,1,2,4,逃げ,1.0,3.0,4.0,2.0,5.0,6.0,0.01,0.02,0.07,-0.02,0.0,0.0
202601312206,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.19,0.1,0.2,0.17,0.16,0.17
202601312208,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.02,-0.01,-0.1,0.12,0.15,0.07
202601312209,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.07,-0.09,-0.13,-0.04,-0.03,-0.1
202601312210,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.19,0.14,0.07,0.04,0.16,0.19
202601312211,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.01,-0.03,0.14,0.14,0.08,-0.01
202601312001,1,3,4,逃げ,,,,,,,,,,,,
202601312002,1,3,4,逃げ,,,,,,,,,,,,
202601312003,1,2,3,逃げ,,,,,,,,,,,,
