レースコード,予想1着,予想2着,予想3着,予想決まり手,艇1_予想コース,艇2_予想コース,艇3_予想コース,艇4_予想コース,艇5_予想コース,艇6_予想コース,艇1_予想ST,艇2_予想ST,艇3_予想ST,艇4_予想ST,艇5_予想ST,艇6_予想ST
202601212401,1,2,3,逃げ,,,,,,,,,,,,
202601212402,1,2,3,逃げ,,,,,,,,,,,,
202601212403,4,1,5,差し,,,,,,,,,,,,
202601212404,1,3,2,逃げ,,,,,,,,,,,,
202601212405,1,5,2,逃げ,,,,,,,,,,,,
202601212406,1,3,2,逃げ,,,,,,,,,,,,
202601212407,1,4,2,逃げ,,,,,,,,,,,,
202601212408,1,3,2,逃げ,,,,,,,,,,,,
202601212409,1,3,6,逃げ,,,,,,,,,,,,
202601212410,1,2,5,逃げ,,,,,,,,,,,,
202601212411,1,2,3,逃げ,,,,,,,,,,,,
202601212412,1,4,2,逃げ,,,,,,,,,,,,
202601212101,1,4,3,逃げ,,,,,,,,,,,,
202601212102,1,2,4,逃げ,,,,,,,,,,,,
202601212103,1,3,4,逃げ,,,,,,,,,,,,
202601212104,1,3,2,逃げ,,,,,,,,,,,,
202601212105,1,6,4,逃げ,,,,,,,,,,,,
202601212106,1,5,3,逃げ,,,,,,,,,,,,
202601212107,3,4,2,逃げ,,,,,,,,,,,,
202601212108,1,3,4,逃げ,,,,,,,,,,,,
202601212109,1,2,3,逃げ,,,,,,,,,,,,
202601212110,1,3,4,逃げ,,,,,,,,,,,,
202601212111,1,3,5,逃げ,,,,,,,,,,,,
202601212112,1,3,4,逃げ,,,,,,,,,,,,
202601212001,1,4,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.09,0.13,-0.01,0.05,0.02,0.01
202601212002,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.11,-0.03,-0.07,-0.06,-0.15,0.01
202601212003,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.19,0.11,-0.09,0.17,0.07,-0.05
202601212004,1,3,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.21,0.06,0.01,0.14,0.16,0.11
202601212005,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.03,-0.02,-0.11,0.04,0.15,0.01
202601212006,1,3,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.17,0.2,0.21,0.05,0.09,0.12
202601212007,1,4,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.21,0.17,0.16,0.04,0.05,0.11
202601212008,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.37,0.31,0.18,0.18,0.11,0.05
202601212009,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.03,0.19,-0.01,0.01,0.02,0.13
202601212010,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.11,-0.11,-0.09,-0.02,0.04,0.04
202601212011,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.01,-0.01,0.17,0.07,0.02,0.13
202601212012,1,2,3,逃げ,1.0,2.0,3.0,6.0,4.0,5.0,0.01,0.19,0.12,0.11,0.09,0.12
202601211901,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.14,0.15,0.2,0.1,0.02,0.11
202601211902,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.01,0.11,0.03,-0.01,0.14,0.13
202601211903,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.01,-0.01,-0.18,-0.23,-0.09,-0.1
202601211904,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.01,0.09,-0.02,-0.03,-0.11,-0.09
202601211905,1,2,4,逃げ,1.0,3.0,4.0,2.0,5.0,6.0,-0.12,-0.12,0.03,0.19,0.18,0.29
202601211906,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.06,0.03,-0.04,-0.02,-0.04,0.05
202601211907,1,4,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.04,0.09,0.14,0.0,-0.01,0.03
202601211908,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.01,0.01,0.01,0.01,-0.03,0.06
202601211909,1,2,3,逃げ,1.0,2.0,3.0,5.0,4.0,6.0,0.18,0.33,0.21,0.04,0.07,0.09
202601211910,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.1,0.04,0.14,0.15,0.12,0.17
202601211911,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.01,0.01,0.25,-0.08,-0.04,-0.06
202601211912,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.04,0.04,0.13,0.04,0.22,-0.08
202601211801,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.04,0.03,0.04,0.0,0.03,-0.06
202601211802,1,2,3,逃げ,1.0,2.0,3.0,5.0,6.0,4.0,0.15,0.22,0.03,0.01,0.13,0.13
202601211803,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.08,0.19,0.14,0.07,0.07,-0.03
202601211804,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.16,0.14,0.19,-0.03,-0.14,-0.2
202601211805,1,4,3,逃げ,1.0,3.0,4.0,2.0,5.0,6.0,-0.15,-0.12,-0.16,-0.04,-0.03,-0.04
202601211806,1,6,3,逃げ,1.0,3.0,4.0,5.0,6.0,2.0,0.13,-0.01,-0.17,0.02,-0.09,-0.06
202601211807,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.02,0.14,0.06,-0.06,-0.03,0.05
202601211808,2,1,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.03,-0.02,0.03,0.16,0.07,0.2
202601211809,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.04,-0.05,-0.06,0.07,0.11,0.09
202601211810,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.12,0.07,0.04,0.03,0.06,-0.01
202601211811,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.17,-0.1,-0.07,-0.08,-0.05,-0.18
202601211812,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.01,-0.02,-0.06,-0.09,-0.01,-0.11
