レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202605180201,2026-05-18,02,戸田,1R,第４２回日本モーターボート選手会カップ,５日目,IP,D,一般戦,10:47,
202605180202,2026-05-18,02,戸田,2R,第４２回日本モーターボート選手会カップ,５日目,IP,D,一般戦,11:16,
202605180203,2026-05-18,02,戸田,3R,第４２回日本モーターボート選手会カップ,５日目,IP,D,一般戦,11:45,
202605180204,2026-05-18,02,戸田,4R,第４２回日本モーターボート選手会カップ,５日目,IP,D,一般戦,12:14,
202605180205,2026-05-18,02,戸田,5R,第４２回日本モーターボート選手会カップ,５日目,IP,D,一般戦,12:44,
202605180206,2026-05-18,02,戸田,6R,第４２回日本モーターボート選手会カップ,５日目,IP,D,一般戦,13:14,
202605180207,2026-05-18,02,戸田,7R,第４２回日本モーターボート選手会カップ,５日目,IP,D,一般戦,13:45,
202605180208,2026-05-18,02,戸田,8R,第４２回日本モーターボート選手会カップ,５日目,IP,D,一般戦,14:16,
202605180209,2026-05-18,02,戸田,9R,第４２回日本モーターボート選手会カップ,５日目,IP,D,一般戦,14:48,
202605180210,2026-05-18,02,戸田,10R,第４２回日本モーターボート選手会カップ,５日目,IP,D,準優勝戦,15:21,
202605180211,2026-05-18,02,戸田,11R,第４２回日本モーターボート選手会カップ,５日目,IP,D,準優勝戦,15:55,
202605180212,2026-05-18,02,戸田,12R,第４２回日本モーターボート選手会カップ,５日目,IP,D,準優勝戦,16:30,
202605180601,2026-05-18,06,浜名湖,1R,日伯友好記念　ブラジル杯,３日目,IP,S,予選,11:34,
202605180602,2026-05-18,06,浜名湖,2R,日伯友好記念　ブラジル杯,３日目,IP,S,予選,12:04,
202605180603,2026-05-18,06,浜名湖,3R,日伯友好記念　ブラジル杯,３日目,IP,S,予選,12:29,
202605180604,2026-05-18,06,浜名湖,4R,日伯友好記念　ブラジル杯,３日目,IP,S,ランチタイム戦,13:00,
202605180605,2026-05-18,06,浜名湖,5R,日伯友好記念　ブラジル杯,３日目,IP,S,予選,13:27,
202605180606,2026-05-18,06,浜名湖,6R,日伯友好記念　ブラジル杯,３日目,IP,S,予選,14:00,
202605180607,2026-05-18,06,浜名湖,7R,日伯友好記念　ブラジル杯,３日目,IP,S,予選,14:28,
202605180608,2026-05-18,06,浜名湖,8R,日伯友好記念　ブラジル杯,３日目,IP,S,ブレイクタイム,14:56,
202605180609,2026-05-18,06,浜名湖,9R,日伯友好記念　ブラジル杯,３日目,IP,S,予選特賞,15:24,
202605180610,2026-05-18,06,浜名湖,10R,日伯友好記念　ブラジル杯,３日目,IP,S,予選特賞,15:51,
202605180611,2026-05-18,06,浜名湖,11R,日伯友好記念　ブラジル杯,３日目,IP,S,予選特選,16:26,
202605180612,2026-05-18,06,浜名湖,12R,日伯友好記念　ブラジル杯,３日目,IP,S,予選特選,16:59,
202605181001,2026-05-18,10,三国,1R,道の駅みくに・ふれあいパーク三里浜杯,最終日,IP,M,みくにあさイチ,08:32,
