レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202605190101,2026-05-19,01,桐生,1R,第９回赤城カントリー倶楽部杯,初　日,IP,N,予選,15:29,
202605190102,2026-05-19,01,桐生,2R,第９回赤城カントリー倶楽部杯,初　日,IP,N,予選,16:02,
202605190103,2026-05-19,01,桐生,3R,第９回赤城カントリー倶楽部杯,初　日,IP,N,予選,16:33,
202605190104,2026-05-19,01,桐生,4R,第９回赤城カントリー倶楽部杯,初　日,IP,N,予選,17:01,
202605190105,2026-05-19,01,桐生,5R,第９回赤城カントリー倶楽部杯,初　日,IP,N,予選,17:26,
202605190106,2026-05-19,01,桐生,6R,第９回赤城カントリー倶楽部杯,初　日,IP,N,ドラドキ目玉,17:53,
202605190107,2026-05-19,01,桐生,7R,第９回赤城カントリー倶楽部杯,初　日,IP,N,ドラドキ３,18:18,
202605190108,2026-05-19,01,桐生,8R,第９回赤城カントリー倶楽部杯,初　日,IP,N,ドラドキ５,18:44,
202605190109,2026-05-19,01,桐生,9R,第９回赤城カントリー倶楽部杯,初　日,IP,N,予選特賞,19:13,
202605190110,2026-05-19,01,桐生,10R,第９回赤城カントリー倶楽部杯,初　日,IP,N,予選特賞,19:40,
202605190111,2026-05-19,01,桐生,11R,第９回赤城カントリー倶楽部杯,初　日,IP,N,予選特選,20:06,
202605190112,2026-05-19,01,桐生,12R,第９回赤城カントリー倶楽部杯,初　日,IP,N,桐生ドリーム戦,20:35,
202605190201,2026-05-19,02,戸田,1R,第４２回日本モーターボート選手会カップ,最終日,IP,D,一般戦,10:47,
202605190202,2026-05-19,02,戸田,2R,第４２回日本モーターボート選手会カップ,最終日,IP,D,一般戦,11:16,
202605190203,2026-05-19,02,戸田,3R,第４２回日本モーターボート選手会カップ,最終日,IP,D,一般戦,11:45,
202605190204,2026-05-19,02,戸田,4R,第４２回日本モーターボート選手会カップ,最終日,IP,D,一般戦,12:14,
202605190205,2026-05-19,02,戸田,5R,第４２回日本モーターボート選手会カップ,最終日,IP,D,ウインウイン５,12:44,
202605190206,2026-05-19,02,戸田,6R,第４２回日本モーターボート選手会カップ,最終日,IP,D,一般戦,13:14,
202605190207,2026-05-19,02,戸田,7R,第４２回日本モーターボート選手会カップ,最終日,IP,D,ウインウイン７,13:45,
202605190208,2026-05-19,02,戸田,8R,第４２回日本モーターボート選手会カップ,最終日,IP,D,一般戦,14:16,
202605190209,2026-05-19,02,戸田,9R,第４２回日本モーターボート選手会カップ,最終日,IP,D,戸田特選,14:48,
202605190210,2026-05-19,02,戸田,10R,第４２回日本モーターボート選手会カップ,最終日,IP,D,選抜戦,15:21,
202605190211,2026-05-19,02,戸田,11R,第４２回日本モーターボート選手会カップ,最終日,IP,D,選抜戦,15:55,
202605190212,2026-05-19,02,戸田,12R,第４２回日本モーターボート選手会カップ,最終日,IP,D,優勝戦,16:30,
202605190601,2026-05-19,06,浜名湖,1R,日伯友好記念　ブラジル杯,最終日,IP,S,一般,11:35,
202605190602,2026-05-19,06,浜名湖,2R,日伯友好記念　ブラジル杯,最終日,IP,S,一般,12:00,
202605190603,2026-05-19,06,浜名湖,3R,日伯友好記念　ブラジル杯,最終日,IP,S,一般,12:28,
202605190604,2026-05-19,06,浜名湖,4R,日伯友好記念　ブラジル杯,最終日,IP,S,ランチタイム戦,12:54,
202605190605,2026-05-19,06,浜名湖,5R,日伯友好記念　ブラジル杯,最終日,IP,S,一般,13:24,
202605190606,2026-05-19,06,浜名湖,6R,日伯友好記念　ブラジル杯,最終日,IP,S,一般,13:57,
202605190607,2026-05-19,06,浜名湖,7R,日伯友好記念　ブラジル杯,最終日,IP,S,一般,14:29,
202605190608,2026-05-19,06,浜名湖,8R,日伯友好記念　ブラジル杯,最終日,IP,S,ブレイクタイム,14:56,
202605190609,2026-05-19,06,浜名湖,9R,日伯友好記念　ブラジル杯,最終日,IP,S,一般特選,15:24,
202605190610,2026-05-19,06,浜名湖,10R,日伯友好記念　ブラジル杯,最終日,IP,S,選抜戦,15:51,
202605190611,2026-05-19,06,浜名湖,11R,日伯友好記念　ブラジル杯,最終日,IP,S,選抜戦,16:25,
202605190612,2026-05-19,06,浜名湖,12R,日伯友好記念　ブラジル杯,最終日,IP,S,優勝戦,16:59,
