レースコード,タイトル,レース日,レース場,レース回,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃),艇1_艇番,艇1_コース,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト調整,艇1_スタート展示,艇2_艇番,艇2_コース,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト調整,艇2_スタート展示,艇3_艇番,艇3_コース,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト調整,艇3_スタート展示,艇4_艇番,艇4_コース,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト調整,艇4_スタート展示,艇5_艇番,艇5_コース,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト調整,艇5_スタート展示,艇6_艇番,艇6_コース,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト調整,艇6_スタート展示
202407200201,ヴィーナスシリーズ第９戦・東京中日スポーツ杯,2024-07-20,2,01R,3.0,1,3.0,2,35.0,31.0,1,1,46.5,0.5,6.68,0.0,0.21,2,2,52.4,0.0,6.86,-0.5,0.05,3,3,51.0,0.0,6.79,-0.5,0.01,4,4,47.7,0.0,6.83,0.0,0.05,5,5,45.5,1.5,6.86,-0.5,-0.01,6,6,45.5,1.5,6.76,0.0,0.08
202407200202,ヴィーナスシリーズ第９戦・東京中日スポーツ杯,2024-07-20,2,02R,0.0,1,0.0,1,34.0,30.0,1,1,48.4,0.0,6.79,-0.5,0.13,2,2,45.0,2.0,6.75,-0.5,-0.03,3,3,48.6,0.0,6.84,-0.5,0.05,4,4,47.0,0.0,6.9,-0.5,0.05,5,6,46.5,0.5,6.82,-0.5,-0.03,6,5,47.0,0.0,6.73,0.0,0.17
202407200203,ヴィーナスシリーズ第９戦・東京中日スポーツ杯,2024-07-20,2,03R,1.0,1,1.0,1,34.0,30.0,1,1,48.5,0.0,6.86,-0.5,0.05,2,2,47.4,0.0,6.84,0.0,0.05,3,3,45.5,1.5,6.81,-0.5,-0.03,4,4,47.2,0.0,6.83,0.0,0.01,5,5,48.3,0.0,6.82,-0.5,0.16,6,6,49.7,0.0,6.83,0.0,0.01
202407200204,ヴィーナスシリーズ第９戦・東京中日スポーツ杯,2024-07-20,2,04R,1.0,1,1.0,1,35.0,31.0,1,1,46.5,0.5,6.83,-0.5,0.16,2,2,45.5,1.5,6.86,-0.5,0.29,3,3,47.0,0.0,6.78,-0.5,0.09,4,4,46.5,0.5,6.82,-0.5,0.11,5,5,47.0,0.0,6.84,-0.5,0.39,6,6,48.5,0.0,6.92,-0.5,0.26
202407200205,ヴィーナスシリーズ第９戦・東京中日スポーツ杯,2024-07-20,2,05R,3.0,,2.0,1,36.0,31.0,1,1,43.5,3.5,6.89,-0.5,-0.03,2,2,45.5,1.5,6.85,-0.5,-0.06,3,3,47.3,0.0,6.95,-0.5,-0.01,4,4,44.0,3.0,6.91,-0.5,0.04,5,5,48.1,0.0,6.9,-0.5,0.01,6,6,47.0,0.0,6.83,-0.5,0.01
202407200206,ヴィーナスシリーズ第９戦・東京中日スポーツ杯,2024-07-20,2,06R,4.0,,3.0,1,36.0,31.0,1,1,51.9,0.0,6.9,-0.5,0.18,2,2,44.5,2.5,6.92,-0.5,0.38,3,3,48.4,0.0,6.91,-0.5,0.21,4,4,43.5,3.5,6.91,-0.5,0.22,5,5,45.5,1.5,6.87,0.0,0.18,6,6,46.0,1.0,6.83,-0.5,0.18
202407200207,ヴィーナスシリーズ第９戦・東京中日スポーツ杯,2024-07-20,2,07R,4.0,3,4.0,1,36.0,31.0,1,1,47.4,0.0,6.89,0.0,0.02,2,2,51.0,0.0,6.91,-0.5,0.01,3,3,46.0,1.0,6.88,-0.5,0.12,4,4,46.5,0.5,6.9,-0.5,0.1,5,5,49.0,0.0,6.9,-0.5,0.04,6,6,50.9,0.0,6.91,-0.5,-0.05
202407200208,ヴィーナスシリーズ第９戦・東京中日スポーツ杯,2024-07-20,2,08R,3.0,,3.0,1,35.0,31.0,1,1,45.5,1.5,6.93,-0.5,0.11,2,2,47.0,0.0,6.83,-0.5,0.05,3,3,52.4,0.0,6.97,0.0,0.15,4,4,45.5,1.5,6.95,-0.5,0.11,5,5,47.0,0.0,6.89,-0.5,-0.02,6,6,45.5,1.5,6.86,-0.5,0.06
202407200209,ヴィーナスシリーズ第９戦・東京中日スポーツ杯,2024-07-20,2,09R,1.0,,1.0,2,36.0,31.0,1,1,48.6,0.0,6.91,-0.5,0.24,2,2,43.5,3.5,6.89,-0.5,0.11,3,3,46.5,0.5,6.8,-0.5,0.45,4,4,46.5,0.5,6.77,0.0,0.01,5,5,48.5,0.0,6.92,-0.5,0.11,6,6,47.0,0.0,6.92,-0.5,0.08
202407200210,ヴィーナスシリーズ第９戦・東京中日スポーツ杯,2024-07-20,2,10R,1.0,1,1.0,2,36.0,31.0,1,1,47.2,0.0,6.81,0.0,0.15,2,2,47.3,0.0,6.8,-0.5,0.21,3,3,46.0,1.0,6.8,-0.5,0.23,4,4,45.5,1.5,6.82,-0.5,0.04,5,5,45.0,2.0,6.86,-0.5,0.08,6,6,47.7,0.0,6.78,0.0,0.07
