レースコード,レース日,レース場コード,レース回,状態,1枠_コースpt,1枠_寄与_コースpt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_コースpt,2枠_寄与_コースpt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_コースpt,3枠_寄与_コースpt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_コースpt,4枠_寄与_コースpt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_コースpt,5枠_寄与_コースpt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_コースpt,6枠_寄与_コースpt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607240606,2026-07-24,06,6R,daily,71.04,26.72,46.43,9.36,42.29,4.09,50.0,11.6,50.0,4.67,56.45,47.33,17.8,40.41,8.14,41.87,4.05,50.0,11.6,50.0,4.67,46.28,49.5,18.62,58.47,11.78,37.72,3.65,50.0,11.6,50.0,4.67,50.33,46.72,17.57,36.39,7.34,65.33,6.33,50.0,11.6,50.0,4.67,47.51,43.64,16.42,66.49,13.4,50.18,4.86,50.0,11.6,50.0,4.67,50.95,41.62,15.66,46.43,9.36,37.65,3.65,50.0,11.6,50.0,4.67,44.93
202607240607,2026-07-24,06,7R,daily,69.9,26.29,46.43,9.36,36.39,3.52,50.0,11.6,50.0,4.67,55.45,48.19,18.13,42.41,8.55,46.33,4.49,50.0,11.6,50.0,4.67,47.43,49.21,18.51,50.44,10.17,60.79,5.89,50.0,11.6,50.0,4.67,50.84,45.87,17.25,38.4,7.74,40.24,3.9,50.0,11.6,50.0,4.67,45.16,45.07,16.95,46.43,9.36,40.28,3.9,50.0,11.6,50.0,4.67,46.48,41.62,15.66,72.51,14.61,45.87,4.44,50.0,11.6,50.0,4.67,50.99
202607240608,2026-07-24,06,8R,daily,70.47,26.51,50.44,10.17,35.12,3.4,50.0,11.6,50.0,4.67,56.35,45.63,17.16,42.41,8.55,51.7,5.01,50.0,11.6,50.0,4.67,46.99,48.36,18.19,32.38,6.53,55.87,5.41,50.0,11.6,50.0,4.67,46.4,49.56,18.64,58.47,11.78,33.31,3.23,50.0,11.6,50.0,4.67,49.92,44.22,16.63,40.41,8.14,56.12,5.43,50.0,11.6,50.0,4.67,46.48,41.62,15.66,50.44,10.17,65.48,6.34,50.0,11.6,50.0,4.67,48.44
202607240609,2026-07-24,06,9R,daily,70.75,26.61,48.43,9.76,59.54,5.76,50.0,11.6,50.0,4.67,58.41,47.62,17.91,50.44,10.17,31.41,3.04,50.0,11.6,50.0,4.67,47.39,48.93,18.4,46.43,9.36,44.74,4.33,50.0,11.6,50.0,4.67,48.37,46.43,17.46,52.45,10.57,44.7,4.33,50.0,11.6,50.0,4.67,48.64,44.22,16.63,38.4,7.74,42.73,4.14,50.0,11.6,50.0,4.67,44.78,41.9,15.76,38.4,7.74,25.3,2.45,50.0,11.6,50.0,4.67,42.23
202607240610,2026-07-24,06,10R,daily,75.19,28.28,48.43,9.76,56.25,5.45,50.0,11.6,50.0,4.67,59.76,46.23,17.39,46.43,9.36,45.51,4.41,50.0,11.6,50.0,4.67,47.43,46.97,17.67,46.43,9.36,63.38,6.14,50.0,11.6,50.0,4.67,49.44,45.32,17.05,46.43,9.36,37.65,3.65,50.0,11.6,50.0,4.67,46.32,43.66,16.42,46.43,9.36,68.15,6.6,50.0,11.6,50.0,4.67,48.65,42.48,15.98,46.43,9.36,70.62,6.84,50.0,11.6,50.0,4.67,48.45
202607240611,2026-07-24,06,11R,daily,78.33,29.46,66.49,13.4,50.18,4.86,50.0,11.6,50.0,4.67,64.0,46.23,17.39,50.44,10.17,28.59,2.77,50.0,11.6,50.0,4.67,46.6,45.54,17.13,46.43,9.36,57.27,5.55,50.0,11.6,50.0,4.67,48.31,43.61,16.4,48.43,9.76,44.22,4.28,50.0,11.6,50.0,4.67,46.72,44.23,16.64,44.42,8.95,75.09,7.27,50.0,11.6,50.0,4.67,49.14,41.91,15.76,52.45,10.57,45.39,4.4,50.0,11.6,50.0,4.67,47.0
202607240612,2026-07-24,06,12R,daily,76.15,28.64,58.47,11.78,33.31,3.23,50.0,11.6,50.0,4.67,59.93,45.92,17.27,50.44,10.17,35.16,3.4,50.0,11.6,50.0,4.67,47.12,47.22,17.76,72.51,14.61,45.87,4.44,50.0,11.6,50.0,4.67,53.09,44.44,16.72,50.44,10.17,31.42,3.04,50.0,11.6,50.0,4.67,46.2,44.22,16.63,62.48,12.59,55.02,5.33,50.0,11.6,50.0,4.67,50.83,41.9,15.76,58.47,11.78,37.72,3.65,50.0,11.6,50.0,4.67,47.47
202607240801,2026-07-24,08,1R,daily,78.21,29.35,49.89,9.42,51.99,3.73,50.0,11.84,50.0,6.37,60.71,44.53,16.71,44.17,8.34,40.07,2.87,50.0,11.84,50.0,6.37,46.13,46.2,17.34,40.36,7.62,49.49,3.55,50.0,11.84,50.0,6.37,46.72,45.68,17.15,44.17,8.34,53.66,3.84,50.0,11.84,50.0,6.37,47.54,43.59,16.36,46.08,8.7,60.24,4.32,50.0,11.84,50.0,6.37,47.59,41.77,15.68,47.98,9.06,49.15,3.52,50.0,11.84,50.0,6.37,46.47
202607240801,2026-07-24,08,1R,realtime,78.21,29.35,49.89,9.42,50.58,3.62,67.52,15.99,45.36,5.78,64.17,44.53,16.71,44.17,8.34,34.38,2.46,54.76,12.97,62.88,8.01,48.49,46.2,17.34,40.36,7.62,40.17,2.88,50.67,12.0,57.22,7.29,47.13,45.68,17.15,44.17,8.34,59.5,4.26,33.89,8.02,48.77,6.21,43.99,43.59,16.36,46.08,8.7,60.01,4.3,38.43,9.1,45.85,5.84,44.3,41.77,15.68,47.98,9.06,50.08,3.59,54.84,12.99,39.85,5.07,46.39
202607240802,2026-07-24,08,2R,daily,66.9,25.11,46.08,8.7,35.91,2.57,50.0,11.84,50.0,6.37,54.59,49.66,18.64,59.42,11.22,40.04,2.87,50.0,11.84,50.0,6.37,50.94,48.52,18.21,38.45,7.26,29.64,2.12,50.0,11.84,50.0,6.37,45.8,47.48,17.82,49.89,9.42,51.81,3.71,50.0,11.84,50.0,6.37,49.16,45.39,17.04,47.98,9.06,48.91,3.5,50.0,11.84,50.0,6.37,47.81,42.03,15.77,44.17,8.34,55.64,3.99,50.0,11.84,50.0,6.37,46.31
202607240802,2026-07-24,08,2R,realtime,66.9,25.11,46.08,8.7,40.73,2.92,48.97,11.6,47.63,6.06,54.39,49.66,18.64,59.42,11.22,43.29,3.1,67.08,15.88,59.87,7.62,56.47,48.52,18.21,38.45,7.26,44.26,3.17,40.26,9.53,57.8,7.36,45.54,47.48,17.82,49.89,9.42,55.45,3.97,57.63,13.65,48.77,6.21,51.08,45.39,17.04,47.98,9.06,51.47,3.69,40.85,9.67,44.8,5.7,45.17,42.03,15.77,44.17,8.34,53.24,3.81,45.28,10.72,41.06,5.23,43.88
202607240803,2026-07-24,08,3R,daily,67.28,25.25,46.08,8.7,63.36,4.54,50.0,11.84,50.0,6.37,56.7,49.19,18.46,51.8,9.78,52.86,3.79,50.0,11.84,50.0,6.37,50.24,48.81,18.32,47.98,9.06,44.24,3.17,50.0,11.84,50.0,6.37,48.76,47.51,17.83,51.8,9.78,49.94,3.58,50.0,11.84,50.0,6.37,49.4,45.67,17.14,32.73,6.18,64.61,4.63,50.0,11.84,50.0,6.37,46.16,41.51,15.58,47.98,9.06,39.74,2.85,50.0,11.84,50.0,6.37,45.7
202607240803,2026-07-24,08,3R,realtime,67.28,25.25,46.08,8.7,58.06,4.16,59.94,14.19,47.63,6.06,58.38,49.19,18.46,51.8,9.78,61.67,4.42,64.21,15.2,59.87,7.62,55.49,47.51,17.83,47.98,9.06,56.35,4.04,36.65,8.68,48.77,6.21,45.82,48.81,18.32,51.8,9.78,48.8,3.5,53.14,12.58,57.8,7.36,51.54,45.67,17.14,32.73,6.18,60.19,4.31,46.35,10.97,44.8,5.7,44.32,41.51,15.58,47.98,9.06,38.07,2.73,39.82,9.43,41.06,5.23,42.03
202607240804,2026-07-24,08,4R,daily,64.96,24.38,46.08,8.7,45.81,3.28,50.0,11.84,50.0,6.37,54.57,50.22,18.85,46.08,8.7,51.7,3.7,50.0,11.84,50.0,6.37,49.47,46.49,17.45,51.8,9.78,36.51,2.62,50.0,11.84,50.0,6.37,48.05,49.32,18.51,47.98,9.06,73.32,5.25,50.0,11.84,50.0,6.37,51.03,46.19,17.34,32.73,6.18,35.25,2.53,50.0,11.84,50.0,6.37,44.25,42.81,16.07,82.3,15.54,43.26,3.1,50.0,11.84,50.0,6.37,52.92
202607240804,2026-07-24,08,4R,realtime,64.96,24.38,46.08,8.7,40.58,2.91,35.29,8.36,51.74,6.59,50.94,50.22,18.85,46.08,8.7,56.62,4.06,51.47,12.19,54.49,6.94,50.74,46.49,17.45,51.8,9.78,41.06,2.94,44.8,10.61,54.1,6.89,47.67,49.32,18.51,47.98,9.06,73.95,5.3,56.04,13.27,47.49,6.05,52.19,46.19,17.34,32.73,6.18,47.88,3.43,48.14,11.4,46.52,5.92,44.27,42.81,16.07,82.3,15.54,51.28,3.67,64.33,15.23,45.59,5.8,56.32
202607240805,2026-07-24,08,5R,daily,69.49,26.08,47.98,9.06,37.35,2.68,50.0,11.84,50.0,6.37,56.03,50.01,18.77,47.98,9.06,56.61,4.06,50.0,11.84,50.0,6.37,50.1,46.51,17.46,42.27,7.98,56.99,4.08,50.0,11.84,50.0,6.37,47.73,47.03,17.65,72.77,13.74,29.04,2.08,50.0,11.84,50.0,6.37,51.68,44.66,16.76,46.08,8.7,64.02,4.59,50.0,11.84,50.0,6.37,48.26,42.29,15.87,46.08,8.7,48.2,3.45,50.0,11.84,50.0,6.37,46.24
202607240806,2026-07-24,08,6R,daily,73.74,27.68,47.98,9.06,59.68,4.28,50.0,11.84,50.0,6.37,59.22,46.35,17.4,44.17,8.34,70.74,5.07,50.0,11.84,50.0,6.37,49.02,46.49,17.45,51.8,9.78,54.51,3.91,50.0,11.84,50.0,6.37,49.34,46.48,17.45,44.17,8.34,48.87,3.5,50.0,11.84,50.0,6.37,47.5,43.87,16.46,38.45,7.26,45.29,3.24,50.0,11.84,50.0,6.37,45.18,43.06,16.16,59.42,11.22,40.04,2.87,50.0,11.84,50.0,6.37,48.46
202607240807,2026-07-24,08,7R,daily,68.99,25.89,47.98,9.06,48.91,3.5,50.0,11.84,50.0,6.37,56.67,50.62,19.0,49.89,9.42,24.8,1.78,50.0,11.84,50.0,6.37,48.41,46.83,17.58,44.17,8.34,60.41,4.33,50.0,11.84,50.0,6.37,48.45,45.77,17.18,67.05,12.66,62.2,4.46,50.0,11.84,50.0,6.37,52.51,45.21,16.97,44.17,8.34,44.36,3.18,50.0,11.84,50.0,6.37,46.7,42.57,15.98,44.17,8.34,53.66,3.84,50.0,11.84,50.0,6.37,46.37
202607240808,2026-07-24,08,8R,daily,68.84,25.84,51.8,9.78,36.51,2.62,50.0,11.84,50.0,6.37,56.44,49.45,18.56,47.98,9.06,49.15,3.52,50.0,11.84,50.0,6.37,49.35,46.74,17.54,46.08,8.7,35.91,2.57,50.0,11.84,50.0,6.37,47.03,47.51,17.83,47.98,9.06,39.74,2.85,50.0,11.84,50.0,6.37,47.95,44.64,16.75,46.08,8.7,55.97,4.01,50.0,11.84,50.0,6.37,47.67,42.81,16.07,36.55,6.9,53.94,3.86,50.0,11.84,50.0,6.37,45.04
202607240809,2026-07-24,08,9R,daily,71.05,26.67,40.36,7.62,49.49,3.55,50.0,11.84,50.0,6.37,56.04,47.93,17.99,44.17,8.34,55.64,3.99,50.0,11.84,50.0,6.37,48.53,47.55,17.85,47.98,9.06,73.32,5.25,50.0,11.84,50.0,6.37,50.37,47.03,17.65,30.83,5.82,58.7,4.21,50.0,11.84,50.0,6.37,45.89,43.88,16.47,72.77,13.74,29.04,2.08,50.0,11.84,50.0,6.37,50.5,42.55,15.97,46.08,8.7,42.23,3.03,50.0,11.84,50.0,6.37,45.91
202607240810,2026-07-24,08,10R,daily,72.19,27.1,42.27,7.98,56.99,4.08,50.0,11.84,50.0,6.37,57.37,48.67,18.27,82.3,15.54,43.26,3.1,50.0,11.84,50.0,6.37,55.12,46.23,17.35,49.89,9.42,51.81,3.71,50.0,11.84,50.0,6.37,48.69,46.22,17.35,38.45,7.26,45.29,3.24,50.0,11.84,50.0,6.37,46.06,44.38,16.66,44.17,8.34,40.07,2.87,50.0,11.84,50.0,6.37,46.08,42.29,15.87,51.8,9.78,52.86,3.79,50.0,11.84,50.0,6.37,47.65
202607240811,2026-07-24,08,11R,daily,75.03,28.16,51.8,9.78,49.94,3.58,50.0,11.84,50.0,6.37,59.73,46.86,17.59,46.08,8.7,64.02,4.59,50.0,11.84,50.0,6.37,49.09,46.49,17.45,49.89,9.42,24.8,1.78,50.0,11.84,50.0,6.37,46.86,45.96,17.25,38.45,7.26,29.64,2.12,50.0,11.84,50.0,6.37,44.84,43.6,16.37,51.8,9.78,54.51,3.91,50.0,11.84,50.0,6.37,48.26,42.03,15.78,46.08,8.7,60.24,4.32,50.0,11.84,50.0,6.37,47.0
202607240812,2026-07-24,08,12R,daily,80.46,30.2,67.05,12.66,62.2,4.46,50.0,11.84,50.0,6.37,65.53,46.09,17.3,46.08,8.7,48.2,3.45,50.0,11.84,50.0,6.37,47.66,44.16,16.58,46.08,8.7,55.97,4.01,50.0,11.84,50.0,6.37,47.5,44.67,16.77,49.89,9.42,51.99,3.73,50.0,11.84,50.0,6.37,48.12,42.83,16.08,47.98,9.06,59.68,4.28,50.0,11.84,50.0,6.37,47.62,41.77,15.68,47.98,9.06,44.24,3.17,50.0,11.84,50.0,6.37,46.12
202607241201,2026-07-24,12,1R,daily,70.23,29.36,41.58,6.9,56.25,5.51,50.0,9.94,50.0,5.96,57.67,46.86,19.59,41.58,6.9,58.85,5.77,50.0,9.94,50.0,5.96,48.16,48.59,20.32,46.56,7.72,60.99,5.98,50.0,9.94,50.0,5.96,49.92,47.86,20.01,41.58,6.9,51.85,5.08,50.0,9.94,50.0,5.96,47.89,43.53,18.2,41.58,6.9,52.64,5.16,50.0,9.94,50.0,5.96,46.16,42.81,17.9,48.22,8.0,46.13,4.52,50.0,9.94,50.0,5.96,46.32
202607241202,2026-07-24,12,2R,daily,68.0,28.43,46.56,7.72,61.3,6.01,50.0,9.94,50.0,5.96,58.07,49.37,20.64,43.24,7.17,47.65,4.67,50.0,9.94,50.0,5.96,48.38,47.2,19.73,43.24,7.17,56.17,5.51,50.0,9.94,50.0,5.96,48.31,49.25,20.59,48.22,8.0,36.08,3.54,50.0,9.94,50.0,5.96,48.03,44.08,18.43,41.58,6.9,56.54,5.54,50.0,9.94,50.0,5.96,46.77,41.98,17.55,34.93,5.79,62.15,6.09,50.0,9.94,50.0,5.96,45.34
202607241203,2026-07-24,12,3R,daily,66.89,27.96,44.9,7.45,63.63,6.24,50.0,9.94,50.0,5.96,57.55,48.81,20.41,46.56,7.72,49.18,4.82,50.0,9.94,50.0,5.96,48.85,48.31,20.2,54.87,9.1,47.0,4.61,50.0,9.94,50.0,5.96,49.81,47.86,20.01,43.24,7.17,42.22,4.14,50.0,9.94,50.0,5.96,47.22,45.2,18.9,36.59,6.07,57.83,5.67,50.0,9.94,50.0,5.96,46.54,42.81,17.9,41.58,6.9,64.16,6.29,50.0,9.94,50.0,5.96,46.99
