記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-08-18,A1,G2_G3_一般,1,44.5956,11.6688,2720
2026-08-18,A1,G2_G3_一般,2,33.57,16.5002,2000
2026-08-18,A1,G2_G3_一般,3,31.9023,17.5138,1903
2026-08-18,A1,G2_G3_一般,4,30.6925,16.4646,1906
2026-08-18,A1,G2_G3_一般,5,27.5028,15.8421,1762
2026-08-18,A1,G2_G3_一般,6,21.8366,16.408,1383
2026-08-18,A1,SG_G1,1,85.7143,24.667,287
2026-08-18,A1,SG_G1,2,50.2837,34.5681,282
2026-08-18,A1,SG_G1,3,49.1409,33.8627,291
2026-08-18,A1,SG_G1,4,44.069,32.0989,290
2026-08-18,A1,SG_G1,5,41.773,29.7217,282
2026-08-18,A1,SG_G1,6,30.9966,26.4257,291
2026-08-18,A2,G2_G3_一般,1,61.9171,20.3255,2363
2026-08-18,A2,G2_G3_一般,2,45.1786,23.5574,2212
2026-08-18,A2,G2_G3_一般,3,43.5457,25.3266,2252
2026-08-18,A2,G2_G3_一般,4,39.445,24.2634,2072
2026-08-18,A2,G2_G3_一般,5,34.5659,22.7576,2050
2026-08-18,A2,G2_G3_一般,6,25.7588,22.2541,1812
2026-08-18,A2,SG_G1,1,99.1071,29.4913,28
2026-08-18,A2,SG_G1,2,53.5714,53.5,35
2026-08-18,A2,SG_G1,3,50.0,51.2348,30
2026-08-18,A2,SG_G1,4,43.1034,54.4948,29
2026-08-18,A2,SG_G1,5,48.2759,40.4346,29
2026-08-18,A2,SG_G1,6,41.4062,31.6286,32
2026-08-18,B1,全,1,69.5425,33.1795,3672
2026-08-18,B1,全,2,47.2882,32.4158,4462
2026-08-18,B1,全,3,45.216,33.2861,4467
2026-08-18,B1,全,4,40.2409,32.0913,4567
2026-08-18,B1,全,5,35.9284,29.8736,4583
2026-08-18,B1,全,6,25.2532,25.9744,3929
2026-08-18,B2,全,1,80.2632,46.5915,228
2026-08-18,B2,全,2,47.381,42.5745,315
2026-08-18,B2,全,3,43.2263,44.4299,358
2026-08-18,B2,全,4,33.9069,39.9787,494
2026-08-18,B2,全,5,30.3485,37.2222,617
2026-08-18,B2,全,6,13.6081,27.1934,1850
2026-08-18,A1,G2_G3_一般,0,33.0915,17.1514,11674
2026-08-18,A1,SG_G1,0,50.296,34.886,1723
2026-08-18,A2,G2_G3_一般,0,42.5966,25.6451,12761
2026-08-18,A2,SG_G1,0,55.3279,48.7791,183
2026-08-18,B1,全,0,43.4579,33.7847,25680
2026-08-18,B2,全,0,28.3143,39.457,3862
