記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-08-23,A1,G2_G3_一般,1,44.5885,11.7262,2746
2026-08-23,A1,G2_G3_一般,2,33.4809,16.6431,2011
2026-08-23,A1,G2_G3_一般,3,32.0073,17.5572,1913
2026-08-23,A1,G2_G3_一般,4,30.7954,16.4606,1911
2026-08-23,A1,G2_G3_一般,5,27.5309,16.1561,1782
2026-08-23,A1,G2_G3_一般,6,21.7447,16.4189,1410
2026-08-23,A1,SG_G1,1,85.3788,24.5538,264
2026-08-23,A1,SG_G1,2,49.572,35.4654,257
2026-08-23,A1,SG_G1,3,49.3233,34.2963,266
2026-08-23,A1,SG_G1,4,43.5878,32.2341,262
2026-08-23,A1,SG_G1,5,41.4729,29.6125,258
2026-08-23,A1,SG_G1,6,31.2453,26.4425,265
2026-08-23,A2,G2_G3_一般,1,61.8687,20.2638,2368
2026-08-23,A2,G2_G3_一般,2,45.2929,23.4608,2219
2026-08-23,A2,G2_G3_一般,3,43.8082,25.1759,2257
2026-08-23,A2,G2_G3_一般,4,39.5167,24.1748,2069
2026-08-23,A2,G2_G3_一般,5,34.8675,22.2293,2038
2026-08-23,A2,G2_G3_一般,6,25.8723,21.8017,1817
2026-08-23,A2,SG_G1,1,99.1071,29.4913,28
2026-08-23,A2,SG_G1,2,53.5714,53.5,35
2026-08-23,A2,SG_G1,3,50.0,51.2348,30
2026-08-23,A2,SG_G1,4,43.1034,54.4948,29
2026-08-23,A2,SG_G1,5,48.2759,40.4346,29
2026-08-23,A2,SG_G1,6,41.4062,31.6286,32
2026-08-23,B1,全,1,69.84,32.9303,3687
2026-08-23,B1,全,2,47.0904,32.3345,4468
2026-08-23,B1,全,3,44.9376,33.2286,4488
2026-08-23,B1,全,4,40.2907,32.0575,4610
2026-08-23,B1,全,5,35.7455,30.1104,4621
2026-08-23,B1,全,6,25.0619,25.8981,3955
2026-08-23,B2,全,1,80.2174,46.683,230
2026-08-23,B2,全,2,47.6562,42.7837,320
2026-08-23,B2,全,3,43.5028,45.0614,354
2026-08-23,B2,全,4,34.8361,39.7298,488
2026-08-23,B2,全,5,29.9428,37.2551,612
2026-08-23,B2,全,6,13.7352,27.1557,1862
2026-08-23,A1,G2_G3_一般,0,33.0901,17.2411,11773
2026-08-23,A1,SG_G1,0,50.1272,35.0606,1572
2026-08-23,A2,G2_G3_一般,0,42.7408,25.4231,12768
2026-08-23,A2,SG_G1,0,55.3279,48.7791,183
2026-08-23,B1,全,0,43.3474,33.7948,25829
2026-08-23,B2,全,0,28.4532,39.5187,3866
