記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-08-19,A1,G2_G3_一般,1,44.5775,11.7431,2722
2026-08-19,A1,G2_G3_一般,2,33.6309,16.435,2005
2026-08-19,A1,G2_G3_一般,3,31.999,17.5026,1906
2026-08-19,A1,G2_G3_一般,4,30.758,16.4427,1913
2026-08-19,A1,G2_G3_一般,5,27.531,15.877,1774
2026-08-19,A1,G2_G3_一般,6,21.6727,16.7279,1381
2026-08-19,A1,SG_G1,1,85.5351,24.4872,271
2026-08-19,A1,SG_G1,2,49.5057,35.1767,263
2026-08-19,A1,SG_G1,3,49.6,34.0404,275
2026-08-19,A1,SG_G1,4,44.4118,32.2847,272
2026-08-19,A1,SG_G1,5,42.3221,29.8661,267
2026-08-19,A1,SG_G1,6,31.25,26.3723,272
2026-08-19,A2,G2_G3_一般,1,61.8917,20.3368,2355
2026-08-19,A2,G2_G3_一般,2,45.1111,23.5509,2206
2026-08-19,A2,G2_G3_一般,3,43.7039,25.281,2249
2026-08-19,A2,G2_G3_一般,4,39.4207,24.165,2063
2026-08-19,A2,G2_G3_一般,5,34.5858,22.5976,2040
2026-08-19,A2,G2_G3_一般,6,25.8356,22.039,1807
2026-08-19,A2,SG_G1,1,99.1071,29.4913,28
2026-08-19,A2,SG_G1,2,53.5714,53.5,35
2026-08-19,A2,SG_G1,3,50.0,51.2348,30
2026-08-19,A2,SG_G1,4,43.1034,54.4948,29
2026-08-19,A2,SG_G1,5,48.2759,40.4346,29
2026-08-19,A2,SG_G1,6,41.4062,31.6286,32
2026-08-19,B1,全,1,69.5109,33.1003,3680
2026-08-19,B1,全,2,47.3301,32.4027,4472
2026-08-19,B1,全,3,45.1508,33.2662,4477
2026-08-19,B1,全,4,40.2837,32.0621,4583
2026-08-19,B1,全,5,35.8547,29.843,4598
2026-08-19,B1,全,6,25.2125,25.9473,3929
2026-08-19,B2,全,1,80.2632,46.5915,228
2026-08-19,B2,全,2,48.0769,42.793,312
2026-08-19,B2,全,3,44.0476,44.4536,357
2026-08-19,B2,全,4,33.7907,39.9467,492
2026-08-19,B2,全,5,29.8232,37.2493,622
2026-08-19,B2,全,6,13.6643,27.2597,1868
2026-08-19,A1,G2_G3_一般,0,33.1057,17.1933,11701
2026-08-19,A1,SG_G1,0,50.4444,34.9539,1620
2026-08-19,A2,G2_G3_一般,0,42.6199,25.5626,12720
2026-08-19,A2,SG_G1,0,55.3279,48.7791,183
2026-08-19,B1,全,0,43.4415,33.7572,25739
2026-08-19,B2,全,0,28.2869,39.4947,3879
