記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-08-26,A1,G2_G3_一般,1,44.518,12.067,2749
2026-08-26,A1,G2_G3_一般,2,33.5317,16.0117,2016
2026-08-26,A1,G2_G3_一般,3,32.0241,17.5644,1912
2026-08-26,A1,G2_G3_一般,4,30.8972,16.4296,1917
2026-08-26,A1,G2_G3_一般,5,27.5619,16.1382,1776
2026-08-26,A1,G2_G3_一般,6,21.6596,16.4277,1410
2026-08-26,A1,SG_G1,1,84.8511,25.1354,235
2026-08-26,A1,SG_G1,2,50.1333,36.1783,225
2026-08-26,A1,SG_G1,3,49.0678,34.6529,236
2026-08-26,A1,SG_G1,4,43.8627,32.4218,233
2026-08-26,A1,SG_G1,5,41.4783,29.4808,230
2026-08-26,A1,SG_G1,6,32.3276,26.1579,232
2026-08-26,A2,G2_G3_一般,1,62.0059,20.3528,2388
2026-08-26,A2,G2_G3_一般,2,45.1862,23.5132,2202
2026-08-26,A2,G2_G3_一般,3,43.9942,25.3886,2252
2026-08-26,A2,G2_G3_一般,4,39.562,23.7334,2066
2026-08-26,A2,G2_G3_一般,5,34.5497,22.2733,2043
2026-08-26,A2,G2_G3_一般,6,26.0708,22.4013,1821
2026-08-26,A2,SG_G1,1,99.1071,29.4913,28
2026-08-26,A2,SG_G1,2,53.5714,53.5,35
2026-08-26,A2,SG_G1,3,50.0,51.2348,30
2026-08-26,A2,SG_G1,4,43.1034,54.4948,29
2026-08-26,A2,SG_G1,5,48.2759,40.4346,29
2026-08-26,A2,SG_G1,6,41.4062,31.6286,32
2026-08-26,B1,全,1,69.9001,32.871,3705
2026-08-26,B1,全,2,47.3395,32.6023,4518
2026-08-26,B1,全,3,45.0176,33.2265,4552
2026-08-26,B1,全,4,40.1849,32.257,4651
2026-08-26,B1,全,5,35.7899,30.2576,4665
2026-08-26,B1,全,6,25.0712,25.7772,4003
2026-08-26,B2,全,1,78.7393,46.7926,234
2026-08-26,B2,全,2,46.9436,43.6445,319
2026-08-26,B2,全,3,43.5714,44.7784,350
2026-08-26,B2,全,4,34.3367,38.8721,490
2026-08-26,B2,全,5,29.4481,37.1557,607
2026-08-26,B2,全,6,13.9023,27.2282,1863
2026-08-26,A1,G2_G3_一般,0,33.101,17.1798,11780
2026-08-26,A1,SG_G1,0,50.3666,35.0958,1391
2026-08-26,A2,G2_G3_一般,0,42.7842,25.5173,12772
2026-08-26,A2,SG_G1,0,55.3279,48.7791,183
2026-08-26,B1,全,0,43.3816,33.8777,26094
2026-08-26,B2,全,0,28.2811,39.3253,3863
