記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-08-30,A1,G2_G3_一般,1,44.4448,12.4033,2837
2026-08-30,A1,G2_G3_一般,2,33.346,16.7147,2101
2026-08-30,A1,G2_G3_一般,3,32.2194,17.1572,1987
2026-08-30,A1,G2_G3_一般,4,30.601,16.3513,1980
2026-08-30,A1,G2_G3_一般,5,27.3781,16.7337,1846
2026-08-30,A1,G2_G3_一般,6,21.7659,16.2668,1478
2026-08-30,A1,SG_G1,1,85.4694,25.1259,245
2026-08-30,A1,SG_G1,2,50.9402,35.9958,234
2026-08-30,A1,SG_G1,3,47.6113,34.9951,247
2026-08-30,A1,SG_G1,4,46.7769,31.6023,242
2026-08-30,A1,SG_G1,5,41.7143,30.1073,245
2026-08-30,A1,SG_G1,6,30.5645,27.4097,248
2026-08-30,A2,G2_G3_一般,1,61.733,20.7188,2438
2026-08-30,A2,G2_G3_一般,2,44.9597,23.9076,2232
2026-08-30,A2,G2_G3_一般,3,44.1245,24.9408,2273
2026-08-30,A2,G2_G3_一般,4,39.6816,23.7184,2073
2026-08-30,A2,G2_G3_一般,5,34.4094,22.3083,2074
2026-08-30,A2,G2_G3_一般,6,26.2723,22.322,1847
2026-08-30,A2,SG_G1,1,99.1071,29.4913,28
2026-08-30,A2,SG_G1,2,53.5714,53.5,35
2026-08-30,A2,SG_G1,3,50.0,51.2348,30
2026-08-30,A2,SG_G1,4,43.1034,54.4948,29
2026-08-30,A2,SG_G1,5,48.2759,40.4346,29
2026-08-30,A2,SG_G1,6,41.4062,31.6286,32
2026-08-30,B1,全,1,69.5522,33.1947,3729
2026-08-30,B1,全,2,47.2565,32.5122,4589
2026-08-30,B1,全,3,44.7458,33.113,4602
2026-08-30,B1,全,4,40.0759,32.3143,4740
2026-08-30,B1,全,5,35.7709,30.0459,4748
2026-08-30,B1,全,6,25.0749,25.8577,4071
2026-08-30,B2,全,1,79.8729,45.1291,236
2026-08-30,B2,全,2,45.9779,44.2871,317
2026-08-30,B2,全,3,42.9666,43.1721,359
2026-08-30,B2,全,4,33.3848,37.9911,486
2026-08-30,B2,全,5,29.7185,36.4006,604
2026-08-30,B2,全,6,13.5467,26.7266,1851
2026-08-30,A1,G2_G3_一般,0,32.9929,17.3355,12229
2026-08-30,A1,SG_G1,0,50.4723,35.4204,1461
2026-08-30,A2,G2_G3_一般,0,42.7688,25.5024,12937
2026-08-30,A2,SG_G1,0,55.3279,48.7791,183
2026-08-30,B1,全,0,43.2048,33.8193,26479
2026-08-30,B2,全,0,28.0561,38.8516,3853
