記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-08-29,A1,G2_G3_一般,1,44.4753,12.3753,2811
2026-08-29,A1,G2_G3_一般,2,33.4056,16.2771,2076
2026-08-29,A1,G2_G3_一般,3,32.2137,17.4489,1965
2026-08-29,A1,G2_G3_一般,4,30.8006,16.3846,1961
2026-08-29,A1,G2_G3_一般,5,27.3707,16.4346,1818
2026-08-29,A1,G2_G3_一般,6,21.6427,16.3395,1461
2026-08-29,A1,SG_G1,1,84.6774,25.1587,248
2026-08-29,A1,SG_G1,2,50.0833,36.1477,240
2026-08-29,A1,SG_G1,3,48.5375,34.7071,253
2026-08-29,A1,SG_G1,4,44.5528,31.8342,246
2026-08-29,A1,SG_G1,5,42.16,29.7747,250
2026-08-29,A1,SG_G1,6,30.5179,27.1511,251
2026-08-29,A2,G2_G3_一般,1,61.8667,20.5788,2424
2026-08-29,A2,G2_G3_一般,2,44.9933,23.9004,2229
2026-08-29,A2,G2_G3_一般,3,44.1175,24.9636,2289
2026-08-29,A2,G2_G3_一般,4,39.8602,23.6817,2075
2026-08-29,A2,G2_G3_一般,5,34.4302,22.2918,2071
2026-08-29,A2,G2_G3_一般,6,26.2173,22.4197,1836
2026-08-29,A2,SG_G1,1,99.1071,29.4913,28
2026-08-29,A2,SG_G1,2,53.5714,53.5,35
2026-08-29,A2,SG_G1,3,50.0,51.2348,30
2026-08-29,A2,SG_G1,4,43.1034,54.4948,29
2026-08-29,A2,SG_G1,5,48.2759,40.4346,29
2026-08-29,A2,SG_G1,6,41.4062,31.6286,32
2026-08-29,B1,全,1,69.6324,33.0937,3727
2026-08-29,B1,全,2,47.1954,32.666,4564
2026-08-29,B1,全,3,44.8009,33.1929,4570
2026-08-29,B1,全,4,40.2592,32.2675,4707
2026-08-29,B1,全,5,35.707,30.0893,4724
2026-08-29,B1,全,6,25.0568,25.7875,4050
2026-08-29,B2,全,1,79.7468,46.4015,237
2026-08-29,B2,全,2,46.0987,44.1965,314
2026-08-29,B2,全,3,43.7143,43.1748,350
2026-08-29,B2,全,4,33.9652,38.1139,488
2026-08-29,B2,全,5,29.654,36.7542,607
2026-08-29,B2,全,6,13.6131,26.9765,1853
2026-08-29,A1,G2_G3_一般,0,33.0342,17.287,12092
2026-08-29,A1,SG_G1,0,50.0403,35.2411,1488
2026-08-29,A2,G2_G3_一般,0,42.8188,25.5029,12924
2026-08-29,A2,SG_G1,0,55.3279,48.7791,183
2026-08-29,B1,全,0,43.2511,33.8513,26342
2026-08-29,B2,全,0,28.1826,39.0846,3849
