記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-08-20,A1,G2_G3_一般,1,44.5558,11.7661,2735
2026-08-20,A1,G2_G3_一般,2,33.5668,16.4571,2013
2026-08-20,A1,G2_G3_一般,3,31.9717,17.5205,1907
2026-08-20,A1,G2_G3_一般,4,30.7604,16.4204,1920
2026-08-20,A1,G2_G3_一般,5,27.579,16.1733,1772
2026-08-20,A1,G2_G3_一般,6,21.8097,16.3982,1398
2026-08-20,A1,SG_G1,1,85.5351,24.4872,271
2026-08-20,A1,SG_G1,2,49.5057,35.1767,263
2026-08-20,A1,SG_G1,3,49.6,34.0404,275
2026-08-20,A1,SG_G1,4,44.4118,32.2847,272
2026-08-20,A1,SG_G1,5,42.3221,29.8661,267
2026-08-20,A1,SG_G1,6,31.25,26.3723,272
2026-08-20,A2,G2_G3_一般,1,61.8822,20.3034,2351
2026-08-20,A2,G2_G3_一般,2,45.1453,23.4647,2203
2026-08-20,A2,G2_G3_一般,3,43.7456,25.2622,2252
2026-08-20,A2,G2_G3_一般,4,39.3572,24.1876,2069
2026-08-20,A2,G2_G3_一般,5,34.6581,22.3473,2033
2026-08-20,A2,G2_G3_一般,6,25.862,22.0233,1804
2026-08-20,A2,SG_G1,1,99.1071,29.4913,28
2026-08-20,A2,SG_G1,2,53.5714,53.5,35
2026-08-20,A2,SG_G1,3,50.0,51.2348,30
2026-08-20,A2,SG_G1,4,43.1034,54.4948,29
2026-08-20,A2,SG_G1,5,48.2759,40.4346,29
2026-08-20,A2,SG_G1,6,41.4062,31.6286,32
2026-08-20,B1,全,1,69.5217,32.9886,3680
2026-08-20,B1,全,2,47.3147,32.3665,4465
2026-08-20,B1,全,3,45.0022,33.3025,4478
2026-08-20,B1,全,4,40.2881,32.0806,4582
2026-08-20,B1,全,5,35.8968,29.9612,4611
2026-08-20,B1,全,6,25.2276,25.9658,3933
2026-08-20,B2,全,1,80.5921,46.5826,228
2026-08-20,B2,全,2,46.9937,43.3339,316
2026-08-20,B2,全,3,42.9272,44.9951,357
2026-08-20,B2,全,4,34.6349,39.8204,493
2026-08-20,B2,全,5,29.8478,37.0369,624
2026-08-20,B2,全,6,13.6145,27.1962,1873
2026-08-20,A1,G2_G3_一般,0,33.1052,17.1906,11745
2026-08-20,A1,SG_G1,0,50.4444,34.9539,1620
2026-08-20,A2,G2_G3_一般,0,42.6369,25.5011,12712
2026-08-20,A2,SG_G1,0,55.3279,48.7791,183
2026-08-20,B1,全,0,43.4176,33.761,25749
2026-08-20,B2,全,0,28.2061,39.4949,3891
