記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-08-24,A1,G2_G3_一般,1,44.5212,12.0446,2778
2026-08-24,A1,G2_G3_一般,2,33.528,16.3039,2038
2026-08-24,A1,G2_G3_一般,3,32.0848,17.5047,1933
2026-08-24,A1,G2_G3_一般,4,30.895,16.404,1933
2026-08-24,A1,G2_G3_一般,5,27.3969,16.7169,1794
2026-08-24,A1,G2_G3_一般,6,21.8432,16.375,1416
2026-08-24,A1,SG_G1,1,85.4902,24.5679,255
2026-08-24,A1,SG_G1,2,49.6327,35.575,245
2026-08-24,A1,SG_G1,3,49.6471,34.2922,255
2026-08-24,A1,SG_G1,4,43.4921,32.4726,252
2026-08-24,A1,SG_G1,5,41.6867,29.5408,249
2026-08-24,A1,SG_G1,6,31.3492,26.2423,252
2026-08-24,A2,G2_G3_一般,1,61.8011,20.4976,2418
2026-08-24,A2,G2_G3_一般,2,45.3241,23.4367,2237
2026-08-24,A2,G2_G3_一般,3,43.8613,25.3568,2279
2026-08-24,A2,G2_G3_一般,4,39.7088,23.7205,2095
2026-08-24,A2,G2_G3_一般,5,34.6535,22.3068,2078
2026-08-24,A2,G2_G3_一般,6,26.0422,22.2109,1847
2026-08-24,A2,SG_G1,1,99.1071,29.4913,28
2026-08-24,A2,SG_G1,2,53.5714,53.5,35
2026-08-24,A2,SG_G1,3,50.0,51.2348,30
2026-08-24,A2,SG_G1,4,43.1034,54.4948,29
2026-08-24,A2,SG_G1,5,48.2759,40.4346,29
2026-08-24,A2,SG_G1,6,41.4062,31.6286,32
2026-08-24,B1,全,1,69.8007,32.8897,3763
2026-08-24,B1,全,2,47.1357,32.6373,4563
2026-08-24,B1,全,3,45.101,33.3,4603
2026-08-24,B1,全,4,40.195,32.1624,4719
2026-08-24,B1,全,5,35.7901,30.1489,4727
2026-08-24,B1,全,6,25.1271,25.8574,4053
2026-08-24,B2,全,1,80.0,46.802,235
2026-08-24,B2,全,2,47.4006,42.5323,327
2026-08-24,B2,全,3,43.9266,45.0813,354
2026-08-24,B2,全,4,34.5335,39.5254,493
2026-08-24,B2,全,5,29.9755,37.3975,613
2026-08-24,B2,全,6,13.9819,27.255,1881
2026-08-24,A1,G2_G3_一般,0,33.1172,17.2781,11892
2026-08-24,A1,SG_G1,0,50.305,35.0923,1508
2026-08-24,A2,G2_G3_一般,0,42.7733,25.4652,12954
2026-08-24,A2,SG_G1,0,55.3279,48.7791,183
2026-08-24,B1,全,0,43.3646,33.8593,26428
2026-08-24,B2,全,0,28.5806,39.503,3903
