記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-08-28,A1,G2_G3_一般,1,44.4265,12.4439,2790
2026-08-28,A1,G2_G3_一般,2,33.4861,16.0292,2051
2026-08-28,A1,G2_G3_一般,3,32.148,17.4979,1946
2026-08-28,A1,G2_G3_一般,4,30.8278,16.3849,1945
2026-08-28,A1,G2_G3_一般,5,27.3848,16.4572,1801
2026-08-28,A1,G2_G3_一般,6,21.699,16.3851,1442
2026-08-28,A1,SG_G1,1,84.9153,24.8298,236
2026-08-28,A1,SG_G1,2,50.0877,36.2979,228
2026-08-28,A1,SG_G1,3,48.0498,34.9501,241
2026-08-28,A1,SG_G1,4,44.5299,31.6767,234
2026-08-28,A1,SG_G1,5,42.1849,29.6523,238
2026-08-28,A1,SG_G1,6,30.795,27.546,239
2026-08-28,A2,G2_G3_一般,1,61.8497,20.6182,2422
2026-08-28,A2,G2_G3_一般,2,45.0675,23.9232,2222
2026-08-28,A2,G2_G3_一般,3,43.9987,25.1654,2282
2026-08-28,A2,G2_G3_一般,4,39.8171,23.7344,2078
2026-08-28,A2,G2_G3_一般,5,34.4482,22.2747,2066
2026-08-28,A2,G2_G3_一般,6,26.1786,22.3987,1837
2026-08-28,A2,SG_G1,1,99.1071,29.4913,28
2026-08-28,A2,SG_G1,2,53.5714,53.5,35
2026-08-28,A2,SG_G1,3,50.0,51.2348,30
2026-08-28,A2,SG_G1,4,43.1034,54.4948,29
2026-08-28,A2,SG_G1,5,48.2759,40.4346,29
2026-08-28,A2,SG_G1,6,41.4062,31.6286,32
2026-08-28,B1,全,1,69.731,32.9422,3718
2026-08-28,B1,全,2,47.2448,32.6163,4555
2026-08-28,B1,全,3,44.9188,33.2545,4558
2026-08-28,B1,全,4,40.1963,32.2931,4687
2026-08-28,B1,全,5,35.7113,30.1411,4710
2026-08-28,B1,全,6,25.1216,25.8142,4030
2026-08-28,B2,全,1,79.6218,46.6264,238
2026-08-28,B2,全,2,46.2617,44.0993,321
2026-08-28,B2,全,3,43.9944,44.0079,358
2026-08-28,B2,全,4,33.7022,38.6645,497
2026-08-28,B2,全,5,29.4715,36.9894,615
2026-08-28,B2,全,6,13.7352,26.9447,1862
2026-08-28,A1,G2_G3_一般,0,33.0489,17.2618,11975
2026-08-28,A1,SG_G1,0,50.0424,35.2953,1416
2026-08-28,A2,G2_G3_一般,0,42.7942,25.5527,12907
2026-08-28,A2,SG_G1,0,55.3279,48.7791,183
2026-08-28,B1,全,0,43.3026,33.8582,26258
2026-08-28,B2,全,0,28.2704,39.2694,3891
