レースコード,レース日,レース場,レース回,締切時刻,取得日時,2連単_1-2,2連単_1-3,2連単_1-4,2連単_1-5,2連単_1-6,2連単_2-1,2連単_2-3,2連単_2-4,2連単_2-5,2連単_2-6,2連単_3-1,2連単_3-2,2連単_3-4,2連単_3-5,2連単_3-6,2連単_4-1,2連単_4-2,2連単_4-3,2連単_4-5,2連単_4-6,2連単_5-1,2連単_5-2,2連単_5-3,2連単_5-4,2連単_5-6,2連単_6-1,2連単_6-2,2連単_6-3,2連単_6-4,2連単_6-5,2連複_1=2,2連複_1=3,2連複_1=4,2連複_1=5,2連複_1=6,2連複_2=3,2連複_2=4,2連複_2=5,2連複_2=6,2連複_3=4,2連複_3=5,2連複_3=6,2連複_4=5,2連複_4=6,2連複_5=6
202608102105,2026-08-10,21,05R,10:16,2026-08-10T10:06:22.772057+09:00,6.5,2.5,24.8,2.7,74.5,52.2,261.0,261.0,174.0,174.0,16.8,174.0,52.2,43.5,174.0,40.1,130.5,174.0,74.5,130.5,14.5,74.5,43.5,58.0,74.5,130.5,522.0,522.0,174.0,522.0,17.7,2.4,13.3,3.3,0.0,10.6,53.2,53.2,53.2,17.7,8.8,26.6,17.7,26.6,26.6
202608101405,2026-08-10,14,05R,10:24,2026-08-10T10:14:26.004113+09:00,10.3,7.5,11.3,17.3,33.0,40.4,40.4,72.7,121.2,121.2,2.7,13.9,8.4,13.9,15.1,60.6,33.0,90.9,181.8,90.9,45.4,181.8,121.2,363.7,121.2,60.6,90.9,181.8,363.7,363.7,11.1,1.9,14.8,17.8,14.8,9.9,9.9,22.3,29.7,17.8,14.8,17.8,44.6,29.7,29.7
202608100901,2026-08-10,09,01R,10:28,2026-08-10T10:18:28.310457+09:00,1.4,15.0,3.0,15.9,27.7,19.5,175.7,58.5,131.8,175.7,65.9,527.2,527.2,263.6,0.0,75.3,131.8,527.2,263.6,527.2,105.4,527.2,263.6,0.0,527.2,527.2,527.2,0.0,527.2,527.2,2.9,4.4,11.0,5.5,14.7,4.4,44.2,22.1,0.0,22.1,0.0,0.0,44.2,22.1,44.2
202608100801,2026-08-10,08,01R,10:32,2026-08-10T10:22:22.010232+09:00,7.4,14.8,3.2,22.2,6.7,14.8,222.0,74.0,31.7,111.0,55.5,222.0,55.5,222.0,111.0,10.0,31.7,74.0,55.5,24.6,31.7,74.0,0.0,222.0,222.0,11.1,37.0,74.0,22.2,55.5,6.2,17.5,2.7,9.7,5.4,21.9,12.5,21.9,9.7,29.2,87.7,87.7,87.7,9.7,43.8
202608101301,2026-08-10,13,01R,10:33,2026-08-10T10:24:21.543485+09:00,8.5,12.7,15.3,10.9,7.6,17.0,25.5,76.5,12.7,25.5,25.5,76.5,19.1,153.0,153.0,76.5,30.6,0.0,51.0,0.0,13.9,7.2,30.6,153.0,19.1,19.1,30.6,76.5,153.0,30.6,4.3,3.4,12.9,5.7,51.7,17.2,51.7,25.8,0.0,3.9,17.2,51.7,25.8,51.7,25.8
202608102305,2026-08-10,23,05R,10:35,2026-08-10T10:26:20.823847+09:00,42.2,49.9,24.9,5.8,274.5,39.2,91.5,109.8,21.1,549.0,61.0,61.0,78.4,32.2,274.5,34.3,61.0,78.4,8.7,183.0,3.7,7.6,14.8,4.9,22.8,549.0,0.0,274.5,549.0,183.0,13.6,23.4,7.1,3.0,82.1,20.5,14.9,10.2,82.1,27.3,14.9,82.1,2.8,54.7,41.0
202608101801,2026-08-10,18,01R,10:38,2026-08-10T10:28:22.320323+09:00,5.2,8.6,8.8,10.4,42.1,14.2,30.6,25.7,36.7,116.9,21.4,30.6,16.9,32.5,47.6,14.6,24.5,25.7,15.7,49.4,17.3,27.9,42.1,25.9,85.7,128.6,197.9,285.9,183.8,160.8,3.7,4.4,5.7,5.2,37.9,15.8,10.7,25.9,61.5,12.3,25.9,54.7,14.4,44.7,61.5
202608102106,2026-08-10,21,06R,10:45,2026-08-10T10:36:21.127326+09:00,15.6,5.6,31.3,16.8,54.8,9.7,8.9,12.9,10.2,31.3,17.5,17.5,19.0,16.8,36.5,54.8,31.3,48.7,33.7,73.1,19.0,27.4,24.3,36.5,87.7,146.2,146.2,219.3,219.3,438.7,6.8,9.2,34.0,12.7,51.0,5.1,6.0,4.6,51.0,5.6,20.4,102.0,14.5,51.0,34.0
202608101601,2026-08-10,16,01R,10:53,2026-08-10T10:44:26.699837+09:00,10.5,6.0,5.7,10.5,19.4,14.8,50.5,84.2,63.1,42.1,9.3,36.1,16.8,63.1,126.3,19.4,42.1,28.0,28.0,42.1,36.1,84.2,84.2,50.5,126.3,18.0,28.0,42.1,63.1,63.1,3.0,3.7,5.8,13.1,10.5,10.5,0.0,52.5,52.5,7.5,17.5,0.0,26.2,52.5,52.5
202608101406,2026-08-10,14,06R,10:55,2026-08-10T10:46:23.096227+09:00,15.9,2.8,15.4,11.4,4.9,14.6,87.6,131.4,131.4,175.2,11.4,43.8,29.2,58.4,40.4,35.0,75.1,58.4,65.7,52.5,25.0,87.6,87.6,131.4,87.6,22.8,58.4,58.4,65.7,75.1,5.6,2.3,9.3,4.5,11.8,16.3,32.6,130.5,26.1,32.6,32.6,18.6,43.5,65.2,32.6
