レースコード,タイトル,レース日,レース場,レース回,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃),艇1_艇番,艇1_コース,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト調整,艇1_スタート展示,艇2_艇番,艇2_コース,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト調整,艇2_スタート展示,艇3_艇番,艇3_コース,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト調整,艇3_スタート展示,艇4_艇番,艇4_コース,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト調整,艇4_スタート展示,艇5_艇番,艇5_コース,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト調整,艇5_スタート展示,艇6_艇番,艇6_コース,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト調整,艇6_スタート展示
202105140101,第５４回サンケイスポーツ杯,2021-05-14,1,01R,3.0,,2.0,1,20.0,22.0,1,1,53.4,0.0,6.79,-0.5,0.18,2,2,52.0,0.0,6.77,-0.5,0.19,3,3,50.0,2.0,6.77,-0.5,0.23,4,4,50.3,0.0,6.72,-0.5,0.23,5,5,47.1,0.0,6.77,-0.5,0.43,6,6,51.5,0.5,6.79,-0.5,0.23
202105140102,第５４回サンケイスポーツ杯,2021-05-14,1,02R,3.0,1,2.0,1,24.0,23.0,1,1,50.8,0.0,6.73,-0.5,0.51,2,2,53.8,0.0,6.74,-0.5,0.21,3,3,52.9,0.0,6.72,-0.5,0.14,4,4,53.8,0.0,6.76,-0.5,0.12,5,5,51.0,1.0,6.74,-0.5,0.19,6,6,52.0,0.0,6.68,-0.5,0.12
202105140103,第５４回サンケイスポーツ杯,2021-05-14,1,03R,4.0,1,3.0,1,24.0,23.0,1,1,52.9,0.0,6.68,-0.5,0.03,2,,,,,,,3,2,52.3,0.0,6.77,-0.5,0.09,4,3,52.3,0.0,6.77,-0.5,0.07,5,5,55.0,0.0,6.73,-0.5,0.11,6,4,52.0,0.0,6.69,-0.5,-0.08
202105140104,第５４回サンケイスポーツ杯,2021-05-14,1,04R,3.0,1,2.0,1,24.0,22.0,1,1,56.1,0.0,6.79,-0.5,0.21,2,2,46.0,1.0,6.69,-0.5,0.08,3,4,51.5,0.5,6.72,0.0,0.12,4,3,55.0,0.0,6.77,-0.5,0.13,5,6,53.1,0.0,6.76,-0.5,0.05,6,5,52.1,0.0,6.75,0.0,0.16
202105140105,第５４回サンケイスポーツ杯,2021-05-14,1,05R,4.0,1,3.0,1,24.0,22.0,1,1,52.0,0.0,6.74,-0.5,0.01,2,2,51.0,1.0,6.79,-0.5,0.04,3,3,52.0,0.0,6.76,-0.5,0.14,4,6,47.1,0.0,6.76,-0.5,0.19,5,4,47.0,0.0,6.75,-0.5,0.15,6,5,52.0,0.0,6.75,-0.5,0.07
202105140106,第５４回サンケイスポーツ杯,2021-05-14,1,06R,4.0,1,3.0,1,24.0,22.0,1,2,53.3,0.0,6.7,-0.5,0.01,2,5,50.8,0.0,6.78,-0.5,0.22,3,1,52.0,0.0,6.81,-0.5,0.01,4,3,52.0,0.0,6.75,-0.5,0.27,5,4,52.0,0.0,6.74,-0.5,0.23,6,6,46.0,1.0,6.73,-0.5,0.21
202105140107,第５４回サンケイスポーツ杯,2021-05-14,1,07R,4.0,1,3.0,1,23.0,22.0,1,1,52.0,0.0,6.73,-0.5,0.18,2,2,51.0,1.0,6.75,-0.5,0.35,3,3,53.0,0.0,6.76,-0.5,0.02,4,4,45.0,2.0,6.73,-0.5,0.09,5,5,52.9,0.0,6.68,-0.5,0.12,6,6,53.1,0.0,6.76,-0.5,0.39
202105140108,第５４回サンケイスポーツ杯,2021-05-14,1,08R,3.0,1,2.0,1,23.0,22.0,1,1,51.0,1.0,6.65,-0.5,0.16,2,2,44.5,2.5,6.69,-0.5,0.11,3,3,53.4,0.0,6.79,-0.5,0.08,4,4,51.5,0.5,6.69,0.0,0.23,5,5,51.5,0.5,6.74,-0.5,0.15,6,,,,,,
202105140109,第５４回サンケイスポーツ杯,2021-05-14,1,09R,4.0,1,3.0,1,23.0,22.0,1,2,52.3,0.0,6.69,-0.5,0.13,2,3,52.0,0.0,6.72,-0.5,0.11,3,1,46.0,1.0,6.68,-0.5,-0.02,4,6,53.9,0.0,6.77,-0.5,0.25,5,4,51.5,0.5,6.79,-0.5,0.59,6,5,52.1,0.0,6.75,-0.5,0.25
202105140110,第５４回サンケイスポーツ杯,2021-05-14,1,10R,3.0,1,2.0,1,22.0,22.0,1,1,52.0,0.0,6.75,-0.5,0.13,2,2,50.5,1.5,6.81,-0.5,0.01,3,3,56.1,0.0,6.79,-0.5,-0.02,4,4,52.0,0.0,6.74,-0.5,0.01,5,5,53.8,0.0,6.77,-0.5,0.04,6,6,51.0,1.0,6.82,-0.5,0.08
202105140111,第５４回サンケイスポーツ杯,2021-05-14,1,11R,1.0,1,1.0,1,21.0,22.0,1,1,53.1,0.0,6.63,-0.5,-0.01,2,2,53.3,0.0,6.67,-0.5,-0.04,3,3,53.1,0.0,6.82,-0.5,0.05,4,4,52.0,0.0,6.75,-0.5,0.07,5,5,52.0,0.0,6.76,-0.5,0.02,6,6,55.0,0.0,6.73,-0.5,0.09
202105140112,第５４回サンケイスポーツ杯,2021-05-14,1,12R,3.0,1,2.0,1,21.0,22.0,1,1,53.0,0.0,6.73,-0.5,0.12,2,2,52.0,0.0,6.67,-0.5,0.09,3,3,51.0,1.0,6.75,-0.5,0.12,4,4,52.1,0.0,6.7,0.0,0.16,5,5,52.3,0.0,6.74,-0.5,0.17,6,6,53.8,0.0,6.72,-0.5,0.08
202105140201,マクール杯,2021-05-14,2,01R,2.0,1,1.0,1,25.0,21.0,1,1,54.5,0.0,6.77,-0.5,0.14,2,2,53.5,0.0,6.71,-0.5,0.16,3,3,58.5,0.0,6.83,-0.5,0.16,4,4,51.0,1.0,6.82,-0.5,0.14,5,5,58.9,0.0,6.9,-0.5,0.23,6,6,52.6,0.0,6.7,0.0,0.18
202105140202,マクール杯,2021-05-14,2,02R,0.0,1,0.0,1,21.0,20.0,1,1,52.0,0.0,6.8,-0.5,0.06,2,2,52.7,0.0,6.85,-0.5,0.09,3,3,55.4,0.0,6.77,-0.5,0.14,4,4,52.5,0.0,6.89,-0.5,0.17,5,5,53.0,0.0,6.8,-0.5,0.09,6,6,52.4,0.0,6.77,-0.5,0.06
202105140203,マクール杯,2021-05-14,2,03R,0.0,1,0.0,1,22.0,20.0,1,1,51.5,0.5,6.89,-0.5,0.08,2,2,58.8,0.0,6.75,-0.5,0.22,3,3,52.2,0.0,6.85,-0.5,0.16,4,4,51.5,0.5,6.8,-0.5,-0.06,5,5,52.2,0.0,6.75,-0.5,-0.05,6,6,52.7,0.0,6.88,-0.5,-0.01
202105140204,マクール杯,2021-05-14,2,04R,2.0,1,1.0,1,23.0,20.0,1,1,52.0,0.0,6.71,-0.5,0.19,2,2,55.7,0.0,6.76,-0.5,0.17,3,3,52.5,0.0,6.86,0.0,0.48,4,4,52.0,0.0,6.77,-0.5,0.11,5,5,52.0,0.0,6.83,-0.5,0.05,6,6,52.0,0.0,6.8,-0.5,0.03
202105140205,マクール杯,2021-05-14,2,05R,1.0,1,1.0,1,23.0,20.0,1,1,52.0,0.0,6.88,-0.5,0.13,2,2,54.8,0.0,6.73,-0.5,0.21,3,3,54.5,0.0,6.85,-0.5,0.38,4,4,52.0,0.0,6.75,0.0,0.27,5,5,54.7,0.0,6.8,-0.5,0.19,6,6,55.4,0.0,6.71,-0.5,0.26
202105140206,マクール杯,2021-05-14,2,06R,0.0,1,0.0,1,23.0,21.0,1,1,52.7,0.0,6.76,-0.5,0.02,2,2,52.6,0.0,6.82,-0.5,0.09,3,3,52.3,0.0,6.76,0.0,0.26,4,4,52.5,0.0,6.73,-0.5,0.21,5,5,52.8,0.0,6.75,-0.5,0.15,6,6,51.5,0.5,6.7,-0.5,0.11
202105140207,マクール杯,2021-05-14,2,07R,1.0,1,1.0,1,24.0,21.0,1,1,51.5,0.5,6.76,-0.5,0.03,2,2,55.1,0.0,6.73,-0.5,0.11,3,3,51.5,0.5,6.83,-0.5,0.2,4,4,52.7,0.0,6.88,-0.5,0.14,5,5,52.0,0.0,6.81,-0.5,0.11,6,6,52.0,0.0,6.74,-0.5,-0.05
202105140208,マクール杯,2021-05-14,2,08R,0.0,1,0.0,1,25.0,21.0,1,1,52.0,0.0,6.72,-0.5,-0.02,2,2,52.8,0.0,6.65,-0.5,0.01,3,3,52.4,0.0,6.75,-0.5,-0.03,4,4,50.5,1.5,6.76,-0.5,-0.01,5,5,52.0,0.0,6.73,-0.5,0.16,6,6,52.2,0.0,6.81,-0.5,0.13
202105140209,マクール杯,2021-05-14,2,09R,2.0,1,1.0,1,26.0,21.0,1,1,50.5,1.5,6.73,-0.5,0.06,2,2,55.4,0.0,6.76,-0.5,0.09,3,3,53.5,0.0,6.83,-0.5,0.09,4,4,52.0,0.0,6.82,-0.5,0.02,5,5,52.7,0.0,6.8,-0.5,0.11,6,6,55.4,0.0,6.75,0.0,0.05
202105140210,マクール杯,2021-05-14,2,10R,1.0,1,1.0,1,25.0,21.0,1,1,52.5,0.0,6.76,-0.5,0.07,2,2,52.3,0.0,6.79,0.0,0.06,3,3,58.8,0.0,6.81,-0.5,0.28,4,4,52.1,0.0,6.83,-0.5,-0.01,5,5,55.7,0.0,6.81,-0.5,0.05,6,6,54.2,0.0,6.91,-0.5,0.14
202105140211,マクール杯,2021-05-14,2,11R,2.0,1,1.0,1,25.0,21.0,1,1,52.5,0.0,6.8,0.0,0.05,2,2,52.0,0.0,6.87,-0.5,0.43,3,3,51.5,0.5,6.69,-0.5,0.05,4,4,52.5,0.0,6.74,-0.5,0.05,5,5,52.0,0.0,6.82,-0.5,-0.03,6,6,52.5,0.0,6.72,-0.5,-0.06
202105140212,マクール杯,2021-05-14,2,12R,1.0,1,1.0,1,25.0,21.0,1,1,52.0,0.0,6.74,-0.5,0.03,2,2,51.5,0.5,6.72,-0.5,0.14,3,3,52.0,0.0,6.78,-0.5,0.14,4,4,51.5,0.5,6.87,-0.5,-0.02,5,5,52.8,0.0,6.84,-0.5,-0.01,6,6,52.2,0.0,6.67,-0.5,0.03
202105140601,サンケイスポーツ杯,2021-05-14,6,01R,4.0,1,2.0,1,21.0,20.0,1,1,44.5,2.5,6.7,0.0,0.47,2,2,51.5,0.5,6.75,-0.5,0.26,3,3,47.7,0.0,6.66,-0.5,0.22,4,4,53.1,0.0,6.76,-0.5,0.01,5,5,53.6,0.0,6.72,-0.5,0.13,6,6,52.0,0.0,6.65,-0.5,0.21
202105140602,サンケイスポーツ杯,2021-05-14,6,02R,5.0,1,3.0,2,23.0,19.0,1,1,53.8,0.0,6.7,-0.5,0.01,2,2,50.5,1.5,6.73,-0.5,0.21,3,3,53.4,0.0,6.72,-0.5,0.08,4,4,52.0,0.0,6.71,-0.5,0.06,5,5,54.4,0.0,6.72,-0.5,0.1,6,6,51.5,0.5,6.71,-0.5,0.09
202105140603,サンケイスポーツ杯,2021-05-14,6,03R,5.0,1,3.0,2,22.0,19.0,1,1,48.7,0.0,6.68,-0.5,0.62,2,2,52.0,0.0,6.7,-0.5,0.28,3,3,52.0,0.0,6.67,-0.5,0.19,4,6,47.3,0.0,6.61,-0.5,0.35,5,4,53.2,0.0,6.7,-0.5,0.28,6,5,52.0,0.0,6.67,-0.5,0.27
202105140604,サンケイスポーツ杯,2021-05-14,6,04R,5.0,1,3.0,1,22.0,19.0,1,1,51.0,1.0,6.6,-0.5,0.02,2,2,54.0,0.0,6.68,-0.5,0.29,3,3,52.3,0.0,6.66,-0.5,0.08,4,6,49.0,0.0,6.67,-0.5,0.11,5,4,53.6,0.0,6.64,-0.5,0.08,6,5,51.0,1.0,6.66,-0.5,0.09
202105140605,サンケイスポーツ杯,2021-05-14,6,05R,5.0,1,3.0,1,21.0,19.0,1,1,52.0,0.0,6.66,-0.5,-0.08,2,2,52.0,0.0,6.67,-0.5,-0.11,3,3,50.5,1.5,6.57,0.5,0.03,4,4,46.5,0.5,6.7,-0.5,0.19,5,5,52.1,0.0,6.67,-0.5,0.01,6,6,53.6,0.0,6.66,-0.5,0.03
202105140606,サンケイスポーツ杯,2021-05-14,6,06R,6.0,1,3.0,1,21.0,19.0,1,1,48.9,0.0,6.65,-0.5,-0.16,2,2,53.9,0.0,6.67,-0.5,0.16,3,3,52.0,0.0,6.71,-0.5,0.04,4,4,51.0,1.0,6.73,-0.5,0.05,5,5,52.0,0.0,6.69,-0.5,0.06,6,6,47.7,0.0,6.66,-0.5,0.14
202105140607,サンケイスポーツ杯,2021-05-14,6,07R,6.0,1,3.0,1,21.0,20.0,1,1,52.0,0.0,6.6,-0.5,0.06,2,2,48.7,0.0,6.69,-0.5,0.24,3,3,52.6,0.0,6.78,-0.5,0.11,4,4,52.1,0.0,6.73,-0.5,0.15,5,5,53.8,0.0,6.78,-0.5,0.09,6,6,51.5,0.5,6.72,-0.5,0.18
202105140608,サンケイスポーツ杯,2021-05-14,6,08R,6.0,1,3.0,1,21.0,20.0,1,1,52.6,0.0,6.68,-0.5,0.03,2,2,44.5,2.5,6.7,0.0,0.16,3,3,52.0,0.0,6.76,-0.5,0.1,4,4,52.0,0.0,6.7,-0.5,0.17,5,6,49.0,0.0,6.71,-0.5,0.13,6,5,50.5,1.5,6.77,-0.5,0.12
202105140609,サンケイスポーツ杯,2021-05-14,6,09R,6.0,1,3.0,1,21.0,20.0,1,1,52.1,0.0,6.71,-0.5,0.05,2,2,52.6,0.0,6.69,-0.5,0.06,3,3,52.0,0.0,6.73,-0.5,0.08,4,4,54.0,0.0,6.69,-0.5,0.22,5,5,53.1,0.0,6.75,-0.5,0.14,6,6,51.5,0.5,6.69,-0.5,0.16
202105140610,サンケイスポーツ杯,2021-05-14,6,10R,5.0,1,3.0,1,21.0,20.0,1,1,52.6,0.0,6.71,-0.5,0.08,2,2,52.0,0.0,6.73,-0.5,0.11,3,3,46.5,0.5,6.7,-0.5,-0.04,4,4,52.3,0.0,6.76,-0.5,0.31,5,5,48.9,0.0,6.7,-0.5,0.29,6,6,52.0,0.0,6.74,-0.5,0.21
202105140611,サンケイスポーツ杯,2021-05-14,6,11R,4.0,1,2.0,1,21.0,20.0,1,1,52.1,0.0,6.77,-0.5,-0.01,2,2,53.2,0.0,6.75,-0.5,0.24,3,4,51.5,0.5,6.72,-0.5,0.07,4,5,53.9,0.0,6.7,-0.5,0.01,5,3,51.0,1.0,6.71,-0.5,-0.01,6,6,50.5,1.5,6.62,2.0,0.15
202105140612,サンケイスポーツ杯,2021-05-14,6,12R,4.0,1,2.0,1,21.0,20.0,1,1,52.0,0.0,6.76,-0.5,0.08,2,2,53.6,0.0,6.74,-0.5,0.17,3,3,52.0,0.0,6.58,-0.5,0.28,4,4,52.0,0.0,6.73,-0.5,0.11,5,5,52.0,0.0,6.73,-0.5,0.1,6,6,53.4,0.0,6.73,-0.5,0.03
202105140701,スポーツニッポン杯争奪　蒲郡ボート大賞,2021-05-14,7,01R,3.0,,1.0,1,20.0,25.0,1,1,51.0,1.0,6.67,-0.5,0.11,2,2,51.5,0.5,6.71,-0.5,0.11,3,3,53.5,0.0,6.66,-0.5,0.05,4,4,52.4,0.0,6.7,-0.5,0.09,5,5,52.0,0.0,6.6,-0.5,0.19,6,6,52.7,0.0,6.7,-0.5,0.36
202105140702,スポーツニッポン杯争奪　蒲郡ボート大賞,2021-05-14,7,02R,5.0,1,3.0,1,28.0,25.0,1,1,59.6,0.0,6.69,-0.5,-0.02,2,2,56.6,0.0,6.69,-0.5,0.04,3,3,53.1,0.0,6.65,-0.5,0.23,4,4,52.7,0.0,6.71,-0.5,0.17,5,5,52.1,0.0,6.63,-0.5,0.19,6,6,52.6,0.0,6.65,0.0,0.19
202105140703,スポーツニッポン杯争奪　蒲郡ボート大賞,2021-05-14,7,03R,4.0,1,2.0,1,28.0,25.0,1,1,52.0,0.0,6.7,-0.5,0.03,2,2,52.0,0.0,6.67,-0.5,-0.02,3,3,52.8,0.0,6.73,-0.5,-0.05,4,4,56.1,0.0,6.83,-0.5,-0.12,5,5,54.0,0.0,6.73,-0.5,-0.09,6,6,55.8,0.0,6.79,-0.5,-0.11
202105140704,スポーツニッポン杯争奪　蒲郡ボート大賞,2021-05-14,7,04R,3.0,,1.0,1,28.0,25.0,1,1,51.5,0.5,6.71,-0.5,-0.01,2,2,52.4,0.0,6.82,-0.5,0.01,3,3,55.1,0.0,6.66,-0.5,0.03,4,4,52.0,0.0,6.84,-0.5,0.11,5,5,54.0,0.0,6.7,-0.5,0.02,6,6,52.0,0.0,6.73,-0.5,0.03
202105140705,スポーツニッポン杯争奪　蒲郡ボート大賞,2021-05-14,7,05R,4.0,,2.0,1,26.0,25.0,1,1,52.4,0.0,6.66,-0.5,0.17,2,2,54.4,0.0,6.72,0.0,0.12,3,4,52.0,0.0,6.67,0.0,-0.15,4,5,52.4,0.0,6.69,-0.5,0.5,5,6,53.5,0.0,6.61,-0.5,0.37,6,3,52.0,0.0,6.63,-0.5,0.28
202105140706,スポーツニッポン杯争奪　蒲郡ボート大賞,2021-05-14,7,06R,4.0,1,2.0,1,26.0,25.0,1,1,55.7,0.0,6.7,-0.5,0.04,2,2,52.0,0.0,6.63,-0.5,0.06,3,3,50.0,2.0,6.66,-0.5,0.26,4,4,59.6,0.0,6.74,0.0,0.05,5,6,52.7,0.0,6.67,-0.5,0.05,6,5,52.0,0.0,6.68,-0.5,-0.09
202105140707,スポーツニッポン杯争奪　蒲郡ボート大賞,2021-05-14,7,07R,3.0,1,1.0,1,25.0,25.0,1,1,52.7,0.0,6.73,-0.5,0.04,2,2,56.1,0.0,6.77,-0.5,-0.01,3,3,51.5,0.5,6.74,-0.5,0.06,4,4,52.0,0.0,6.69,-0.5,-0.11,5,5,52.3,0.0,6.71,-0.5,-0.11,6,6,51.0,1.0,6.65,-0.5,-0.1
202105140708,スポーツニッポン杯争奪　蒲郡ボート大賞,2021-05-14,7,08R,3.0,1,1.0,1,23.0,25.0,1,1,52.0,0.0,6.69,-0.5,0.03,2,2,52.4,0.0,6.78,-0.5,0.08,3,3,52.0,0.0,6.8,-0.5,0.02,4,4,52.0,0.0,6.74,-0.5,-0.05,5,5,52.0,0.0,6.72,-0.5,0.04,6,6,54.8,0.0,6.8,-0.5,-0.02
202105140709,スポーツニッポン杯争奪　蒲郡ボート大賞,2021-05-14,7,09R,3.0,,1.0,1,23.0,25.0,1,1,51.5,0.5,6.75,0.0,-0.06,2,2,51.0,1.0,6.77,-0.5,0.17,3,3,52.8,0.0,6.79,-0.5,0.18,4,4,56.6,0.0,6.86,-0.5,-0.01,5,5,52.8,0.0,6.82,-0.5,0.06,6,6,52.0,0.0,6.81,0.0,-0.01
202105140710,スポーツニッポン杯争奪　蒲郡ボート大賞,2021-05-14,7,10R,4.0,,2.0,1,22.0,25.0,1,1,52.0,0.0,6.84,-0.5,0.3,2,2,52.0,0.0,6.89,0.0,0.08,3,3,52.0,0.0,6.92,-0.5,0.08,4,4,54.4,0.0,6.92,0.0,0.09,5,5,52.0,0.0,6.99,-0.5,0.06,6,6,52.4,0.0,6.95,0.0,0.1
