レースコード,レース日,レース場,レース回,締切時刻,取得日時,艇1_コース,艇1_スタート展示,艇2_コース,艇2_スタート展示,艇3_コース,艇3_スタート展示,艇4_コース,艇4_スタート展示,艇5_コース,艇5_スタート展示,艇6_コース,艇6_スタート展示
202608242101,2026-08-24,21,01R,08:32,2026-08-24T08:23:35.654327+09:00,1,0.12,2,0.13,3,0.23,4,0.14,5,0.13,6,0.08
202608241801,2026-08-24,18,01R,08:40,2026-08-24T08:30:31.708982+09:00,1,0.15,2,0.08,3,0.1,4,0.04,5,0.06,6,0.15
202608241001,2026-08-24,10,01R,08:48,2026-08-24T08:38:29.318269+09:00,1,0.05,2,0.05,3,0.21,4,0.29,5,0.29,6,0.28
202608242102,2026-08-24,21,02R,08:58,2026-08-24T08:48:22.334014+09:00,1,-0.01,2,0.22,3,0.15,4,-0.01,5,0.07,6,0.1
202608241802,2026-08-24,18,02R,09:06,2026-08-24T08:58:27.621516+09:00,1,0.07,2,0.05,3,0.01,4,0.11,5,0.27,6,0.19
202608241002,2026-08-24,10,02R,09:14,2026-08-24T09:04:26.013870+09:00,1,0.11,2,0.12,3,0.03,4,0.34,5,0.13,6,0.29
