レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202606280101,2026-06-28,01,桐生,1R,サッポロビールカップ,４日目,G3,N,予選,15:28,
202606280102,2026-06-28,01,桐生,2R,サッポロビールカップ,４日目,G3,N,予選,16:02,
202606280103,2026-06-28,01,桐生,3R,サッポロビールカップ,４日目,G3,N,予選,16:31,
202606280104,2026-06-28,01,桐生,4R,サッポロビールカップ,４日目,G3,N,予選,17:09,
202606280105,2026-06-28,01,桐生,5R,サッポロビールカップ,４日目,G3,N,予選,17:33,
202606280106,2026-06-28,01,桐生,6R,サッポロビールカップ,４日目,G3,N,ドラドキ目玉,18:00,
202606280107,2026-06-28,01,桐生,7R,サッポロビールカップ,４日目,G3,N,ドラドキ３,18:24,
202606280108,2026-06-28,01,桐生,8R,サッポロビールカップ,４日目,G3,N,ドラドキ５,18:50,
202606280109,2026-06-28,01,桐生,9R,サッポロビールカップ,４日目,G3,N,予選,19:19,
202606280110,2026-06-28,01,桐生,10R,サッポロビールカップ,４日目,G3,N,予選特賞,19:46,
202606280111,2026-06-28,01,桐生,11R,サッポロビールカップ,４日目,G3,N,一般特選,20:12,
202606280112,2026-06-28,01,桐生,12R,サッポロビールカップ,４日目,G3,N,一般桐生特選,20:41,
202606280201,2026-06-28,02,戸田,1R,マクール杯,２日目,IP,D,予選,10:47,
202606280202,2026-06-28,02,戸田,2R,マクール杯,２日目,IP,D,予選,11:16,
202606280203,2026-06-28,02,戸田,3R,マクール杯,２日目,IP,D,予選,11:45,
202606280204,2026-06-28,02,戸田,4R,マクール杯,２日目,IP,D,予選,12:14,
202606280205,2026-06-28,02,戸田,5R,マクール杯,２日目,IP,D,ウインウイン５,12:44,
202606280206,2026-06-28,02,戸田,6R,マクール杯,２日目,IP,D,予選,13:14,
202606280207,2026-06-28,02,戸田,7R,マクール杯,２日目,IP,D,ウインウイン７,13:45,
202606280208,2026-06-28,02,戸田,8R,マクール杯,２日目,IP,D,予選,14:16,
202606280209,2026-06-28,02,戸田,9R,マクール杯,２日目,IP,D,戸田特賞,14:48,
202606280210,2026-06-28,02,戸田,10R,マクール杯,２日目,IP,D,戸田特賞,15:21,
202606280211,2026-06-28,02,戸田,11R,マクール杯,２日目,IP,D,戸田特選,15:55,
202606280212,2026-06-28,02,戸田,12R,マクール杯,２日目,IP,D,記者選抜戦,16:30,
202606280301,2026-06-28,03,江戸川,1R,９代目江戸川番長決定戦,５日目,IP,D,一般,11:14,
202606280302,2026-06-28,03,江戸川,2R,９代目江戸川番長決定戦,５日目,IP,D,一般,11:41,
202606280303,2026-06-28,03,江戸川,3R,９代目江戸川番長決定戦,５日目,IP,D,一般,12:08,
202606280304,2026-06-28,03,江戸川,4R,９代目江戸川番長決定戦,５日目,IP,D,一般,12:35,
202606280305,2026-06-28,03,江戸川,5R,９代目江戸川番長決定戦,５日目,IP,D,一般,13:02,
202606280306,2026-06-28,03,江戸川,6R,９代目江戸川番長決定戦,５日目,IP,D,一般,13:29,
202606280307,2026-06-28,03,江戸川,7R,９代目江戸川番長決定戦,５日目,IP,D,一般,13:56,
202606280308,2026-06-28,03,江戸川,8R,９代目江戸川番長決定戦,５日目,IP,D,一般,14:24,
202606280309,2026-06-28,03,江戸川,9R,９代目江戸川番長決定戦,５日目,IP,D,一般特賞,14:52,
202606280310,2026-06-28,03,江戸川,10R,９代目江戸川番長決定戦,５日目,IP,D,一般特賞,15:22,
202606280311,2026-06-28,03,江戸川,11R,９代目江戸川番長決定戦,５日目,IP,D,準優勝戦,15:53,
202606280312,2026-06-28,03,江戸川,12R,９代目江戸川番長決定戦,５日目,IP,D,準優勝戦,16:25,
202606280401,2026-06-28,04,平和島,1R,第２６回日刊ゲンダイボートレースＷＥＢ杯,最終日,IP,S,一般,11:55,
202606280402,2026-06-28,04,平和島,2R,第２６回日刊ゲンダイボートレースＷＥＢ杯,最終日,IP,S,一般,12:24,
