レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202606210201,2026-06-21,02,戸田,1R,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,４日目,IP,D,予選,10:47,
202606210202,2026-06-21,02,戸田,2R,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,４日目,IP,D,予選,11:16,
202606210203,2026-06-21,02,戸田,3R,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,４日目,IP,D,予選,11:45,
202606210204,2026-06-21,02,戸田,4R,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,４日目,IP,D,予選,12:14,
202606210205,2026-06-21,02,戸田,5R,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,４日目,IP,D,ウインウイン５,12:44,
202606210206,2026-06-21,02,戸田,6R,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,４日目,IP,D,予選,13:14,
202606210207,2026-06-21,02,戸田,7R,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,４日目,IP,D,ウインウイン７,13:45,
202606210208,2026-06-21,02,戸田,8R,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,４日目,IP,D,予選,14:16,
202606210209,2026-06-21,02,戸田,9R,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,４日目,IP,D,戸田特賞,14:48,
202606210210,2026-06-21,02,戸田,10R,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,４日目,IP,D,戸田特賞,15:21,
202606210211,2026-06-21,02,戸田,11R,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,４日目,IP,D,戸田特選,15:55,
202606210212,2026-06-21,02,戸田,12R,ヴィーナスシリーズ第６戦戸田中央メディックス埼玉杯,４日目,IP,D,記者選抜戦,16:30,
202606210401,2026-06-21,04,平和島,1R,第４０回東京スポーツ賞,最終日,IP,S,一般,11:55,
202606210402,2026-06-21,04,平和島,2R,第４０回東京スポーツ賞,最終日,IP,S,一般,12:24,
202606210403,2026-06-21,04,平和島,3R,第４０回東京スポーツ賞,最終日,IP,S,一般,12:54,
202606210404,2026-06-21,04,平和島,4R,第４０回東京スポーツ賞,最終日,IP,S,一般,13:25,
202606210405,2026-06-21,04,平和島,5R,第４０回東京スポーツ賞,最終日,IP,S,一般,13:55,
202606210406,2026-06-21,04,平和島,6R,第４０回東京スポーツ賞,最終日,IP,S,一般,14:28,
202606210407,2026-06-21,04,平和島,7R,第４０回東京スポーツ賞,最終日,IP,S,一般,15:00,
202606210408,2026-06-21,04,平和島,8R,第４０回東京スポーツ賞,最終日,IP,S,一般,15:32,
202606210409,2026-06-21,04,平和島,9R,第４０回東京スポーツ賞,最終日,IP,S,一般特選,16:05,
202606210410,2026-06-21,04,平和島,10R,第４０回東京スポーツ賞,最終日,IP,S,選抜,16:37,
202606210411,2026-06-21,04,平和島,11R,第４０回東京スポーツ賞,最終日,IP,S,選抜,17:08,
202606210412,2026-06-21,04,平和島,12R,第４０回東京スポーツ賞,最終日,IP,S,優勝戦,17:42,
202606210501,2026-06-21,05,多摩川,1R,第１０回ａｕじぶん銀行賞,５日目,IP,S,一般,11:30,
202606210502,2026-06-21,05,多摩川,2R,第１０回ａｕじぶん銀行賞,５日目,IP,S,一般,12:05,
202606210503,2026-06-21,05,多摩川,3R,第１０回ａｕじぶん銀行賞,５日目,IP,S,一般,12:35,
202606210504,2026-06-21,05,多摩川,4R,第１０回ａｕじぶん銀行賞,５日目,IP,S,一般,13:03,
202606210505,2026-06-21,05,多摩川,5R,第１０回ａｕじぶん銀行賞,５日目,IP,S,一般,13:33,
202606210506,2026-06-21,05,多摩川,6R,第１０回ａｕじぶん銀行賞,５日目,IP,S,一般,14:04,
202606210507,2026-06-21,05,多摩川,7R,第１０回ａｕじぶん銀行賞,５日目,IP,S,一般,14:35,
202606210508,2026-06-21,05,多摩川,8R,第１０回ａｕじぶん銀行賞,５日目,IP,S,一般,15:07,
202606210509,2026-06-21,05,多摩川,9R,第１０回ａｕじぶん銀行賞,５日目,IP,S,一般,15:40,
202606210510,2026-06-21,05,多摩川,10R,第１０回ａｕじぶん銀行賞,５日目,IP,S,準優勝戦,16:15,
202606210511,2026-06-21,05,多摩川,11R,第１０回ａｕじぶん銀行賞,５日目,IP,S,準優勝戦,16:48,
202606210512,2026-06-21,05,多摩川,12R,第１０回ａｕじぶん銀行賞,５日目,IP,S,準優勝戦,17:20,
202606210601,2026-06-21,06,浜名湖,1R,にっぽん未来プロジェクト競走ｉｎ浜名湖,２日目,IP,S,予選,11:32,
202606210602,2026-06-21,06,浜名湖,2R,にっぽん未来プロジェクト競走ｉｎ浜名湖,２日目,IP,S,予選,11:58,
202606210603,2026-06-21,06,浜名湖,3R,にっぽん未来プロジェクト競走ｉｎ浜名湖,２日目,IP,S,予選,12:28,
202606210604,2026-06-21,06,浜名湖,4R,にっぽん未来プロジェクト競走ｉｎ浜名湖,２日目,IP,S,ランチタイム戦,12:57,
202606210605,2026-06-21,06,浜名湖,5R,にっぽん未来プロジェクト競走ｉｎ浜名湖,２日目,IP,S,予選,13:29,
202606210606,2026-06-21,06,浜名湖,6R,にっぽん未来プロジェクト競走ｉｎ浜名湖,２日目,IP,S,予選,14:02,
202606210607,2026-06-21,06,浜名湖,7R,にっぽん未来プロジェクト競走ｉｎ浜名湖,２日目,IP,S,予選,14:31,
202606210608,2026-06-21,06,浜名湖,8R,にっぽん未来プロジェクト競走ｉｎ浜名湖,２日目,IP,S,ブレイクタイム,15:03,
202606210609,2026-06-21,06,浜名湖,9R,にっぽん未来プロジェクト競走ｉｎ浜名湖,２日目,IP,S,予選特賞,15:37,
202606210610,2026-06-21,06,浜名湖,10R,にっぽん未来プロジェクト競走ｉｎ浜名湖,２日目,IP,S,予選特賞,16:09,
202606210611,2026-06-21,06,浜名湖,11R,にっぽん未来プロジェクト競走ｉｎ浜名湖,２日目,IP,S,予選特選,16:39,
202606210612,2026-06-21,06,浜名湖,12R,にっぽん未来プロジェクト競走ｉｎ浜名湖,２日目,IP,S,予選特選,17:06,
202606210801,2026-06-21,08,常滑,1R,ウィンボとこなめ開設記念・ＢＯＡＴＢｏｙカップ,初　日,IP,D,朝トコ小判Ｒ,10:38,
202606210802,2026-06-21,08,常滑,2R,ウィンボとこなめ開設記念・ＢＯＡＴＢｏｙカップ,初　日,IP,D,予選,11:06,
202606210803,2026-06-21,08,常滑,3R,ウィンボとこなめ開設記念・ＢＯＡＴＢｏｙカップ,初　日,IP,D,予選,11:34,
202606210804,2026-06-21,08,常滑,4R,ウィンボとこなめ開設記念・ＢＯＡＴＢｏｙカップ,初　日,IP,D,予選,12:03,
202606210805,2026-06-21,08,常滑,5R,ウィンボとこなめ開設記念・ＢＯＡＴＢｏｙカップ,初　日,IP,D,三Ａ傑戦,12:31,
202606210806,2026-06-21,08,常滑,6R,ウィンボとこなめ開設記念・ＢＯＡＴＢｏｙカップ,初　日,IP,D,昼トコ小判Ｒ,13:00,
202606210807,2026-06-21,08,常滑,7R,ウィンボとこなめ開設記念・ＢＯＡＴＢｏｙカップ,初　日,IP,D,予選,13:31,
202606210808,2026-06-21,08,常滑,8R,ウィンボとこなめ開設記念・ＢＯＡＴＢｏｙカップ,初　日,IP,D,予選,14:00,
202606210809,2026-06-21,08,常滑,9R,ウィンボとこなめ開設記念・ＢＯＡＴＢｏｙカップ,初　日,IP,D,予選特賞,14:32,
202606210810,2026-06-21,08,常滑,10R,ウィンボとこなめ開設記念・ＢＯＡＴＢｏｙカップ,初　日,IP,D,予選特賞,14:58,
202606210811,2026-06-21,08,常滑,11R,ウィンボとこなめ開設記念・ＢＯＡＴＢｏｙカップ,初　日,IP,D,予選特選,15:35,
202606210812,2026-06-21,08,常滑,12R,ウィンボとこなめ開設記念・ＢＯＡＴＢｏｙカップ,初　日,IP,D,予選ドリーム戦,16:11,
202606210901,2026-06-21,09,津,1R,マンスリーＢＯＡＴＲＡＣＥ杯,最終日,IP,D,ツッキーレース,10:39,
202606210902,2026-06-21,09,津,2R,マンスリーＢＯＡＴＲＡＣＥ杯,最終日,IP,D,一般,11:07,
202606210903,2026-06-21,09,津,3R,マンスリーＢＯＡＴＲＡＣＥ杯,最終日,IP,D,一般,11:36,
202606210904,2026-06-21,09,津,4R,マンスリーＢＯＡＴＲＡＣＥ杯,最終日,IP,D,一般,12:08,
202606210905,2026-06-21,09,津,5R,マンスリーＢＯＡＴＲＡＣＥ杯,最終日,IP,D,５ールドレース,12:39,
202606210906,2026-06-21,09,津,6R,マンスリーＢＯＡＴＲＡＣＥ杯,最終日,IP,D,一般,13:10,
202606210907,2026-06-21,09,津,7R,マンスリーＢＯＡＴＲＡＣＥ杯,最終日,IP,D,一般,13:41,
202606210908,2026-06-21,09,津,8R,マンスリーＢＯＡＴＲＡＣＥ杯,最終日,IP,D,一般,14:12,
202606210909,2026-06-21,09,津,9R,マンスリーＢＯＡＴＲＡＣＥ杯,最終日,IP,D,一般特選,14:41,
202606210910,2026-06-21,09,津,10R,マンスリーＢＯＡＴＲＡＣＥ杯,最終日,IP,D,選抜戦,15:13,
202606210911,2026-06-21,09,津,11R,マンスリーＢＯＡＴＲＡＣＥ杯,最終日,IP,D,選抜戦,15:45,
202606210912,2026-06-21,09,津,12R,マンスリーＢＯＡＴＲＡＣＥ杯,最終日,IP,D,優勝戦,16:25,
202606211001,2026-06-21,10,三国,1R,日本トーター杯,初　日,IP,M,みくにあさイチ,08:32,
202606211002,2026-06-21,10,三国,2R,日本トーター杯,初　日,IP,M,みくにあさガチ,08:58,
202606211003,2026-06-21,10,三国,3R,日本トーター杯,初　日,IP,M,みくにあさズバ,09:24,
202606211004,2026-06-21,10,三国,4R,日本トーター杯,初　日,IP,M,みくにあさ推し,09:50,
202606211005,2026-06-21,10,三国,5R,日本トーター杯,初　日,IP,M,予選,10:18,
202606211006,2026-06-21,10,三国,6R,日本トーター杯,初　日,IP,M,予選,10:44,
202606211007,2026-06-21,10,三国,7R,日本トーター杯,初　日,IP,M,予選,11:12,
202606211008,2026-06-21,10,三国,8R,日本トーター杯,初　日,IP,M,予選,11:48,
202606211009,2026-06-21,10,三国,9R,日本トーター杯,初　日,IP,M,予選特賞,12:18,
202606211010,2026-06-21,10,三国,10R,日本トーター杯,初　日,IP,M,予選特賞,12:48,
202606211011,2026-06-21,10,三国,11R,日本トーター杯,初　日,IP,M,記者特選,13:20,
202606211012,2026-06-21,10,三国,12R,日本トーター杯,初　日,IP,M,シリーズ選抜,13:57,
202606211101,2026-06-21,11,びわこ,1R,大阪スポーツ杯争奪　第３１回におの湖賞,３日目,IP,D,予選,10:33,
202606211102,2026-06-21,11,びわこ,2R,大阪スポーツ杯争奪　第３１回におの湖賞,３日目,IP,D,予選,11:02,
202606211103,2026-06-21,11,びわこ,3R,大阪スポーツ杯争奪　第３１回におの湖賞,３日目,IP,D,予選,11:39,
202606211104,2026-06-21,11,びわこ,4R,大阪スポーツ杯争奪　第３１回におの湖賞,３日目,IP,D,予選,12:07,
202606211105,2026-06-21,11,びわこ,5R,大阪スポーツ杯争奪　第３１回におの湖賞,３日目,IP,D,予選,12:37,
202606211106,2026-06-21,11,びわこ,6R,大阪スポーツ杯争奪　第３１回におの湖賞,３日目,IP,D,予選,13:08,
202606211107,2026-06-21,11,びわこ,7R,大阪スポーツ杯争奪　第３１回におの湖賞,３日目,IP,D,予選,13:36,
202606211108,2026-06-21,11,びわこ,8R,大阪スポーツ杯争奪　第３１回におの湖賞,３日目,IP,D,予選,14:07,
202606211109,2026-06-21,11,びわこ,9R,大阪スポーツ杯争奪　第３１回におの湖賞,３日目,IP,D,予選特賞,14:38,
202606211110,2026-06-21,11,びわこ,10R,大阪スポーツ杯争奪　第３１回におの湖賞,３日目,IP,D,予選特賞,15:10,
202606211111,2026-06-21,11,びわこ,11R,大阪スポーツ杯争奪　第３１回におの湖賞,３日目,IP,D,予選特選,15:53,
202606211112,2026-06-21,11,びわこ,12R,大阪スポーツ杯争奪　第３１回におの湖賞,３日目,IP,D,予選特選,16:35,
202606211301,2026-06-21,13,尼崎,1R,第３７回サンスポグリーンカップ争奪戦,５日目,IP,D,朝からセンプル,10:35,
202606211302,2026-06-21,13,尼崎,2R,第３７回サンスポグリーンカップ争奪戦,５日目,IP,D,一般,10:58,
202606211303,2026-06-21,13,尼崎,3R,第３７回サンスポグリーンカップ争奪戦,５日目,IP,D,一般,11:22,
202606211304,2026-06-21,13,尼崎,4R,第３７回サンスポグリーンカップ争奪戦,５日目,IP,D,一般,11:52,
202606211305,2026-06-21,13,尼崎,5R,第３７回サンスポグリーンカップ争奪戦,５日目,IP,D,一般,12:21,
202606211306,2026-06-21,13,尼崎,6R,第３７回サンスポグリーンカップ争奪戦,５日目,IP,D,昼どきピンクル,12:51,
202606211307,2026-06-21,13,尼崎,7R,第３７回サンスポグリーンカップ争奪戦,５日目,IP,D,一般,13:18,
202606211308,2026-06-21,13,尼崎,8R,第３７回サンスポグリーンカップ争奪戦,５日目,IP,D,一般,13:51,
202606211309,2026-06-21,13,尼崎,9R,第３７回サンスポグリーンカップ争奪戦,５日目,IP,D,一般,14:26,
202606211310,2026-06-21,13,尼崎,10R,第３７回サンスポグリーンカップ争奪戦,５日目,IP,D,準優勝戦,15:05,
202606211311,2026-06-21,13,尼崎,11R,第３７回サンスポグリーンカップ争奪戦,５日目,IP,D,準優勝戦,15:43,
202606211312,2026-06-21,13,尼崎,12R,第３７回サンスポグリーンカップ争奪戦,５日目,IP,D,準優勝戦,16:23,
202606211501,2026-06-21,15,丸亀,1R,スカパー！ＪＬＣ杯争奪　ルーキーシリーズ第１４戦,２日目,IP,N,予選,15:23,
202606211502,2026-06-21,15,丸亀,2R,スカパー！ＪＬＣ杯争奪　ルーキーシリーズ第１４戦,２日目,IP,N,予選,15:50,
202606211503,2026-06-21,15,丸亀,3R,スカパー！ＪＬＣ杯争奪　ルーキーシリーズ第１４戦,２日目,IP,N,予選,16:17,
202606211504,2026-06-21,15,丸亀,4R,スカパー！ＪＬＣ杯争奪　ルーキーシリーズ第１４戦,２日目,IP,N,予選,16:45,
202606211505,2026-06-21,15,丸亀,5R,スカパー！ＪＬＣ杯争奪　ルーキーシリーズ第１４戦,２日目,IP,N,予選,17:09,
202606211506,2026-06-21,15,丸亀,6R,スカパー！ＪＬＣ杯争奪　ルーキーシリーズ第１４戦,２日目,IP,N,予選,17:35,
202606211507,2026-06-21,15,丸亀,7R,スカパー！ＪＬＣ杯争奪　ルーキーシリーズ第１４戦,２日目,IP,N,予選,18:01,
202606211508,2026-06-21,15,丸亀,8R,スカパー！ＪＬＣ杯争奪　ルーキーシリーズ第１４戦,２日目,IP,N,予選,18:30,
202606211509,2026-06-21,15,丸亀,9R,スカパー！ＪＬＣ杯争奪　ルーキーシリーズ第１４戦,２日目,IP,N,まるがめ特賞,18:58,
202606211510,2026-06-21,15,丸亀,10R,スカパー！ＪＬＣ杯争奪　ルーキーシリーズ第１４戦,２日目,IP,N,蒼月まるる特賞,19:28,
202606211511,2026-06-21,15,丸亀,11R,スカパー！ＪＬＣ杯争奪　ルーキーシリーズ第１４戦,２日目,IP,N,予選選抜,20:02,
202606211512,2026-06-21,15,丸亀,12R,スカパー！ＪＬＣ杯争奪　ルーキーシリーズ第１４戦,２日目,IP,N,予選選抜,20:31,
202606211601,2026-06-21,16,児島,1R,サッポロビールカップ,初　日,IP,D,朝得ガァ〜コ戦,10:49,
202606211602,2026-06-21,16,児島,2R,サッポロビールカップ,初　日,IP,D,予選,11:15,
