レースコード,予想1着,予想2着,予想3着,予想決まり手,艇1_予想コース,艇2_予想コース,艇3_予想コース,艇4_予想コース,艇5_予想コース,艇6_予想コース,艇1_予想ST,艇2_予想ST,艇3_予想ST,艇4_予想ST,艇5_予想ST,艇6_予想ST
202602102301,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.18,0.09,0.09,0.07,0.21,0.09
202602102302,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.21,0.09,0.29,0.15,0.28,0.12
202602102303,1,2,5,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.08,0.07,0.01,0.07,0.13,0.13
202602102304,1,2,5,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.17,0.07,0.06,-0.01,0.17,0.09
202602102305,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.06,0.11,0.15,0.15,0.19,0.24
202602102306,1,3,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.07,0.03,0.11,0.14,0.27,0.19
202602102307,2,1,4,差し,1.0,2.0,3.0,4.0,5.0,6.0,-0.04,0.19,0.13,0.12,0.21,0.08
202602102308,1,3,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.28,0.31,0.26,0.24,0.21,0.09
202602102309,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.09,0.07,0.08,0.16,-0.05,0.04
202602102310,1,2,6,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.02,0.18,0.08,0.16,0.05,0.17
202602102311,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.03,0.07,0.15,-0.02,-0.06,0.01
202602102312,1,3,5,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.03,0.08,0.18,0.17,0.22,0.17
202602102001,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.01,0.08,0.19,0.02,-0.03,-0.09
202602102002,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.05,-0.08,0.01,0.13,0.11,0.07
202602102003,1,6,2,逃げ,2.0,3.0,4.0,5.0,6.0,1.0,0.11,0.18,0.13,0.07,0.15,-0.13
202602102004,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.29,-0.04,-0.16,-0.09,0.04,-0.07
202602102005,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.05,-0.03,0.05,-0.09,0.02,0.1
202602102006,1,4,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.01,0.04,0.14,0.09,0.11,0.11
202602102007,1,4,5,逃げ,1.0,3.0,5.0,2.0,4.0,6.0,-0.05,0.11,0.05,-0.03,0.04,0.12
202602102008,1,3,2,逃げ,1.0,2.0,3.0,5.0,6.0,4.0,-0.04,0.06,0.21,0.13,-0.04,0.11
202602102009,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.03,-0.16,-0.1,0.17,0.03,0.04
202602102010,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.15,-0.05,-0.01,0.37,0.05,0.06
202602102011,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.09,-0.07,0.08,-0.04,-0.02,-0.04
202602102012,1,3,2,逃げ,1.0,2.0,3.0,6.0,5.0,4.0,0.15,0.15,0.05,0.09,0.09,0.02
202602101801,1,2,4,逃げ,,,,,,,,,,,,
