レースコード,予想1着,予想2着,予想3着,予想決まり手,艇1_予想コース,艇2_予想コース,艇3_予想コース,艇4_予想コース,艇5_予想コース,艇6_予想コース,艇1_予想ST,艇2_予想ST,艇3_予想ST,艇4_予想ST,艇5_予想ST,艇6_予想ST
202602061801,1,4,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.12,0.09,0.31,0.04,0.12,0.21
202602061802,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.06,0.05,0.12,0.03,0.06,0.09
202602061803,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.12,0.08,0.24,0.08,0.1,-0.02
202602061804,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.19,0.18,0.16,0.23,0.23,0.13
202602061805,1,4,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.05,0.22,0.21,0.2,0.1,0.19
202602061806,1,2,3,逃げ,1.0,2.0,3.0,4.0,6.0,5.0,-0.07,-0.1,0.02,0.05,0.15,-0.03
202602061807,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.16,0.06,0.14,0.23,0.12,0.19
202602061808,1,4,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.16,0.08,0.02,0.2,0.11,0.19
202602061809,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,,0.19,0.08,-0.01,0.13,0.14,
202602061810,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.04,0.34,0.1,0.08,0.12,0.2
202602061811,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.02,0.0,0.23,0.24,0.1,0.08
202602061812,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.01,0.05,0.1,-0.04,0.03,0.11
202602061701,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.07,0.05,-0.02,-0.03,0.07,0.09
202602061702,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.01,0.09,0.09,0.03,-0.09,-0.01
202602061703,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.17,0.05,0.11,0.12,-0.03,-0.08
202602061704,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.2,-0.03,0.14,0.06,-0.05,0.0
202602061705,1,2,6,逃げ,1.0,3.0,4.0,5.0,6.0,2.0,-0.05,0.15,-0.01,-0.18,-0.12,-0.11
202602061706,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.06,0.06,0.06,0.05,0.06,0.04
202602061707,1,4,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.05,-0.04,-0.05,0.17,0.08,0.12
202602061708,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.19,0.15,0.19,0.09,-0.04,0.07
202602061709,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.01,0.0,0.12,0.12,0.32,0.26
202602061710,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.14,0.12,0.15,0.27,0.18,0.03
202602061711,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.11,0.08,0.03,0.07,0.06,0.09
202602061712,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.18,0.16,0.17,0.09,0.05,0.03
202602061501,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.08,0.15,-0.01,-0.06,-0.02,0.14
202602061502,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.01,0.13,0.26,0.04,0.16,0.12
202602061503,2,1,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.08,-0.01,0.13,0.14,0.11,0.2
202602061504,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.31,0.27,0.07,0.15,0.02,0.03
202602061505,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.05,0.12,0.13,0.05,0.08,0.15
202602061506,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.03,0.08,0.01,0.05,0.06,0.1
202602061507,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.03,0.04,0.26,0.37,0.38,0.14
202602061508,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.02,-0.13,-0.1,-0.14,-0.09,-0.09
202602061509,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.1,0.03,0.09,0.08,0.13,0.02
202602061510,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.08,-0.05,-0.01,0.06,0.02,-0.01
202602061511,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.06,0.04,0.06,-0.05,-0.02,0.09
202602061512,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.11,-0.01,-0.02,0.16,-0.12,0.04
202602061401,1,4,3,逃げ,,,,,,,,,,,,
202602061402,1,5,4,逃げ,,,,,,,,,,,,
202602061403,1,3,2,逃げ,,,,,,,,,,,,
202602061404,4,3,5,逃げ,,,,,,,,,,,,
202602061405,1,6,3,逃げ,,,,,,,,,,,,
202602061406,1,4,2,逃げ,,,,,,,,,,,,
202602061407,1,2,3,逃げ,,,,,,,,,,,,
202602061408,1,2,4,逃げ,,,,,,,,,,,,
202602061409,1,4,2,逃げ,,,,,,,,,,,,
202602061410,1,2,5,逃げ,,,,,,,,,,,,
202602061411,1,4,3,逃げ,,,,,,,,,,,,
202602061412,1,3,2,逃げ,,,,,,,,,,,,
202602061201,1,4,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.09,0.06,-0.02,0.06,0.26,0.25
202602061202,1,4,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.04,0.01,0.13,0.11,0.04,-0.01
202602061203,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.02,0.06,0.14,0.05,0.12,0.09
202602061204,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.09,0.0,-0.01,0.15,0.2,0.14
202602061205,1,2,4,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.03,0.04,0.15,0.05,0.09,0.21
202602061206,1,2,4,逃げ,1.0,2.0,6.0,4.0,3.0,5.0,-0.18,-0.02,0.03,0.08,0.02,0.08
202602061207,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.11,0.09,0.04,-0.01,0.07,0.13
202602061208,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.05,-0.04,0.09,0.1,0.13,0.11
202602061209,1,3,2,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,0.2,0.35,0.15,0.06,0.13,0.04
202602061210,1,2,3,逃げ,1.0,2.0,3.0,4.0,5.0,6.0,-0.01,0.12,0.04,0.05,0.03,-0.05
