記録日,場コード,モーター番号,節数,走数,Σw,Σw2,n_eff,加重平均残差,素点
2026-08-20,04,51,6,34,22.700587,15.777986,32.660482,-0.050146,-0.038392
2026-08-20,04,53,5,23,13.366206,7.90514,22.599911,0.026795,0.018576
2026-08-20,04,54,5,29,18.12851,11.572789,28.397897,-0.042892,-0.031722
2026-08-20,04,55,5,30,19.03185,12.321032,29.397808,0.027534,0.020545
2026-08-20,04,56,5,31,21.202565,15.230451,29.516445,-0.215541,-0.160997
2026-08-20,04,57,4,24,17.41219,13.1456,23.063561,-0.324557,-0.226395
2026-08-20,04,58,6,44,32.505081,24.838085,42.538719,0.536677,0.434528
2026-08-20,04,59,5,26,18.008729,13.059909,24.832814,-0.347129,-0.247473
2026-08-20,04,62,6,37,27.02495,20.615803,35.426604,0.116828,0.09111
2026-08-20,04,63,6,35,24.098362,17.384068,33.405934,0.173263,0.133346
2026-08-20,04,64,6,35,25.307672,19.118698,33.500096,-0.196892,-0.151629
2026-08-20,04,65,6,38,25.720006,17.925393,36.904001,-0.253141,-0.199171
2026-08-20,04,66,6,37,25.71441,18.70175,35.356634,-0.02781,-0.021679
2026-08-20,04,67,6,36,24.055423,16.56194,34.939349,-0.16051,-0.124793
2026-08-20,04,69,5,28,19.957331,14.883765,26.76037,-0.08904,-0.064818
2026-08-20,04,70,6,33,22.638028,16.301316,31.43797,-0.307265,-0.233114
2026-08-20,04,71,6,36,24.30681,16.931193,34.895414,0.175187,0.136166
2026-08-20,04,72,6,31,20.170199,13.53586,30.056229,-0.140334,-0.1053
2026-08-20,04,74,6,35,24.499954,17.558677,34.185249,-0.062461,-0.048325
2026-08-20,04,75,6,35,24.068063,17.31559,33.453765,-0.08798,-0.067733
2026-08-20,05,11,6,35,26.436972,20.693714,33.774192,-0.150267,-0.11594
2026-08-20,05,14,6,45,28.723673,19.91604,41.426377,0.000329,0.000265
2026-08-20,05,17,6,42,27.198828,19.128799,38.673428,0.155445,0.123509
2026-08-20,05,18,6,40,29.249692,22.484086,38.051113,0.152093,0.12044
2026-08-20,05,19,6,38,24.951986,17.346514,35.892032,0.322798,0.25246
2026-08-20,05,20,6,38,25.804863,18.577642,35.843675,0.479449,0.374866
2026-08-20,05,23,6,40,25.275186,17.61179,36.273145,0.001583,0.001241
2026-08-20,05,25,6,42,27.105967,19.072785,38.522609,-0.249297,-0.197919
2026-08-20,05,26,6,41,25.565306,17.725178,36.873247,-0.08776,-0.069037
2026-08-20,05,27,6,40,27.519935,20.134788,37.613846,-0.170726,-0.134869
2026-08-20,05,28,6,38,23.750456,15.945289,35.376226,-0.026439,-0.020612
2026-08-20,05,31,6,43,26.139314,17.220585,39.677151,0.161911,0.129318
2026-08-20,05,32,6,43,29.029543,20.647945,40.813475,0.04595,0.036907
2026-08-20,05,34,6,41,26.717783,18.757794,38.055645,-0.017618,-0.013952
2026-08-20,05,36,6,39,26.743555,19.433877,36.802628,0.290774,0.228646
2026-08-20,05,37,6,43,28.068248,19.703207,39.984685,-0.091974,-0.073573
2026-08-20,05,39,6,40,26.725592,18.969281,37.653364,-0.102567,-0.081043
2026-08-20,05,40,6,38,25.968697,19.079463,35.345502,-0.034826,-0.027146
2026-08-20,05,42,6,39,28.013479,20.999457,37.370254,0.358103,0.282507
2026-08-20,05,43,6,43,28.923695,20.485769,40.837136,0.307617,0.247107
2026-08-20,05,45,6,40,26.761326,19.038991,37.615889,-0.182441,-0.144126
2026-08-20,05,46,6,43,29.397434,21.158009,40.845484,0.227335,0.182624
2026-08-20,05,47,6,40,28.703099,21.68886,37.985764,-0.155403,-0.123018
2026-08-20,05,49,6,42,32.124585,25.200654,40.950881,0.265495,0.213387
2026-08-20,05,50,6,38,27.379637,20.567473,36.448062,-0.031749,-0.024914
2026-08-20,05,51,6,40,27.46702,20.007291,37.708113,0.059142,0.046746
2026-08-20,05,52,6,40,27.593825,20.079955,37.919367,0.044925,0.03555
2026-08-20,05,53,6,43,28.811028,20.852169,39.807626,-0.151262,-0.120893
2026-08-20,05,54,6,44,29.878488,21.342225,41.829006,0.452909,0.365524
2026-08-20,05,55,6,40,30.314663,23.671048,38.822903,0.418741,0.332974
2026-08-20,05,56,6,42,28.836121,20.856076,39.869527,-0.263012,-0.210272
2026-08-20,05,57,6,47,29.046122,19.408833,43.468724,0.303354,0.246619
2026-08-20,05,58,6,36,25.066985,18.644972,33.700975,-0.176572,-0.136167
2026-08-20,05,59,6,37,26.517453,19.782099,35.546041,-0.197548,-0.154175
2026-08-20,05,61,6,42,30.539666,23.368125,39.912111,0.122112,0.097647
2026-08-20,05,62,6,39,29.409927,22.920564,37.736585,0.052179,0.041248
2026-08-20,05,63,6,39,28.733394,22.169923,37.239998,0.051384,0.040507
2026-08-20,05,65,6,41,27.666678,19.837685,38.585403,0.080434,0.063879
2026-08-20,05,66,6,41,29.299289,22.03786,38.953345,0.170713,0.13584
2026-08-20,05,67,4,27,18.913764,14.42495,24.799426,0.140892,0.100405
2026-08-20,05,69,5,34,22.834606,17.077497,30.532533,-0.248238,-0.186994
2026-08-20,05,71,6,38,27.372313,20.972738,35.724641,0.083957,0.065596
2026-08-20,05,72,6,39,29.246107,22.742969,37.608756,-0.060517,-0.047806
2026-08-20,05,73,6,39,28.166513,21.461581,36.96617,-0.08187,-0.064438
2026-08-20,05,74,6,39,29.610821,23.313799,37.608659,-0.225301,-0.177977
2026-08-20,05,75,6,40,25.03572,16.804849,37.298,0.11796,0.093021
2026-08-20,09,11,6,34,24.276957,18.260538,32.275644,-0.003156,-0.00241
2026-08-20,09,12,6,36,26.020007,19.898815,34.024175,0.131804,0.101865
2026-08-20,09,13,6,38,27.457606,20.771618,36.295687,-0.431804,-0.338533
2026-08-20,09,14,6,35,25.235852,19.168608,33.223499,0.264127,0.20302
2026-08-20,09,15,6,40,29.587597,22.811955,38.37575,0.109425,0.086806
2026-08-20,09,16,5,31,21.043686,15.098422,29.330001,-0.273953,-0.204298
2026-08-20,09,17,5,36,24.086419,17.604398,32.955149,0.072173,0.055371
2026-08-20,09,18,6,35,21.867556,14.852306,32.196347,-0.202104,-0.154208
2026-08-20,09,20,6,38,27.065056,20.282887,36.11504,-0.067217,-0.052641
2026-08-20,09,21,6,36,26.061777,19.90075,34.130184,0.279196,0.21593
2026-08-20,09,22,6,39,25.336234,17.414487,36.861536,-0.04141,-0.032573
2026-08-20,09,24,6,46,30.738995,22.192765,42.576299,0.181542,0.147013
2026-08-20,09,25,5,30,19.681061,14.061116,27.547183,0.398711,0.292522
2026-08-20,09,26,5,31,22.226284,17.322946,28.517534,0.340802,0.252322
2026-08-20,09,28,6,36,23.528352,16.283136,33.997341,-0.236902,-0.183057
2026-08-20,09,30,6,43,29.283466,21.260251,40.334491,0.149595,0.119875
2026-08-20,09,31,6,38,27.557775,20.941846,36.263803,0.19663,0.154128
2026-08-20,09,32,6,40,26.594376,19.082807,37.062724,-0.036387,-0.028656
