レースコード,レース日,レース場コード,レース回,状態,1着コース,1着艇番,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202608120101,2026-08-12,01,1R,daily,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608120102,2026-08-12,01,2R,daily,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608120103,2026-08-12,01,3R,daily,6,6,6-1-2,6-1-4,6-1-3,6-2-1,6-3-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608120104,2026-08-12,01,4R,daily,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608120105,2026-08-12,01,5R,daily,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608120106,2026-08-12,01,6R,daily,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608120107,2026-08-12,01,7R,daily,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608120108,2026-08-12,01,8R,daily,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608120109,2026-08-12,01,9R,daily,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608120110,2026-08-12,01,10R,daily,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608120111,2026-08-12,01,11R,daily,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608120112,2026-08-12,01,12R,daily,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608120201,2026-08-12,02,1R,daily,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608120201,2026-08-12,02,1R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608120202,2026-08-12,02,2R,daily,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608120202,2026-08-12,02,2R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608120203,2026-08-12,02,3R,daily,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608120203,2026-08-12,02,3R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608120204,2026-08-12,02,4R,daily,5,5,5-1-2,5-1-4,5-1-3,5-1-6,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608120204,2026-08-12,02,4R,realtime,5,5,5-1-2,5-1-4,5-1-3,5-1-6,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608120205,2026-08-12,02,5R,daily,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608120205,2026-08-12,02,5R,realtime,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608120206,2026-08-12,02,6R,daily,6,6,6-1-2,6-1-4,6-1-3,6-2-1,6-3-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608120206,2026-08-12,02,6R,realtime,6,6,6-1-2,6-1-4,6-1-3,6-2-1,6-3-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608120207,2026-08-12,02,7R,daily,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608120207,2026-08-12,02,7R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608120208,2026-08-12,02,8R,daily,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608120208,2026-08-12,02,8R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608120209,2026-08-12,02,9R,daily,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608120209,2026-08-12,02,9R,realtime,5,5,5-1-2,5-1-4,5-1-3,5-1-6,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608120210,2026-08-12,02,10R,daily,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608120211,2026-08-12,02,11R,daily,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608120212,2026-08-12,02,12R,daily,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608120301,2026-08-12,03,1R,daily,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608120301,2026-08-12,03,1R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608120302,2026-08-12,03,2R,daily,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608120302,2026-08-12,03,2R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608120303,2026-08-12,03,3R,daily,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608120303,2026-08-12,03,3R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
