レースコード,レース日,レース場コード,レース回,状態,1着コース,1着艇番,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202608200201,2026-08-20,02,1R,daily,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608200201,2026-08-20,02,1R,realtime,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608200202,2026-08-20,02,2R,daily,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608200202,2026-08-20,02,2R,realtime,5,5,5-1-2,5-1-4,5-1-3,5-1-6,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608200203,2026-08-20,02,3R,daily,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608200203,2026-08-20,02,3R,realtime,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608200204,2026-08-20,02,4R,daily,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608200204,2026-08-20,02,4R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608200205,2026-08-20,02,5R,daily,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608200205,2026-08-20,02,5R,realtime,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608200206,2026-08-20,02,6R,daily,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608200206,2026-08-20,02,6R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
