レースコード,レース日,レース場コード,レース回,状態,1着コース,1着艇番,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202608100301,2026-08-10,03,1R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608100302,2026-08-10,03,2R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608100303,2026-08-10,03,3R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100304,2026-08-10,03,4R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608100305,2026-08-10,03,5R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100306,2026-08-10,03,6R,realtime,5,5,5-1-2,5-1-4,5-1-3,5-1-6,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608100307,2026-08-10,03,7R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100308,2026-08-10,03,8R,realtime,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608100309,2026-08-10,03,9R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100310,2026-08-10,03,10R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100311,2026-08-10,03,11R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608100312,2026-08-10,03,12R,realtime,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608100501,2026-08-10,05,1R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100502,2026-08-10,05,2R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100503,2026-08-10,05,3R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608100504,2026-08-10,05,4R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100505,2026-08-10,05,5R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100506,2026-08-10,05,6R,realtime,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608100507,2026-08-10,05,7R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100508,2026-08-10,05,8R,realtime,2,2,2-1-3,2-1-5,2-1-4,2-3-1,2-3-5,差し,差し,差し,差し,まくり
202608100509,2026-08-10,05,9R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608100510,2026-08-10,05,10R,realtime,2,2,2-1-3,2-1-5,2-1-6,2-3-1,2-3-5,差し,差し,差し,差し,まくり
202608100511,2026-08-10,05,11R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100512,2026-08-10,05,12R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608100801,2026-08-10,08,1R,realtime,2,2,2-1-3,2-1-4,2-1-6,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100802,2026-08-10,08,2R,realtime,5,5,5-1-2,5-1-4,5-1-3,5-1-6,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608100803,2026-08-10,08,3R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100804,2026-08-10,08,4R,realtime,2,2,2-1-3,2-1-5,2-1-6,2-3-1,2-3-5,差し,差し,差し,差し,まくり
202608100805,2026-08-10,08,5R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100806,2026-08-10,08,6R,realtime,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608100807,2026-08-10,08,7R,realtime,4,5,5-1-6,5-1-2,5-6-1,5-2-1,5-1-3,まくり,まくり,まくり,まくり,差し
202608100808,2026-08-10,08,8R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608100809,2026-08-10,08,9R,realtime,6,6,6-1-2,6-1-4,6-1-3,6-2-1,6-3-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608100810,2026-08-10,08,10R,realtime,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608100811,2026-08-10,08,11R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608100812,2026-08-10,08,12R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608100901,2026-08-10,09,1R,realtime,3,2,2-1-3,2-1-5,2-1-4,2-5-3,2-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608100902,2026-08-10,09,2R,realtime,3,3,3-1-4,3-1-2,3-1-6,3-2-4,3-1-5,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608100903,2026-08-10,09,3R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100904,2026-08-10,09,4R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100905,2026-08-10,09,5R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100906,2026-08-10,09,6R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100907,2026-08-10,09,7R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100908,2026-08-10,09,8R,realtime,5,6,6-1-2,6-1-5,6-1-3,6-1-4,6-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608100909,2026-08-10,09,9R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100910,2026-08-10,09,10R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100911,2026-08-10,09,11R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608100912,2026-08-10,09,12R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101301,2026-08-10,13,1R,realtime,3,3,3-1-5,3-1-2,3-1-6,3-2-5,3-1-4,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101302,2026-08-10,13,2R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101303,2026-08-10,13,3R,realtime,2,2,2-1-3,2-1-5,2-1-6,2-3-1,2-3-5,差し,差し,差し,差し,まくり
202608101304,2026-08-10,13,4R,realtime,3,3,3-1-4,3-1-2,3-1-6,3-2-4,3-1-5,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101305,2026-08-10,13,5R,realtime,5,5,5-1-2,5-1-4,5-1-3,5-1-6,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608101306,2026-08-10,13,6R,realtime,5,5,5-1-2,5-1-4,5-1-3,5-1-6,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608101307,2026-08-10,13,7R,realtime,4,4,4-1-6,4-1-2,4-6-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608101308,2026-08-10,13,8R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101309,2026-08-10,13,9R,realtime,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608101310,2026-08-10,13,10R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101311,2026-08-10,13,11R,realtime,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608101312,2026-08-10,13,12R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101401,2026-08-10,14,1R,realtime,5,5,5-1-2,5-1-4,5-1-3,5-1-6,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608101402,2026-08-10,14,2R,realtime,5,6,6-1-2,6-1-4,6-1-3,6-1-5,6-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608101403,2026-08-10,14,3R,realtime,5,5,5-1-2,5-1-4,5-1-3,5-1-6,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608101404,2026-08-10,14,4R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101405,2026-08-10,14,5R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101406,2026-08-10,14,6R,realtime,5,5,5-1-2,5-1-4,5-1-3,5-1-6,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608101407,2026-08-10,14,7R,realtime,2,2,2-1-3,2-1-4,2-1-6,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101408,2026-08-10,14,8R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101409,2026-08-10,14,9R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101410,2026-08-10,14,10R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101411,2026-08-10,14,11R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101412,2026-08-10,14,12R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101501,2026-08-10,15,1R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101502,2026-08-10,15,2R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101503,2026-08-10,15,3R,realtime,3,2,2-1-3,2-1-6,2-1-4,2-6-3,2-1-5,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101504,2026-08-10,15,4R,realtime,3,6,6-1-3,6-1-2,6-1-5,6-2-3,6-1-4,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101505,2026-08-10,15,5R,realtime,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608101506,2026-08-10,15,6R,realtime,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608101507,2026-08-10,15,7R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101508,2026-08-10,15,8R,realtime,5,5,5-1-2,5-1-4,5-1-3,5-1-6,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608101509,2026-08-10,15,9R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101510,2026-08-10,15,10R,realtime,3,2,2-1-3,2-1-6,2-1-4,2-6-3,2-1-5,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101511,2026-08-10,15,11R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101512,2026-08-10,15,12R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101601,2026-08-10,16,1R,realtime,5,5,5-1-2,5-1-4,5-1-3,5-1-6,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608101602,2026-08-10,16,2R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101603,2026-08-10,16,3R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101604,2026-08-10,16,4R,realtime,2,1,1-4-2,1-4-3,1-4-5,1-2-4,1-2-3,差し,差し,差し,差し,まくり
202608101605,2026-08-10,16,5R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101606,2026-08-10,16,6R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101607,2026-08-10,16,7R,realtime,5,5,5-1-2,5-1-4,5-1-3,5-1-6,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608101608,2026-08-10,16,8R,realtime,5,5,5-1-2,5-1-4,5-1-3,5-1-6,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608101609,2026-08-10,16,9R,realtime,3,2,2-1-3,2-1-5,2-1-4,2-5-3,2-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101610,2026-08-10,16,10R,realtime,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608101611,2026-08-10,16,11R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101612,2026-08-10,16,12R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101801,2026-08-10,18,1R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101802,2026-08-10,18,2R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101803,2026-08-10,18,3R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101804,2026-08-10,18,4R,realtime,5,5,5-1-2,5-1-4,5-1-3,5-1-6,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608101805,2026-08-10,18,5R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101806,2026-08-10,18,6R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608101807,2026-08-10,18,7R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101808,2026-08-10,18,8R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101809,2026-08-10,18,9R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101810,2026-08-10,18,10R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101811,2026-08-10,18,11R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608101812,2026-08-10,18,12R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608102001,2026-08-10,20,1R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608102002,2026-08-10,20,2R,realtime,3,3,3-1-4,3-1-2,3-1-6,3-2-4,3-1-5,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608102003,2026-08-10,20,3R,realtime,3,2,2-1-3,2-1-5,2-1-4,2-5-3,2-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608102004,2026-08-10,20,4R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608102005,2026-08-10,20,5R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608102006,2026-08-10,20,6R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608102007,2026-08-10,20,7R,realtime,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608102008,2026-08-10,20,8R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608102009,2026-08-10,20,9R,realtime,4,4,4-1-5,4-1-2,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608102010,2026-08-10,20,10R,realtime,3,3,3-1-4,3-1-2,3-1-5,3-2-4,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608102011,2026-08-10,20,11R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608102012,2026-08-10,20,12R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608102101,2026-08-10,21,1R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608102102,2026-08-10,21,2R,realtime,2,2,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
