レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202608032101,2026-08-03,21,01R,08:32,2026-08-03T08:40:23.764514+09:00,2,1710,2,320,3,400,,,2-3,9200,17,2=3,4510,10,2=3,440,8,1=2,140,1,1=3,160,3,2-3-1,24690,42,1=2=3,520,3
202608032301,2026-08-03,23,01R,08:44,2026-08-03T08:52:25.767212+09:00,1,120,1,100,2,160,,,1-2,240,1,1=2,210,1,1=2,140,1,1=4,180,2,2=4,270,4,1-2-4,730,2,1=2=4,440,2
202608032102,2026-08-03,21,02R,08:58,2026-08-03T09:06:23.839049+09:00,5,3530,5,860,2,300,,,5-2,14860,26,2=5,6330,12,2=5,890,11,4=5,560,8,2=4,350,5,5-2-4,68770,88,2=4=5,2880,8
