stadium,n_samples,mu_waku,sigma_waku,mu_racer,sigma_racer,mu_motor,sigma_motor,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,mu_tenkai,sigma_tenkai,w_waku,w_racer,w_motor,w_exhibit,w_weather,w_tenkai,mu_y,sigma_y,mse,r2,fallback
桐生,6626,5.052912,1.385639,53.916916,5.102415,0.016783,0.17305,50.000963,6.322582,6.5e-05,0.158488,0.003358,0.469362,0.354732,0.219689,0.122416,0.207541,0.085778,0.009843,3.532448,1.696996,0.779923,0.220077,0
戸田,5449,5.042371,1.244248,53.092611,4.105032,0.020398,0.166424,49.999923,6.194692,0.000848,0.334252,0.002795,0.302807,0.276435,0.300604,0.116788,0.208857,0.072169,0.025146,3.541751,1.693897,0.793932,0.206068,0
江戸川,5139,5.086654,1.387942,53.385227,4.26734,0.014224,0.18507,50.001635,10.002673,-0.000796,0.184802,0.004866,0.066028,0.453074,0.229503,0.105287,0.062529,0.10412,0.045488,3.546604,1.692076,0.783976,0.216024,0
平和島,5644,5.062092,1.314205,53.139252,4.081886,0.032999,0.176539,49.99813,6.385698,0.001109,0.289777,0.003779,0.27581,0.312492,0.284958,0.113054,0.20709,0.051383,0.031022,3.53579,1.696589,0.763969,0.236031,0
多摩川,5570,5.037801,1.460313,53.339921,4.2487,0.01744,0.195391,50.014571,5.651977,0.000335,0.199802,0.003058,0.262206,0.351272,0.226057,0.100771,0.216689,0.079094,0.026117,3.5307,1.697884,0.703305,0.296695,0
浜名湖,6624,5.044989,1.522702,53.780955,4.984058,0.017411,0.194748,49.985977,6.077495,-0.000634,0.351357,0.005653,0.422297,0.372491,0.194353,0.092139,0.235378,0.070126,0.035514,3.533665,1.695961,0.733983,0.266017,0
蒲郡,7036,5.049294,1.593574,53.52637,5.083249,0.003829,0.165604,50.003228,6.19873,-0.000478,0.180455,0.003879,0.506146,0.378535,0.246261,0.075472,0.211044,0.077959,0.010728,3.535247,1.696075,0.708931,0.291069,0
常滑,6067,5.046066,1.645128,54.057659,5.24589,-0.005753,0.176512,49.990524,6.405132,0.000234,0.196406,0.001306,0.396113,0.365577,0.18703,0.07347,0.244701,0.082073,0.047149,3.526949,1.698774,0.719828,0.280172,0
津,5194,5.042166,1.707205,53.80856,5.258605,0.001822,0.180524,49.999282,5.555051,-6.7e-05,0.128101,0.002396,0.393297,0.40669,0.206008,0.082344,0.221837,0.050269,0.032852,3.532538,1.696959,0.704575,0.295425,0
三国,5608,5.041311,1.551213,52.798729,3.555081,0.017607,0.17307,49.993899,6.997476,-0.000232,0.108061,0.003214,0.381055,0.376859,0.277496,0.077027,0.169003,0.074541,0.025074,3.536377,1.694508,0.710876,0.289124,0
びわこ,5815,5.047449,1.478887,53.426554,4.124047,0.012943,0.183683,50.00066,5.951876,0.000169,0.134646,0.005264,0.202508,0.397711,0.227114,0.089005,0.179243,0.070689,0.036238,3.533792,1.695734,0.728774,0.271226,0
住之江,5532,5.05078,1.714649,55.068527,6.018995,-0.038646,0.180093,50.00032,8.079572,0.000317,0.245399,0.005155,0.336335,0.428189,0.183903,0.102033,0.207399,0.055242,0.023234,3.541215,1.694575,0.713145,0.286855,0
尼崎,6748,5.044574,1.639881,54.652731,5.778634,-0.00859,0.164096,50.000646,7.751001,0.000168,0.181931,0.003997,0.296587,0.384511,0.171108,0.091313,0.235511,0.061009,0.056549,3.536011,1.696271,0.710775,0.289225,0
