レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),天候,風向,風速(m),波の高さ(cm),決まり手,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気,1着_着順,1着_艇番,1着_登録番号,1着_選手名,1着_モーター番号,1着_ボート番号,1着_展示タイム,1着_進入コース,1着_スタートタイミング,1着_レースタイム,2着_着順,2着_艇番,2着_登録番号,2着_選手名,2着_モーター番号,2着_ボート番号,2着_展示タイム,2着_進入コース,2着_スタートタイミング,2着_レースタイム,3着_着順,3着_艇番,3着_登録番号,3着_選手名,3着_モーター番号,3着_ボート番号,3着_展示タイム,3着_進入コース,3着_スタートタイミング,3着_レースタイム,4着_着順,4着_艇番,4着_登録番号,4着_選手名,4着_モーター番号,4着_ボート番号,4着_展示タイム,4着_進入コース,4着_スタートタイミング,4着_レースタイム,5着_着順,5着_艇番,5着_登録番号,5着_選手名,5着_モーター番号,5着_ボート番号,5着_展示タイム,5着_進入コース,5着_スタートタイミング,5着_レースタイム,6着_着順,6着_艇番,6着_登録番号,6着_選手名,6着_モーター番号,6着_ボート番号,6着_展示タイム,6着_進入コース,6着_スタートタイミング,6着_レースタイム
202010082401,スポーツ報知杯,第6日,2020/10/08,大村,01R,一般,1800,晴,北,8,10,逃げ,1,100,1,120,4,200,1-4,460,2,1-4,350,2,1-4,240,4,1-5,370,7,4-5,210,3,1-4-5,1920,5,1-4-5,830,4,1,1,4948,木 場 悠 介,17,68,6.88,1,0.03,111.8,2,4,4180,上 野 秀 和,36,74,6.95,4,0.07,113.0,3,5,3660,長谷川 親 王,21,51,6.99,5,0.11,114.1,4,3,3058,原 義 昭,29,35,7.01,3,0.11,115.3,5,2,4004,山 本 浩 輔,54,72,7.0,2,0.17,,6,6,5102,原 田 雄 次,76,32,6.92,6,0.17,
202010082402,スポーツ報知杯,第6日,2020/10/08,大村,02R,一般,1800,晴,北西,3,2,逃げ,1,120,1,120,3,250,1-3,280,1,1-3,180,1,1-3,180,1,1-6,330,6,3-6,660,10,1-3-6,1250,4,1-3-6,770,5,1,1,3501,川 上 昇 平,23,33,6.9,1,0.23,110.8,2,3,3869,井 芹 大 志,11,18,6.86,3,0.17,111.5,3,6,4241,大 串 重 幸,73,36,6.84,6,0.13,113.1,4,4,3953,志 道 吉 和,59,38,6.88,4,0.17,113.6,5,5,4219,本 岡 勝 利,47,37,6.89,5,0.17,,6,2,4353,下 出 秀 明,19,44,6.94,2,0.23,
202010082403,スポーツ報知杯,第6日,2020/10/08,大村,03R,一般,1800,晴,北東,5,4,逃げ,1,410,1,140,2,200,1-2,430,2,1-2,370,2,1-2,200,3,1-3,190,2,2-3,250,4,1-2-3,770,1,1-2-3,450,1,1,1,4359,横 川 聖 志,64,28,6.94,1,0.04,110.0,2,2,4272,大 場 広 孝,63,25,6.87,2,0.07,111.8,3,3,3458,東 健 介,68,30,6.88,3,0.08,113.7,4,4,3910,松 下 知 幸,34,23,6.95,4,0.11,114.3,5,6,4451,松 崎 祐太郎,14,39,6.88,5,0.15,,6,5,3989,熊 本 英 一,51,29,6.87,6,0.19,
202010082404,スポーツ報知杯,第6日,2020/10/08,大村,04R,一般,1800,晴,北,6,5,差し,5,520,5,100,1,100,5-1,860,3,1-5,350,2,1-5,160,2,2-5,220,3,1-2,140,1,5-1-2,3040,11,1-2-5,300,1,1,5,3833,中 辻 博 訓,37,13,6.91,5,0.21,111.1,2,1,4264,長 尾 章 平,22,15,6.96,1,0.22,112.2,3,2,4704,河 野 大,71,55,6.95,2,0.26,114.0,4,3,3858,織 田 猛,26,50,6.91,3,0.25,114.4,4,4,3998,冨 成 謙 児,15,14,6.94,4,0.28,114.4,6,6,3975,小野寺 智 洋,53,53,6.93,6,0.16,
202010082405,スポーツ報知杯,第6日,2020/10/08,大村,05R,一般,1800,晴,北東,7,6,,1,130,1,110,5,100,1-5,310,2,1-5,290,2,1-5,100,2,1-2,100,1,2-5,120,3,1-5-2,420,2,1-2-5,140,1,1,1,3300,川 崎 智 幸,18,49,6.81,1,0.19,110.0,2,5,4391,松 田 祐 季,45,59,6.9,5,0.01,112.2,3,2,3912,川 原 正 明,55,22,6.86,2,0.12,112.7,4,4,3058,原 義 昭,29,35,6.85,4,0.06,116.2,5,3,3578,塩 田 雄 一,32,31,6.92,3,0.16,,,,,,,,,,,
202010082406,スポーツ報知杯,第6日,2020/10/08,大村,06R,一般,1800,晴,北東,6,5,まくり,5,990,5,250,4,290,5-4,4370,10,4-5,1980,6,4-5,650,9,3-5,830,10,3-4,1200,13,5-4-3,58330,67,3-4-5,10770,15,1,5,4042,丸 岡 正 典,13,66,6.87,5,0.16,111.0,2,4,4051,清 水 敦 揮,66,43,6.89,4,0.25,112.0,3,3,4219,本 岡 勝 利,47,37,6.85,3,0.17,113.3,4,1,4760,山 崎 郡,33,21,6.8,1,0.21,114.8,5,2,4180,上 野 秀 和,36,74,6.83,2,0.23,,6,6,4398,船 岡 洋一郎,25,41,6.91,6,0.15,
202010082407,スポーツ報知杯,第6日,2020/10/08,大村,07R,一般  進入固定,1800,晴,北西,2,1,,1,100,1,100,2,280,1-2,320,2,1-2,240,2,1-2,150,2,1-3,120,1,2-3,200,3,1-2-3,630,2,1-2-3,240,1,1,1,4220,深 川 和 仁,52,17,6.9,1,0.18,114.6,2,2,4241,大 串 重 幸,73,36,6.85,2,0.17,117.1,3,3,4523,中 村 辰 也,39,71,6.86,3,0.17,121.2,4,5,4948,木 場 悠 介,17,68,6.89,5,0.16,123.3,5,6,4684,楠 原 翔 太,24,45,6.89,6,0.21,,,,,,,,,,,
202010082408,スポーツ報知杯,第6日,2020/10/08,大村,08R,一般,1800,晴,北西,2,1,逃げ,1,120,1,100,3,260,1-3,210,1,1-3,210,1,1-3,120,2,1-4,120,1,3-4,190,4,1-3-4,500,1,1-3-4,270,2,1,1,4682,大 上 卓 人,74,76,6.8,1,0.13,109.8,2,3,4214,林 祐 介,38,16,6.86,3,0.14,111.5,3,4,3815,森 岡 満 郎,40,57,6.87,4,0.16,113.4,4,2,3869,井 芹 大 志,11,18,6.85,2,0.16,114.2,5,5,3846,藤 井 理,46,65,6.9,5,0.23,,6,6,3928,林 恵 祐,20,12,6.85,6,0.21,
202010082409,スポーツ報知杯,第6日,2020/10/08,大村,09R,準優勝戦,1800,晴,北東,8,7,差し,2,520,2,100,1,100,2-1,920,5,1-2,160,1,1-2,100,1,2-5,340,6,1-5,210,3,2-1-5,3630,12,1-2-5,450,3,1,2,3300,川 崎 智 幸,18,49,6.88,2,0.09,117.0,2,1,3833,中 辻 博 訓,37,13,6.89,1,0.04,120.7,3,5,4451,松 崎 祐太郎,14,39,6.92,5,0.27,124.4,4,6,4272,大 場 広 孝,63,25,6.96,6,0.24,127.2,5,4,4264,長 尾 章 平,22,15,6.98,4,0.22,,,,,,,,,,,
202010082410,スポーツ報知杯,第6日,2020/10/08,大村,10R,準優勝戦,1800,晴,北,2,1,逃げ,1,120,1,100,3,430,1-3,430,2,1-3,360,2,1-3,210,3,1-2,120,1,2-3,200,2,1-3-2,900,3,1-2-3,230,1,1,1,4391,松 田 祐 季,45,59,6.89,1,0.05,108.8,2,3,4220,深 川 和 仁,52,17,6.95,3,0.12,110.7,3,2,4760,山 崎 郡,33,21,6.85,2,0.08,112.5,4,4,3458,東 健 介,68,30,6.93,4,0.21,112.8,5,5,4704,河 野 大,71,55,6.91,5,0.23,,6,6,4004,山 本 浩 輔,54,72,6.91,6,0.21,
