レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607230907,2026-07-23,09,7R,realtime,65.69,27.63,44.66,9.59,63.15,4.91,63.59,14.24,50.93,3.2,59.58,53.06,22.32,56.07,12.04,29.31,2.28,63.57,14.24,53.62,3.37,54.25,51.23,21.55,48.46,10.41,38.89,3.02,43.14,9.66,40.62,2.55,47.2,48.49,20.39,46.56,10.0,51.66,4.02,40.51,9.07,52.28,3.29,46.77,45.16,18.99,44.66,9.59,38.54,3.0,44.62,9.99,49.03,3.08,44.66,36.13,15.2,57.97,12.45,47.03,3.66,44.58,9.98,53.59,3.37,44.66
202607230908,2026-07-23,09,8R,daily,65.69,27.63,50.36,10.82,42.59,3.31,50.0,11.2,50.0,3.14,56.1,53.06,22.32,50.36,10.82,51.05,3.97,50.0,11.2,50.0,3.14,51.45,51.23,21.55,48.46,10.41,39.82,3.1,50.0,11.2,50.0,3.14,49.39,48.49,20.39,48.46,10.41,63.12,4.91,50.0,11.2,50.0,3.14,50.05,45.16,18.99,48.46,10.41,39.02,3.04,50.0,11.2,50.0,3.14,46.78,36.13,15.2,52.27,11.23,46.43,3.61,50.0,11.2,50.0,3.14,44.37
202607230908,2026-07-23,09,8R,realtime,65.69,27.63,50.36,10.82,40.75,3.17,74.05,16.58,50.93,3.2,61.4,51.23,21.55,50.36,10.82,36.55,2.84,45.5,10.19,40.62,2.55,47.95,48.49,20.39,48.46,10.41,34.59,2.69,41.52,9.3,52.28,3.29,46.08,45.16,18.99,48.46,10.41,47.8,3.72,48.72,10.91,49.03,3.08,47.12,53.06,22.32,48.46,10.41,39.35,3.06,35.49,7.95,53.62,3.37,47.11,36.13,15.2,52.27,11.23,43.22,3.36,54.7,12.25,53.59,3.37,45.4
202607230909,2026-07-23,09,9R,daily,65.69,27.63,52.27,11.23,49.08,3.82,50.0,11.2,50.0,3.14,57.01,53.06,22.32,46.56,10.0,51.57,4.01,50.0,11.2,50.0,3.14,50.67,51.23,21.55,48.46,10.41,44.74,3.48,50.0,11.2,50.0,3.14,49.78,48.49,20.39,40.86,8.78,32.35,2.52,50.0,11.2,50.0,3.14,46.03,45.16,18.99,48.46,10.41,55.45,4.31,50.0,11.2,50.0,3.14,48.06,36.13,15.2,52.27,11.23,59.23,4.61,50.0,11.2,50.0,3.14,45.37
202607230909,2026-07-23,09,9R,realtime,65.69,27.63,52.27,11.23,36.25,2.82,56.79,12.72,50.93,3.2,57.59,53.06,22.32,46.56,10.0,42.7,3.32,47.77,10.7,53.62,3.37,49.71,51.23,21.55,48.46,10.41,39.58,3.08,45.5,10.19,40.62,2.55,47.78,48.49,20.39,40.86,8.78,30.59,2.38,39.63,8.88,52.28,3.29,43.71,45.16,18.99,48.46,10.41,46.73,3.63,56.54,12.66,49.03,3.08,48.78,36.13,15.2,52.27,11.23,68.02,5.29,53.78,12.04,53.59,3.37,47.13
202607230910,2026-07-23,09,10R,daily,65.69,27.63,48.46,10.41,49.3,3.83,50.0,11.2,50.0,3.14,56.21,53.06,22.32,59.87,12.86,55.2,4.29,50.0,11.2,50.0,3.14,53.81,51.23,21.55,46.56,10.0,50.4,3.92,50.0,11.2,50.0,3.14,49.81,48.49,20.39,44.66,9.59,61.06,4.75,50.0,11.2,50.0,3.14,49.08,45.16,18.99,48.46,10.41,47.8,3.72,50.0,11.2,50.0,3.14,47.46,36.13,15.2,46.56,10.0,52.63,4.09,50.0,11.2,50.0,3.14,43.63
202607230910,2026-07-23,09,10R,realtime,65.69,27.63,48.46,10.41,35.95,2.8,50.69,11.35,43.86,2.76,54.94,53.06,22.32,59.87,12.86,60.58,4.71,58.98,13.21,51.38,3.23,56.33,51.23,21.55,46.56,10.0,43.38,3.37,53.42,11.96,42.92,2.7,49.58,48.49,20.39,44.66,9.59,49.07,3.82,45.05,10.09,55.18,3.47,47.36,45.16,18.99,48.46,10.41,50.31,3.91,47.66,10.67,51.05,3.21,47.2,36.13,15.2,46.56,10.0,53.48,4.16,44.22,9.9,55.67,3.5,42.76
202607230911,2026-07-23,09,11R,daily,65.69,27.63,50.36,10.82,56.13,4.37,50.0,11.2,50.0,3.14,57.15,53.06,22.32,44.66,9.59,67.21,5.23,50.0,11.2,50.0,3.14,51.48,51.23,21.55,46.56,10.0,50.44,3.92,50.0,11.2,50.0,3.14,49.81,48.49,20.39,52.27,11.23,54.68,4.25,50.0,11.2,50.0,3.14,50.21,45.16,18.99,48.46,10.41,58.55,4.55,50.0,11.2,50.0,3.14,48.3,36.13,15.2,44.66,9.59,33.82,2.63,50.0,11.2,50.0,3.14,41.76
202607230911,2026-07-23,09,11R,realtime,65.69,27.63,50.36,10.82,54.46,4.24,66.87,14.98,43.86,2.76,60.41,53.06,22.32,44.66,9.59,63.15,4.91,57.94,12.98,51.38,3.23,53.03,51.23,21.55,46.56,10.0,52.21,4.06,54.68,12.25,42.92,2.7,50.55,48.49,20.39,52.27,11.23,51.65,4.02,50.42,11.29,55.18,3.47,50.4,45.16,18.99,48.46,10.41,45.96,3.57,30.16,6.76,51.05,3.21,42.94,36.13,15.2,44.66,9.59,38.69,3.01,39.94,8.94,55.67,3.5,40.24
202607230912,2026-07-23,09,12R,daily,65.69,27.63,54.17,11.64,64.15,4.99,50.0,11.2,50.0,3.14,58.59,53.06,22.32,75.09,16.13,52.44,4.08,50.0,11.2,50.0,3.14,56.86,51.23,21.55,50.36,10.82,57.69,4.49,50.0,11.2,50.0,3.14,51.19,48.49,20.39,46.56,10.0,71.06,5.53,50.0,11.2,50.0,3.14,50.26,45.16,18.99,54.17,11.64,50.65,3.94,50.0,11.2,50.0,3.14,48.91,36.13,15.2,57.97,12.45,52.35,4.07,50.0,11.2,50.0,3.14,46.06
