レースコード,レース日,レース場,レース回,ステータス,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202508220201,2025-08-22,02,01R,1,3,一周,まわり足,直線,広瀬 聖仁,37.24,5.76,7.1,渡邉 真奈美,37.27,5.54,7.07,村上 功祐,37.45,5.53,7.1,鈴木 茂高,38.13,5.81,7.23,中村 将隆,38.06,5.44,7.23,淺香 文武,37.71,5.86,7.17
202508220202,2025-08-22,02,02R,1,3,一周,まわり足,直線,石岡 将太,37.56,5.71,7.19,角谷 健吾,37.9,5.83,7.12,高山 智至,38.24,5.84,7.17,西田 和加,38.16,5.74,7.27,川原 涼,37.71,5.53,7.1,柴田 光,37.43,5.7,7.14
202508220203,2025-08-22,02,03R,1,3,一周,まわり足,直線,雑賀 勇貴,37.31,5.73,7.04,平見 真彦,37.84,5.63,7.13,鳥居塚 孝博,38.2,5.8,7.13,宮下 元胤,38.17,5.84,7.11,松山 将吾,38.24,5.57,7.13,岩橋 裕馬,38.39,5.78,7.08
202508220204,2025-08-22,02,04R,1,3,一周,まわり足,直線,長谷川 充,37.03,6.05,6.98,高橋 勲,37.8,5.37,7.21,篠田 優也,38.01,5.77,7.23,久永 祥平,37.57,5.66,7.15,野村 誠,38.08,5.75,7.1,荒川 健太,38.34,5.65,7.21
202508220205,2025-08-22,02,05R,1,3,一周,まわり足,直線,佐竹 恒彦,38.05,5.59,7.1,大森 翼,37.02,5.71,7.0,河内 悠利杏,38.23,6.5,6.89,岩瀬 裕亮,37.2,5.67,7.03,栗原 直也,37.26,5.61,7.03,片岡 大地,37.26,5.73,7.03
202508220206,2025-08-22,02,06R,1,3,一周,まわり足,直線,稲生 夏季,37.71,5.52,7.2,高橋 淳美,38.78,6.3,7.16,渡邉 真奈美,38.64,6.24,7.07,櫻本 あゆみ,38.12,5.67,7.2,山下 奈緒,38.35,5.76,7.17,西田 和加,38.05,5.84,7.07
202508220207,2025-08-22,02,07R,1,3,一周,まわり足,直線,中嶋 健一郎,37.37,5.74,7.07,金子 猛志,37.57,5.5,7.13,相原 利章,37.46,5.63,7.23,雑賀 勇貴,37.49,5.42,7.13,広瀬 聖仁,37.96,5.58,7.27,高木 茉白,38.31,5.4,7.23
202508220208,2025-08-22,02,08R,1,3,一周,まわり足,直線,高山 智至,37.23,5.59,7.12,前田 篤哉,37.49,5.62,7.24,金田 諭,37.59,5.68,6.99,長谷川 充,37.7,5.67,7.07,福島 勇樹,37.95,5.61,7.02,三浦 洋次朗,38.55,5.73,7.21
202508220209,2025-08-22,02,09R,1,3,一周,まわり足,直線,黄金井 力良,37.64,5.73,7.1,野村 誠,37.88,5.62,7.21,大森 翼,37.76,5.61,7.21,淺香 文武,37.99,5.58,7.12,角谷 健吾,38.13,5.97,7.08,宮下 元胤,38.61,5.56,7.07
202508220210,2025-08-22,02,10R,1,3,一周,まわり足,直線,鳥居塚 孝博,37.24,5.51,7.14,栗原 直也,37.04,5.43,7.02,稲生 夏季,37.47,5.46,7.1,荒川 健太,38.2,5.66,7.17,田路 朋史,37.54,5.47,7.01,川原 涼,37.43,5.55,7.06
