レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),電話投票締切予定,1枠_艇番,1枠_登録番号,1枠_選手名,1枠_年齢,1枠_支部,1枠_体重,1枠_級別,1枠_全国勝率,1枠_全国2連対率,1枠_当地勝率,1枠_当地2連対率,1枠_モーター番号,1枠_モーター2連対率,1枠_ボート番号,1枠_ボート2連対率,1枠_今節成績_1-1,1枠_今節成績_1-2,1枠_今節成績_2-1,1枠_今節成績_2-2,1枠_今節成績_3-1,1枠_今節成績_3-2,1枠_今節成績_4-1,1枠_今節成績_4-2,1枠_今節成績_5-1,1枠_今節成績_5-2,1枠_今節成績_6-1,1枠_今節成績_6-2,1枠_早見,2枠_艇番,2枠_登録番号,2枠_選手名,2枠_年齢,2枠_支部,2枠_体重,2枠_級別,2枠_全国勝率,2枠_全国2連対率,2枠_当地勝率,2枠_当地2連対率,2枠_モーター番号,2枠_モーター2連対率,2枠_ボート番号,2枠_ボート2連対率,2枠_今節成績_1-1,2枠_今節成績_1-2,2枠_今節成績_2-1,2枠_今節成績_2-2,2枠_今節成績_3-1,2枠_今節成績_3-2,2枠_今節成績_4-1,2枠_今節成績_4-2,2枠_今節成績_5-1,2枠_今節成績_5-2,2枠_今節成績_6-1,2枠_今節成績_6-2,2枠_早見,3枠_艇番,3枠_登録番号,3枠_選手名,3枠_年齢,3枠_支部,3枠_体重,3枠_級別,3枠_全国勝率,3枠_全国2連対率,3枠_当地勝率,3枠_当地2連対率,3枠_モーター番号,3枠_モーター2連対率,3枠_ボート番号,3枠_ボート2連対率,3枠_今節成績_1-1,3枠_今節成績_1-2,3枠_今節成績_2-1,3枠_今節成績_2-2,3枠_今節成績_3-1,3枠_今節成績_3-2,3枠_今節成績_4-1,3枠_今節成績_4-2,3枠_今節成績_5-1,3枠_今節成績_5-2,3枠_今節成績_6-1,3枠_今節成績_6-2,3枠_早見,4枠_艇番,4枠_登録番号,4枠_選手名,4枠_年齢,4枠_支部,4枠_体重,4枠_級別,4枠_全国勝率,4枠_全国2連対率,4枠_当地勝率,4枠_当地2連対率,4枠_モーター番号,4枠_モーター2連対率,4枠_ボート番号,4枠_ボート2連対率,4枠_今節成績_1-1,4枠_今節成績_1-2,4枠_今節成績_2-1,4枠_今節成績_2-2,4枠_今節成績_3-1,4枠_今節成績_3-2,4枠_今節成績_4-1,4枠_今節成績_4-2,4枠_今節成績_5-1,4枠_今節成績_5-2,4枠_今節成績_6-1,4枠_今節成績_6-2,4枠_早見,5枠_艇番,5枠_登録番号,5枠_選手名,5枠_年齢,5枠_支部,5枠_体重,5枠_級別,5枠_全国勝率,5枠_全国2連対率,5枠_当地勝率,5枠_当地2連対率,5枠_モーター番号,5枠_モーター2連対率,5枠_ボート番号,5枠_ボート2連対率,5枠_今節成績_1-1,5枠_今節成績_1-2,5枠_今節成績_2-1,5枠_今節成績_2-2,5枠_今節成績_3-1,5枠_今節成績_3-2,5枠_今節成績_4-1,5枠_今節成績_4-2,5枠_今節成績_5-1,5枠_今節成績_5-2,5枠_今節成績_6-1,5枠_今節成績_6-2,5枠_早見,6枠_艇番,6枠_登録番号,6枠_選手名,6枠_年齢,6枠_支部,6枠_体重,6枠_級別,6枠_全国勝率,6枠_全国2連対率,6枠_当地勝率,6枠_当地2連対率,6枠_モーター番号,6枠_モーター2連対率,6枠_ボート番号,6枠_ボート2連対率,6枠_今節成績_1-1,6枠_今節成績_1-2,6枠_今節成績_2-1,6枠_今節成績_2-2,6枠_今節成績_3-1,6枠_今節成績_3-2,6枠_今節成績_4-1,6枠_今節成績_4-2,6枠_今節成績_5-1,6枠_今節成績_5-2,6枠_今節成績_6-1,6枠_今節成績_6-2,6枠_早見
201811260101,スポーツ報知杯争奪戦,第4日,2018-11-26,ボートレース福岡,1R,予選,1800,10:47,1,4021,吉田健太,38,愛知,51.0,A2,5.24,40.21,,,22,22.8315,32.50,462.0,6,2,,,,,,,,,,,,2,4864,小川日紀,29,福岡,53.0,B1,2.91,8.51,2.14,9.09,54,21.13144,41.67,6.0,1,3,3,,,,1,0,,,,,,3,4159,向後龍一,37,埼玉,53.0,B1,5.88,40.58,4.0,20.0,65,26.09165,36.00,5.0,2,4,4,,,,1,1,,,,,,4,4765,野田部宏,28,福岡,48.0,B2,4.17,28.81,4.17,21.43,73,21.31136,29.76,5.0,2,5,6,,,,7,,,,,,,5,4984,森下愛梨,21,静岡,50.0,B2,2.44,,,,16,36.00128,18.31,5.0,4,6,5,,,,8,,,,,,,6,3476,中村稔宏,48,徳島,50.0,B1,3.79,18.6,3.67,16.67,63,22.64168,26.67,6.0,6,4,2,,,,5,,,,,,
201811260103,スポーツ報知杯争奪戦,第4日,2018-11-26,ボートレース福岡,3R,予選,1800,11:41,1,4365,盛本真輔,33,兵庫,52.0,B1,4.95,31.68,5.11,35.71,40,30.21139,26.14,6.0,5,3,5,,,,9,,,,,,,2,4218,吉川喜継,37,滋賀,51.0,A2,6.08,43.95,6.04,42.31,72,34.62143,40.00,2.0,1,5,2,2,,,1,1,,,,,,3,4094,中島真二,37,福岡,51.0,B1,4.99,26.14,4.89,33.33,55,39.36125,28.26,5.0,1,4,3,,,,1,2,,,,,,4,3868,尾形栄治,43,東京,56.0,B1,5.35,29.57,6.4,40.0,35,27.78152,21.95,522.0,2,1,,,,,,,,,,,,5,3888,山本英志,43,東京,50.0,A1,6.57,48.57,5.88,44.0,48,23.46126,24.14,132526.0,8,,,,,,,,,,,,,6,3624,大石和彦,49,静岡,54.0,B1,4.67,31.43,4.11,26.32,17,28.57167,30.56,1.0,5,6,6,,,,7,,,,,,
201811260104,スポーツ報知杯争奪戦,第4日,2018-11-26,ボートレース福岡,4R,予選,1800,12:09,1,4275,菅野はや,36,広島,51.0,B1,4.32,28.05,4.56,27.78,67,32.79149,34.88,6.0,5,4,4,,,,8,,,,,,,2,4515,藤田浩人,32,佐賀,54.0,A2,6.41,44.92,6.05,40.0,30,16.13151,34.88,2.0,3,1,3,,,,1,1,,,,,,3,4025,山本隆幸,41,兵庫,51.0,A1,6.56,40.18,6.39,38.89,53,45.35142,23.38,342125.0,1,2,,,,,,,,,,,,4,4489,岩川仁士,32,大阪,54.0,B1,4.14,17.39,5.33,33.33,29,31.30156,30.49,133.0,6,3,,,,,,,,,,,,5,4191,赤羽克也,37,埼玉,56.0,A2,5.0,29.29,6.29,42.86,50,21.05141,37.89,2.0,5,3,4,,,,1,0,,,,,,6,3796,長野道臣,45,静岡,52.0,B1,5.18,26.53,5.52,33.33,57,30.16129,34.88,265.0,6,4,,,,,,,,,,,
201811260105,スポーツ報知杯争奪戦,第4日,2018-11-26,ボートレース福岡,5R,予選,1800,12:37,1,4909,薮内瑞希,23,岡山,45.0,B1,3.9,17.89,2.42,8.33,18,36.05162,47.62,6.0,5,6,3,,,,9,,,,,,,2,4894,原村拓也,27,香川,53.0,B1,3.35,9.52,2.33,7.41,15,14.52147,36.78,446.0,4,5,,,,,,,,,,,,3,3872,岡田憲行,42,大阪,53.0,A1,6.53,46.32,6.75,50.0,25,21.21132,37.36,251612.0,1,0,,,,,,,,,,,,4,3476,中村稔宏,48,徳島,50.0,B1,3.79,18.6,3.67,16.67,63,22.64168,26.67,6.0,6,4,2,,,,1,,,,,,,5,3968,茶谷信次,42,滋賀,53.0,A1,6.1,34.17,6.97,55.17,14,27.94131,27.78,3.0,2,2,2,3,,,1,2,,,,,,6,3297,藤丸光一,51,福岡,50.0,A2,5.83,42.86,6.55,46.21,62,33.73153,31.46,161331.0,1,1,,,,,,,,,,,
201811260106,スポーツ報知杯争奪戦,第4日,2018-11-26,ボートレース福岡,6R,予選,1800,13:07,1,4313,西村美智,34,香川,50.0,B1,5.76,34.15,,,11,32.98134,37.18,3.0,4,3,1,,,,1,0,,,,,,2,4724,吉田祐貴,32,佐賀,51.0,B1,4.15,17.05,3.6,12.0,28,28.87154,23.53,5.0,4,3,5,,,,2,,,,,,,3,3987,後藤正宗,40,静岡,52.0,A1,5.91,41.82,7.26,59.26,45,21.0514,33.33,166555.0,,,,,,,,,,,,,,4,3660,長谷川親,49,香川,60.0,B1,3.93,17.86,4.89,27.78,60,32.77137,47.62,4.0,3,1,5,,,,1,1,,,,,,5,4764,小池礼乃,28,福岡,46.0,A2,5.64,39.0,4.48,21.21,75,32.97146,36.90,135.0,5,5,,,,,,,,,,,,6,3251,平石和男,52,埼玉,51.0,A1,6.29,40.18,7.6,57.14,36,32.58127,21.74,212411.0,1,2,,,,,,,,,,,
201811260107,スポーツ報知杯争奪戦,第4日,2018-11-26,ボートレース福岡,7R,予選,1800,13:38,1,3621,天野晶夫,44,愛知,54.0,A1,6.14,46.76,7.11,55.56,34,36.36163,17.72,21323.0,1,2,,,,,,,,,,,,2,4765,野田部宏,28,福岡,48.0,B2,4.17,28.81,4.17,21.43,73,21.31136,29.76,5.0,2,5,6,,,,1,,,,,,,3,4445,宮地元輝,32,佐賀,55.0,A1,6.67,51.69,7.82,64.29,19,32.53133,24.69,121231.0,1,1,,,,,,,,,,,,4,3624,大石和彦,49,静岡,54.0,B1,4.67,31.43,4.11,26.32,17,28.57167,30.56,1.0,5,6,6,,,,3,,,,,,,5,3202,三品隆浩,53,東京,55.0,B1,4.8,25.44,2.72,5.56,20,43.70157,30.38,4.0,6,4,5,,,,2,,,,,,,6,3604,武藤綾子,48,福岡,48.0,B1,4.94,24.35,4.77,21.21,51,25.30164,38.71,254.0,2,6,,,,,,,,,,,
201811260108,スポーツ報知杯争奪戦,第4日,2018-11-26,ボートレース福岡,8R,予選 進入固定 Ｈ１８０,ｍ電,14:09,1,3888,山本英志,43,東京,50.0,A1,6.57,48.57,5.88,44.0,48,23.46126,24.14,132526.0,3,,,,,,,,,,,,,2,2941,田嶋 茂,58,群馬,53.0,B1,3.54,12.0,,,26,24.6416,32.47,346.0,6,6,,,,,,,,,,,,3,4461,安田吉宏,32,三重,58.0,B1,4.88,28.57,,,43,23.3613,43.90,453.0,5,3,,,,,,,,,,,,4,4571,菅 章哉,30,徳島,51.0,A2,6.02,45.45,6.4,50.0,21,27.66158,36.00,21114.0,1,2,,,,,,,,,,,,5,4275,菅野はや,36,広島,51.0,B1,4.32,28.05,4.56,27.78,67,32.79149,34.88,6.0,5,4,4,,,,4,,,,,,,6,4984,森下愛梨,21,静岡,50.0,B2,2.44,,,,16,36.00128,18.31,5.0,4,6,5,,,,1,,,,,,
201811260109,スポーツ報知杯争奪戦,第4日,2018-11-26,ボートレース福岡,9R,予選,1800,14:40,1,4382,高山智至,34,滋賀,54.0,B1,5.65,38.24,5.11,44.44,59,27.47166,39.76,311.0,6,3,,,,,,,,,,,,2,4645,上村純一,38,群馬,53.0,A2,6.76,53.33,3.75,,58,33.65159,38.82,432.0,1,4,,,,,,,,,,,,3,4909,薮内瑞希,23,岡山,45.0,B1,3.9,17.89,2.42,8.33,18,36.05162,47.62,6.0,5,6,3,,,,5,,,,,,,4,4365,盛本真輔,33,兵庫,52.0,B1,4.95,31.68,5.11,35.71,40,30.21139,26.14,6.0,5,3,5,,,,3,,,,,,,5,3769,佐竹恒彦,45,滋賀,51.0,A1,5.82,34.65,6.6,46.67,47,36.25161,25.93,346.0,3,4,,,,,2,,,,,,,6,4180,上野秀和,35,福岡,57.0,B1,5.19,32.22,5.59,41.07,33,26.83138,37.78,124.0,1,2,,,,,,,,,,,
201811260110,スポーツ報知杯争奪戦,第4日,2018-11-26,ボートレース福岡,10R,特賞,1800,15:12,1,4191,赤羽克也,37,埼玉,56.0,A2,5.0,29.29,6.29,42.86,50,21.05141,37.89,2.0,5,3,4,,,,4,,,,,,,2,3872,岡田憲行,42,大阪,53.0,A1,6.53,46.32,6.75,50.0,25,21.21132,37.36,251612.0,5,,,,,,,,,,,,,3,4313,西村美智,34,香川,50.0,B1,5.76,34.15,,,11,32.98134,37.18,3.0,4,3,1,,,,6,,,,,,,4,4864,小川日紀,29,福岡,53.0,B1,2.91,8.51,2.14,9.09,54,21.13144,41.67,6.0,1,3,3,,,,1,,,,,,,5,4151,下河誉史,36,福岡,55.0,A2,5.07,29.03,5.22,31.0,38,27.91155,37.04,544.0,1,2,,,,,,,,,,,,6,3852,澤 大介,46,三重,50.0,A2,4.49,21.7,4.44,,70,30.14148,32.26,335.0,4,6,,,,,,,,,,,
201811260111,スポーツ報知杯争奪戦,第4日,2018-11-26,ボートレース福岡,11R,特選,1800,15:45,1,4445,宮地元輝,32,佐賀,55.0,A1,6.67,51.69,7.82,64.29,19,32.53133,24.69,121231.0,7,,,,,,,,,,,,,2,3660,長谷川親,49,香川,60.0,B1,3.93,17.86,4.89,27.78,60,32.77137,47.62,4.0,3,1,5,,,,6,,,,,,,3,3297,藤丸光一,51,福岡,50.0,A2,5.83,42.86,6.55,46.21,62,33.73153,31.46,161331.0,5,,,,,,,,,,,,,4,4515,藤田浩人,32,佐賀,54.0,A2,6.41,44.92,6.05,40.0,30,16.13151,34.88,2.0,3,1,3,,,,4,,,,,,,5,4159,向後龍一,37,埼玉,53.0,B1,5.88,40.58,4.0,20.0,65,26.09165,36.00,5.0,2,4,4,,,,1,,,,,,,6,4218,吉川喜継,37,滋賀,51.0,A2,6.08,43.95,6.04,42.31,72,34.62143,40.00,2.0,1,5,2,2,,,3,,,,,,
