レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202511012201,2025-11-01,22,01R,,,1,110,1,100,2,260,,,1-2,660,3,1=2,770,4,1=2,280,5,1=3,130,1,2=3,340,8,1-2-3,2020,8,1=2=3,910,5
202511012202,2025-11-01,22,02R,,,1,190,1,100,3,160,,,1-3,380,2,1=3,500,3,1=3,150,2,1=2,170,3,2=3,430,6,1-3-2,1140,4,1=2=3,410,1
202511012203,2025-11-01,22,03R,,,1,150,1,100,2,190,,,1-2,370,2,1=2,390,2,1=2,120,3,1=3,110,1,2=3,120,2,1-2-3,440,2,1=2=3,150,1
202511012204,2025-11-01,22,04R,,,3,420,3,620,5,140,,,3-5,3920,15,3=5,1770,8,3=5,440,8,3=4,990,15,4=5,290,3,3-5-4,19380,62,3=4=5,4340,15
202511012205,2025-11-01,22,05R,,,1,100,1,100,4,110,,,1-4,300,1,1=4,220,1,1=4,140,1,1=2,440,9,2=4,380,7,1-4-2,1670,6,1=2=4,830,4
202511012206,2025-11-01,22,06R,,,1,100,1,100,2,280,,,1-2,400,2,1=2,250,1,1=2,130,1,1=5,150,2,2=5,280,5,1-2-5,830,3,1=2=5,330,2
202511012207,2025-11-01,22,07R,,,3,370,3,140,2,120,,,3-2,1130,4,2=3,1050,5,2=3,200,5,1=3,130,1,1=2,130,2,3-2-1,3240,11,1=2=3,240,1
202511012208,2025-11-01,22,08R,,,1,140,1,110,3,300,,,1-3,440,2,1=3,360,2,1=3,220,4,1=4,140,2,3=4,380,6,1-3-4,780,3,1=3=4,310,1
202511012209,2025-11-01,22,09R,,,1,130,1,100,4,150,,,1-4,280,1,1=4,250,1,1=4,120,1,1=3,140,2,3=4,170,3,1-4-3,800,1,1=3=4,310,1
202511012210,2025-11-01,22,10R,,,4,910,4,130,2,250,,,4-2,2860,8,2=4,1560,5,2=4,260,5,1=4,190,3,1=2,110,1,4-2-1,7360,18,1=2=4,400,2
202511012211,2025-11-01,22,11R,,,2,320,2,260,3,2210,,,2-3,4100,11,2=3,1430,5,2=3,320,4,2=5,1070,8,3=5,1340,11,2-3-5,23560,48,2=3=5,7510,13
202511012212,2025-11-01,22,12R,,,2,350,2,180,4,470,,,2-4,3910,11,2=4,2150,7,2=4,450,7,1=2,130,1,1=4,190,4,2-4-1,8840,25,1=2=4,480,2
202511012101,2025-11-01,21,01R,,,1,120,1,100,2,280,,,1-2,380,2,1=2,340,2,1=2,190,4,1=3,160,1,2=3,380,8,1-2-3,1170,3,1=2=3,520,2
202511012102,2025-11-01,21,02R,,,1,130,1,100,2,300,,,1-2,270,1,1=2,230,1,1=2,160,1,1=3,260,4,2=3,330,5,1-2-3,1020,2,1=2=3,590,3
202511012103,2025-11-01,21,03R,,,1,170,1,100,3,110,,,1-3,320,1,1=3,240,1,1=3,100,1,1=5,150,2,3=5,230,4,1-3-5,560,1,1=3=5,260,1
202511012104,2025-11-01,21,04R,,,1,140,1,100,2,210,,,1-2,320,1,1=2,290,1,1=2,140,2,1=4,110,1,2=4,250,6,1-2-4,640,1,1=2=4,280,1
202511012105,2025-11-01,21,05R,,,2,1700,2,270,1,100,,,2-1,6910,13,1=2,810,3,1=2,310,5,2=4,630,11,1=4,130,1,2-1-4,22920,44,1=2=4,1170,7
202511012106,2025-11-01,21,06R,,,1,270,1,180,3,540,,,1-3,1310,6,1=3,1050,5,1=3,510,10,1=2,200,1,2=3,380,6,1-3-2,3690,11,1=2=3,870,4
202511012107,2025-11-01,21,07R,,,4,430,4,270,1,100,,,4-1,1090,5,1=4,230,1,1=4,160,2,4=5,310,5,1=5,360,7,4-1-5,2910,12,1=4=5,630,4
202511012108,2025-11-01,21,08R,,,1,240,1,100,5,180,,,1-5,740,2,1=5,760,4,1=5,330,6,1=2,150,1,2=5,300,4,1-5-2,2230,5,1=2=5,430,1
202511012109,2025-11-01,21,09R,,,6,1170,6,790,3,420,,,6-3,3370,12,3=6,2200,5,3=6,190,4,1=6,140,1,1=3,170,3,6-3-1,5630,18,1=3=6,320,1
202511012110,2025-11-01,21,10R,,,2,550,2,150,3,240,,,2-3,1660,6,2=3,1130,5,2=3,490,5,2=5,1310,11,3=5,1550,14,2-3-5,9870,34,2=3=5,6340,14
202511012111,2025-11-01,21,11R,,,4,740,4,220,1,100,,,4-1,1430,5,1=4,350,2,1=4,160,2,3=4,280,5,1=3,180,4,4-1-3,4510,15,1=3=4,290,1
202511012112,2025-11-01,21,12R,,,3,710,3,230,1,100,,,3-1,1930,7,1=3,390,2,1=3,190,3,2=3,690,11,1=2,160,2,3-1-2,7340,26,1=2=3,730,3
202511012001,2025-11-01,20,01R,,,1,240,1,100,3,290,,,1-3,680,3,1=3,600,4,1=3,190,2,1=2,270,4,2=3,520,9,1-3-2,3380,13,1=2=3,760,4
202511012002,2025-11-01,20,02R,,,1,160,1,160,6,170,,,1-6,540,1,1=6,550,3,1=6,140,1,1=5,320,4,5=6,590,11,1-6-5,2670,8,1=5=6,840,3
202511012003,2025-11-01,20,03R,,,2,350,2,300,1,200,,,2-1,1650,9,1=2,530,3,1=2,260,5,2=5,330,7,1=5,190,2,2-1-5,2900,13,1=2=5,570,3
202511012004,2025-11-01,20,04R,,,2,230,2,170,4,420,,,2-4,2330,13,2=4,1580,11,2=4,430,7,2=6,260,3,4=6,460,9,2-4-6,5020,14,2=4=6,1450,9
202511012005,2025-11-01,20,05R,,,1,100,1,100,4,100,,,1-4,460,2,1=4,330,2,1=4,110,2,1=2,100,1,2=4,200,4,1-4-2,550,2,1=2=4,170,1
202511012006,2025-11-01,20,06R,,,2,520,2,400,6,150,,,2-6,1760,9,2=6,540,3,2=6,280,5,2=4,480,8,4=6,220,2,2-6-4,5940,27,2=4=6,1220,6
202511012007,2025-11-01,20,07R,,,6,300,6,220,3,140,,,6-3,910,4,3=6,480,2,3=6,140,2,1=6,170,3,1=3,100,1,6-3-1,2050,6,1=3=6,330,1
202511012008,2025-11-01,20,08R,,,2,500,2,150,1,100,,,2-1,690,3,1=2,160,1,1=2,130,2,2=3,200,4,1=3,110,1,2-1-3,1370,5,1=2=3,180,1
202511012009,2025-11-01,20,09R,,,5,1350,5,220,4,260,,,5-4,1300,6,4=5,670,3,4=5,510,3,5=6,760,6,4=6,850,7,5-4-6,2600,8,4=5=6,770,4
202511012010,2025-11-01,20,10R,,,1,170,1,110,3,100,,,1-3,240,1,1=3,140,1,1=3,140,1,1=6,220,3,3=6,220,4,1-3-6,700,2,1=3=6,340,2
202511012011,2025-11-01,20,11R,,,4,330,4,140,1,200,,,4-1,610,2,1=4,110,1,1=4,140,1,3=4,270,4,1=3,270,5,4-1-3,2020,6,1=3=4,340,1
202511012012,2025-11-01,20,12R,,,2,1010,2,300,1,110,,,2-1,3940,10,1=2,360,2,1=2,170,3,2=3,540,10,1=3,140,1,2-1-3,11840,37,1=2=3,460,1
202511011901,2025-11-01,19,01R,,,1,170,1,130,3,230,,,1-3,510,2,1=3,310,2,1=3,150,1,1=2,250,3,2=3,360,8,1-3-2,1770,6,1=2=3,570,3
202511011902,2025-11-01,19,02R,,,1,130,1,100,2,140,,,1-2,290,1,1=2,290,2,1=2,100,1,1=3,120,2,2=3,200,4,1-2-3,710,1,1=2=3,310,1
202511011903,2025-11-01,19,03R,,,3,320,3,200,2,310,,,3-2,2150,7,2=3,1310,3,2=3,230,3,1=3,120,1,1=2,210,2,3-2-1,4130,14,1=2=3,260,1
202511011904,2025-11-01,19,04R,,,1,130,1,100,3,150,,,1-3,380,2,1=3,190,1,1=3,130,1,1=4,250,4,3=4,360,7,1-3-4,1290,4,1=3=4,640,3
