レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202605191401,2026-05-19,14,01R,08:32,2026-05-19T08:42:18.528442+09:00,6,1660,6,200,1,110,,,6-1,5180,8,1=6,590,5,1=6,230,4,4=6,530,10,1=4,160,1,6-1-4,23090,30,1=4=6,1130,7
202605191801,2026-05-19,18,01R,08:44,2026-05-19T08:52:05.466191+09:00,1,110,1,100,3,180,,,1-3,310,2,1=3,250,1,1=3,190,3,1=2,310,6,2=3,330,7,1-3-2,1260,6,1=2=3,540,4
202605191402,2026-05-19,14,02R,08:58,2026-05-19T09:06:36.742649+09:00,4,1660,4,410,6,410,,,4-6,7920,20,4=6,3690,10,4=6,560,8,3=4,310,6,3=6,170,1,4-6-3,22650,56,3=4=6,1150,5
202605191802,2026-05-19,18,02R,09:10,2026-05-19T09:18:28.943402+09:00,1,140,1,100,3,110,,,1-3,190,1,1=3,210,1,1=3,130,2,1=4,120,1,3=4,200,4,1-3-4,460,1,1=3=4,250,1
202605191403,2026-05-19,14,03R,09:24,2026-05-19T09:32:30.718578+09:00,1,120,1,110,2,260,,,1-2,380,2,1=2,380,2,1=2,140,2,1=4,140,1,2=4,260,5,1-2-4,1300,3,1=2=4,650,3
202605191803,2026-05-19,18,03R,09:36,2026-05-19T09:44:28.879757+09:00,1,110,1,100,3,130,,,1-3,260,1,1=3,170,1,1=3,150,1,1=2,570,8,2=3,530,7,1-3-2,1680,7,1=2=3,680,3
202605191404,2026-05-19,14,04R,09:50,2026-05-19T09:58:27.687126+09:00,4,220,4,290,5,540,,,4-5,820,4,4=5,950,4,4=5,170,2,1=4,130,1,1=5,190,4,4-5-1,1520,6,1=4=5,540,2
202605191804,2026-05-19,18,04R,10:02,2026-05-19T10:10:47.140312+09:00,1,100,1,100,2,100,,,1-2,190,1,1=2,170,1,1=2,110,1,1=4,160,3,2=4,300,6,1-2-4,430,2,1=2=4,320,2
202605191405,2026-05-19,14,05R,10:18,2026-05-19T10:28:25.645706+09:00,3,930,3,250,1,240,,,3-1,3250,15,1=3,1420,6,1=3,350,5,3=4,190,3,1=4,390,6,3-1-4,8990,34,1=3=4,1180,6
202605191805,2026-05-19,18,05R,10:30,2026-05-19T10:38:29.317763+09:00,1,170,1,100,6,180,,,1-6,460,1,1=6,500,3,1=6,170,3,1=4,180,4,4=6,140,1,1-6-4,1120,2,1=4=6,230,1
202605190801,2026-05-19,08,01R,10:31,2026-05-19T10:40:40.557582+09:00,5,610,5,200,1,100,,,5-1,2370,7,1=5,440,3,1=5,220,3,4=5,1140,14,1=4,300,4,5-1-4,15370,28,1=4=5,950,6
202605192101,2026-05-19,21,01R,10:40,2026-05-19T10:48:23.294820+09:00,1,110,1,110,4,330,,,1-4,540,3,1=4,540,3,1=4,100,1,1=3,110,2,3=4,250,5,1-4-3,1550,5,1=3=4,350,1
202605190201,2026-05-19,02,01R,10:47,2026-05-19T10:56:28.967621+09:00,2,600,2,360,4,300,,,2-4,3720,16,2=4,1900,9,2=4,610,8,2=3,560,6,3=4,340,3,2-4-3,10730,44,2=3=4,1160,6
202605191701,2026-05-19,17,01R,10:49,2026-05-19T10:56:28.967621+09:00,1,100,1,110,4,160,,,1-4,270,1,1=4,210,1,1=4,110,1,1=3,150,3,3=4,200,5,1-4-3,650,2,1=3=4,280,2
202605191406,2026-05-19,14,06R,10:51,2026-05-19T11:01:50.143127+09:00,4,190,4,130,1,150,,,4-1,420,1,1=4,140,1,1=4,120,1,2=4,180,4,1=2,270,5,4-1-2,1440,6,1=2=4,310,1
202605190802,2026-05-19,08,02R,10:57,2026-05-19T11:06:23.532765+09:00,3,360,3,160,2,160,,,3-2,760,2,2=3,310,1,2=3,260,4,3=5,410,7,2=5,390,6,3-2-5,1450,2,2=3=5,760,4
202605191601,2026-05-19,16,01R,10:59,2026-05-19T11:08:28.720354+09:00,5,660,5,160,1,100,,,5-1,3750,8,1=5,350,1,1=5,190,1,5=6,1200,14,1=6,580,10,5-1-6,16380,35,1=5=6,1810,7
202605191806,2026-05-19,18,06R,11:00,2026-05-19T11:08:28.720354+09:00,2,130,2,250,6,750,,,2-6,1190,5,2=6,1090,6,2=6,420,4,1=2,720,8,1=6,670,7,2-6-1,13680,41,1=2=6,2890,11
202605192102,2026-05-19,21,02R,11:09,2026-05-19T11:16:25.974705+09:00,1,160,1,100,2,340,,,1-2,540,3,1=2,490,3,1=2,310,5,1=3,180,2,2=3,400,7,1-2-3,1670,5,1=2=3,680,3
202605190202,2026-05-19,02,02R,11:16,2026-05-19T11:24:22.555238+09:00,1,230,1,130,2,160,,,1-2,580,1,1=2,260,1,1=2,130,1,1=4,220,6,2=4,220,4,1-2-4,1300,3,1=2=4,410,2
202605191702,2026-05-19,17,02R,11:18,2026-05-19T11:26:20.955992+09:00,1,390,1,110,4,120,,,1-4,330,1,1=4,200,1,1=4,170,1,1=2,230,4,2=4,300,7,1-4-2,1330,4,1=2=4,470,3
202605191407,2026-05-19,14,07R,11:20,2026-05-19T11:28:28.358878+09:00,5,610,5,490,4,350,,,5-4,2890,14,4=5,870,4,4=5,370,6,2=5,480,9,2=4,390,7,5-4-2,13750,59,2=4=5,1930,9
