レースコード,レース日,レース場,レース回,締切時刻,取得日時,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202604020101,2026-04-02,01,01R,,backfill-from-bc-oriten,3,半周ラップ,まわり足,直線,井田 涼介,19.03,4.78,7.8,吉川 昭男,19.28,5.19,7.76,高橋 英之,19.01,4.98,7.75,黒柳 浩孝,19.58,4.74,7.9,黒崎 竜也,19.14,4.53,7.76,藤田 康生,19.46,4.57,7.68
202604020102,2026-04-02,01,02R,,backfill-from-bc-oriten,3,半周ラップ,まわり足,直線,橋本 久和,19.42,4.56,7.74,山下 和彦,19.7,5.06,7.86,河野 主樹,19.11,4.74,7.67,木下 陽介,19.75,4.92,7.75,中田 友也,19.52,4.73,7.69,浜先 真範,19.3,4.66,7.72
202604020103,2026-04-02,01,03R,,backfill-from-bc-oriten,3,半周ラップ,まわり足,直線,大塚 康雅,19.32,4.82,7.62,笠置 博之,19.42,4.75,7.83,谷津 幸宏,19.13,4.6,7.91,牟田 奨太,20.14,5.25,7.82,中村 楓,19.5,4.88,7.66,平田 忠則,21.14,6.96,7.83
202604020104,2026-04-02,01,04R,,backfill-from-bc-oriten,3,半周ラップ,まわり足,直線,大庭 元明,19.95,5.4,7.9,大澤 大夢,19.91,5.19,7.77,川崎 智幸,19.74,5.42,7.68,寺本 重宣,19.51,5.15,7.8,田頭 実,20.1,5.38,7.94,金田 諭,19.88,5.3,8.01
202604020105,2026-04-02,01,05R,,backfill-from-bc-oriten,3,半周ラップ,まわり足,直線,渡邊 裕貴,19.22,4.7,7.7,佐藤 大佑,19.26,4.66,7.76,池本 輝明,19.11,4.81,7.63,若林 将,18.9,4.58,7.75,島田 賢人,19.14,4.69,7.55,谷川 祐一,19.47,5.04,7.72
202604020106,2026-04-02,01,06R,,backfill-from-bc-oriten,3,半周ラップ,まわり足,直線,前田 篤哉,18.9,4.92,7.52,中里 昌志,19.28,4.86,7.73,井田 涼介,18.97,4.46,7.68,杢野 誓良,19.29,4.67,7.73,中井 俊祐,19.2,4.78,7.68,木下 陽介,,,
202604020107,2026-04-02,01,07R,,backfill-from-bc-oriten,3,半周ラップ,まわり足,直線,中 亮太,18.7,4.54,7.5,間嶋 仁志,19.26,4.99,7.67,浜先 真範,18.92,4.46,7.58,野村 誠,19.22,4.62,7.63,藤田 康生,18.9,4.55,7.6,平見 真彦,19.06,4.74,7.67
202604020108,2026-04-02,01,08R,,backfill-from-bc-oriten,3,半周ラップ,まわり足,直線,平石 和男,18.41,4.73,7.46,崎 利仁,19.09,4.68,7.62,眞崎 武蔵,18.98,4.7,7.54,黒崎 竜也,18.97,4.58,7.47,川崎 智幸,18.81,4.58,7.73,中村 楓,18.85,4.69,7.6
202604020109,2026-04-02,01,09R,,backfill-from-bc-oriten,3,半周ラップ,まわり足,直線,和田 操拓,18.87,4.66,7.46,江口 晃生,18.44,4.54,7.54,谷川 祐一,19.14,4.5,7.74,大庭 元明,18.94,4.61,7.66,高橋 英之,18.96,4.5,7.59,河野 主樹,18.95,4.65,7.48
202604020110,2026-04-02,01,10R,,backfill-from-bc-oriten,3,半周ラップ,まわり足,直線,中田 友也,18.83,4.57,7.67,花田 和明,18.98,4.62,7.46,渡邊 裕貴,18.88,4.51,7.52,平田 忠則,18.54,4.59,7.63,寺本 重宣,18.8,4.58,7.58,黒柳 浩孝,18.94,4.35,7.54
