レースコード,レース日,レース場,レース回,ステータス,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202603150501,2026-03-15,5,01R,1,3,一周,まわり足,直線,山本 稔太朗,36.47,6.43,6.46,大澤 大夢,37.43,6.27,6.74,上村 宏太,36.67,5.83,6.93,杉田 篤光,36.83,5.63,6.91,高橋 二朗,36.73,5.97,6.83,坂東 満,37.23,6.33,6.89
202603150502,2026-03-15,5,02R,1,3,一周,まわり足,直線,堤 昇,36.77,5.83,6.73,井上 大輔,37.4,5.57,7.07,伏田 裕隆,37.0,5.47,7.1,三浦 洋次朗,37.93,5.83,6.94,長谷川 充,37.1,5.67,6.97,井手 良太,36.53,5.8,6.83
202603150503,2026-03-15,5,03R,1,3,一周,まわり足,直線,向所 浩二,37.14,5.92,6.7,一色 凌雅,37.3,5.93,6.77,永井 亮次,37.56,6.04,7.0,庄司 樹良々,36.83,6.04,6.9,濱本 優一,37.37,5.69,7.13,山崎 善庸,37.4,6.27,6.93
202603150504,2026-03-15,5,04R,1,3,一周,まわり足,直線,河野 主樹,36.37,5.99,6.68,石原 光,37.4,6.25,6.8,尾嶋 一広,37.02,5.7,7.01,為本 智也,36.93,5.98,6.81,山田 哲也,37.63,5.96,6.79,吉田 宗弘,38.09,6.0,6.97
202603150505,2026-03-15,5,05R,1,3,一周,まわり足,直線,安達 裕樹,36.43,5.44,6.74,佐竹 友樹,36.77,5.63,6.79,小林 泰,37.31,5.76,6.94,河合 三弘,38.36,5.64,6.99,中村 楓,37.93,5.68,6.84,渡邉 和将,36.94,5.68,6.83
202603150506,2026-03-15,5,06R,1,3,一周,まわり足,直線,岩川 仁士,36.96,5.72,6.83,坂口 周,36.72,5.77,6.74,服部 達哉,37.17,5.76,6.87,中嶋 健一郎,36.6,5.84,6.81,鶴本 崇文,37.45,5.85,6.98,数原 魁,37.29,5.83,6.87
202603150507,2026-03-15,5,07R,1,3,一周,まわり足,直線,亀山 雅幸,36.83,5.78,6.75,渡邉 健,37.07,5.81,6.76,山本 稔太朗,36.63,6.0,6.8,伏田 裕隆,36.73,6.0,6.83,後藤 孝義,37.91,5.77,6.9,鈴木 雄登,37.04,6.43,6.63
202603150508,2026-03-15,5,08R,1,3,一周,まわり足,直線,永井 亮次,36.96,6.34,6.69,泥谷 一毅,37.12,6.03,6.88,吉田 宗弘,37.62,6.1,6.84,永井 源,36.95,5.7,6.83,一色 凌雅,37.4,6.7,6.68,齊藤 大将,37.54,5.69,7.19
202603150509,2026-03-15,5,09R,1,3,一周,まわり足,直線,為本 智也,36.69,5.76,6.76,永田 秀二,36.47,5.74,6.69,杉田 篤光,37.27,5.67,6.8,堤 昇,37.51,5.8,6.89,平瀬 城啓,37.3,5.8,6.83,星野 太郎,37.6,5.9,6.89
202603150510,2026-03-15,5,10R,1,3,一周,まわり足,直線,数原 魁,36.6,5.7,6.83,濱本 優一,37.31,6.45,6.8,三浦 洋次朗,37.83,5.77,7.03,小林 泰,37.13,6.2,7.04,坂口 周,37.47,5.93,6.97,河野 主樹,36.9,5.61,6.86
202603150511,2026-03-15,5,11R,1,3,一周,まわり足,直線,渡邉 和将,36.02,5.73,6.69,鶴本 崇文,37.17,5.76,7.04,庄司 樹良々,37.15,5.56,7.0,尾嶋 一広,36.88,6.07,6.74,渡邉 健,36.61,5.45,7.03,岩川 仁士,36.61,5.72,7.03
202603150512,2026-03-15,5,12R,1,3,一周,まわり足,直線,井手 良太,36.37,5.77,6.77,山田 哲也,36.52,5.59,6.76,永井 源,36.67,6.0,6.73,服部 達哉,37.26,5.83,6.85,泥谷 一毅,37.44,5.67,6.97,向所 浩二,37.5,5.5,7.0
202603150601,2026-03-15,6,01R,1,3,一周,まわり足,直線,横井 健太,37.09,5.18,7.99,富永 正人,37.45,5.42,8.02,内田 圭,37.35,5.23,7.91,松浦 勝,37.44,5.33,8.07,渥美 卓郎,37.19,5.27,7.95,堀内 亜海,37.74,5.61,7.83
202603150602,2026-03-15,6,02R,1,3,一周,まわり足,直線,牧 宏次,37.07,5.09,7.93,原 豊土,37.34,5.29,7.85,山本 寛久,37.26,5.29,7.97,刑部 亜里紗,37.62,5.33,7.87,杢野 誓良,37.87,5.47,7.82,佐口 達也,37.14,5.25,7.9
202603150603,2026-03-15,6,03R,1,3,一周,まわり足,直線,本部 めぐみ,37.7,5.34,7.88,山下 友貴,37.82,5.3,7.87,須藤 博倫,37.2,5.15,7.99,藤本 佳史,37.57,5.24,7.99,松山 将吾,36.96,5.37,7.81,中北 将史,37.86,5.49,7.93
202603150604,2026-03-15,6,04R,1,3,一周,まわり足,直線,赤岩 善生,36.71,5.16,7.83,野中 義生,37.09,5.13,8.0,南野 利騰,36.95,5.18,7.94,櫻井 優,37.31,5.14,7.91,渡辺 豊,37.24,5.34,7.88,山本 幸也,37.7,5.29,8.0
202603150605,2026-03-15,6,05R,1,3,一周,まわり足,直線,塩崎 優司,37.31,5.18,8.0,大瀧 明日香,37.71,5.32,7.9,荒川 健太,38.12,5.69,7.92,清水 攻二,37.62,5.49,7.85,青木 玄太,37.19,5.36,7.95,渥美 卓郎,37.18,5.27,7.79
